teamName,playoff_games_played,playoff_wins,playoff_losses,playoff_win_pct,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_wins,regular_season_losses,regular_season_ties,regular_season_win_pct,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_wins,home_losses,home_ties,home_win_pct,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_run_diff_total,home_run_diff_mean,away_games_played,away_wins,away_losses,away_ties,away_win_pct,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_run_diff_total,away_run_diff_mean
Union City,3,2.0,1.0,0.6666666666666666,4.666666666666667,4.0,14.0,4.0,5.0,12.0,2.0,0.666666666666667,32,18.0,7.0,7.0,0.5625,9.08,9.0,227.0,4.24,2.0,106.0,121.0,4.84,17,10.0,3.0,4.0,0.5882352941176471,8.538461538461538,9.0,111.0,3.5384615384615383,2.0,46.0,65.0,5.0,15,8.0,4.0,3.0,0.5333333333333333,9.666666666666666,9.5,116.0,5.0,3.0,60.0,56.0,4.666666666666666
Unionville-Sebewaing,2,1.0,1.0,0.5,12.5,12.5,25.0,7.5,7.5,15.0,10.0,5.0,18,,8.0,10.0,,1.875,1.0,15.0,11.5,12.0,92.0,-77.0,-9.625,10,,6.0,4.0,,2.1666666666666665,2.0,13.0,12.666666666666666,12.5,76.0,-63.0,-10.5,8,,2.0,6.0,,1.0,1.0,2.0,8.0,8.0,16.0,-14.0,-7.0
Utica,1,,1.0,,2.0,2.0,2.0,3.0,3.0,3.0,-1.0,-1.0,42,2.0,3.0,37.0,0.047619047619047616,3.4,2.0,17.0,4.4,5.0,22.0,-5.0,-1.0000000000000004,22,1.0,3.0,18.0,0.045454545454545456,1.75,1.5,7.0,5.5,5.5,22.0,-15.0,-3.75,20,1.0,,19.0,0.05,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0
Utica Eisenhower,2,1.0,1.0,0.5,3.5,3.5,7.0,4.5,4.5,9.0,-2.0,-1.0,46,3.0,3.0,40.0,0.06521739130434782,5.0,3.5,30.0,3.1666666666666665,3.0,19.0,11.0,1.8333333333333335,16,1.0,1.0,14.0,0.0625,8.0,8.0,16.0,4.5,4.5,9.0,7.0,3.5,30,2.0,2.0,26.0,0.06666666666666667,3.5,2.0,14.0,2.5,3.0,10.0,4.0,1.0
Utica Ford,3,2.0,1.0,0.6666666666666666,5.333333333333333,3.0,16.0,5.0,4.0,15.0,1.0,0.33333333333333304,33,1.0,1.0,31.0,0.030303030303030304,6.0,6.0,12.0,5.5,5.5,11.0,1.0,0.5,24,1.0,1.0,22.0,0.041666666666666664,6.0,6.0,12.0,5.5,5.5,11.0,1.0,0.5,9,,,9.0,,,,0.0,,,0.0,0.0,
Vandercook Lake,1,,1.0,,0.0,0.0,0.0,10.0,10.0,10.0,-10.0,-10.0,19,,13.0,6.0,,1.6153846153846154,1.0,21.0,12.23076923076923,13.0,159.0,-138.0,-10.615384615384615,4,,4.0,,,1.0,1.0,4.0,16.25,15.0,65.0,-61.0,-15.25,15,,9.0,6.0,,1.8888888888888888,1.0,17.0,10.444444444444445,11.0,94.0,-77.0,-8.555555555555555
Vassar,1,,1.0,,3.0,3.0,3.0,12.0,12.0,12.0,-9.0,-9.0,29,6.0,10.0,13.0,0.20689655172413793,4.0625,4.0,65.0,4.6875,4.5,75.0,-10.0,-0.625,13,5.0,3.0,5.0,0.38461538461538464,5.25,4.5,42.0,3.875,3.0,31.0,11.0,1.375,16,1.0,7.0,8.0,0.0625,2.875,1.5,23.0,5.5,6.0,44.0,-21.0,-2.625
Vermontville Maple Valley,2,1.0,1.0,0.5,6.0,6.0,12.0,2.5,2.5,5.0,7.0,3.5,29,6.0,7.0,16.0,0.20689655172413793,6.538461538461538,7.0,85.0,6.615384615384615,5.0,86.0,-1.0,-0.07692307692307665,15,4.0,2.0,9.0,0.26666666666666666,7.333333333333333,7.5,44.0,5.666666666666667,6.0,34.0,10.0,1.666666666666666,14,2.0,5.0,7.0,0.14285714285714285,5.857142857142857,4.0,41.0,7.428571428571429,5.0,52.0,-11.0,-1.571428571428572
Vestaburg,1,,1.0,,5.0,5.0,5.0,15.0,15.0,15.0,-10.0,-10.0,34,14.0,6.0,14.0,0.4117647058823529,6.3,5.5,126.0,3.85,2.0,77.0,49.0,2.4499999999999997,17,5.0,3.0,9.0,0.29411764705882354,5.75,4.0,46.0,3.0,1.5,24.0,22.0,2.75,17,9.0,3.0,5.0,0.5294117647058824,6.666666666666667,6.0,80.0,4.416666666666667,2.5,53.0,27.0,2.25
Wakefield-Marenisco,2,,2.0,,6.0,6.0,12.0,10.0,10.0,20.0,-8.0,-4.0,28,6.0,20.0,2.0,0.21428571428571427,7.153846153846154,7.0,186.0,7.923076923076923,7.0,206.0,-20.0,-0.7692307692307692,12,,10.0,2.0,,2.8,1.0,28.0,7.6,6.0,76.0,-48.0,-4.8,16,6.0,10.0,,0.375,9.875,8.5,158.0,8.125,8.0,130.0,28.0,1.75
