teamName,playoff_games_played,playoff_wins,playoff_losses,playoff_win_pct,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_wins,regular_season_losses,regular_season_ties,regular_season_win_pct,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_wins,home_losses,home_ties,home_win_pct,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_run_diff_total,home_run_diff_mean,away_games_played,away_wins,away_losses,away_ties,away_win_pct,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_run_diff_total,away_run_diff_mean
Allen Park Inter-City Baptist,1,,1.0,,2.0,2.0,2.0,10.0,10.0,10.0,-8.0,-8.0,26,2.0,3.0,21.0,0.07692307692307693,4.8,3.0,24.0,6.2,7.0,31.0,-7.0,-1.4000000000000004,17.0,,1.0,16.0,,3.0,3.0,3.0,6.0,6.0,6.0,-3.0,-3.0,9.0,2.0,2.0,5.0,0.2222222222222222,5.25,2.5,21.0,6.25,8.0,25.0,-4.0,-1.0
Allendale,1,,1.0,,4.0,4.0,4.0,7.0,7.0,7.0,-3.0,-3.0,34,5.0,6.0,23.0,0.14705882352941177,5.909090909090909,7.0,65.0,5.454545454545454,6.0,60.0,5.0,0.45454545454545503,19.0,4.0,2.0,13.0,0.21052631578947367,6.0,7.0,36.0,3.6666666666666665,3.5,22.0,14.0,2.3333333333333335,15.0,1.0,4.0,10.0,0.06666666666666667,5.8,6.0,29.0,7.6,6.0,38.0,-9.0,-1.7999999999999998
Alma,5,4.0,1.0,0.8,6.4,8.0,32.0,2.4,2.0,12.0,20.0,4.0,15,2.0,2.0,11.0,0.13333333333333333,6.5,4.5,26.0,3.75,3.5,15.0,11.0,2.75,8.0,,1.0,7.0,,3.0,3.0,3.0,4.0,4.0,4.0,-1.0,-1.0,7.0,2.0,1.0,4.0,0.2857142857142857,7.666666666666667,6.0,23.0,3.6666666666666665,3.0,11.0,12.0,4.0
Almont,3,2.0,1.0,0.6666666666666666,8.0,10.0,24.0,1.6666666666666667,2.0,5.0,19.0,6.333333333333333,32,5.0,2.0,25.0,0.15625,6.571428571428571,5.0,46.0,3.5714285714285716,4.0,25.0,21.0,2.9999999999999996,19.0,4.0,1.0,14.0,0.21052631578947367,7.8,10.0,39.0,2.4,1.0,12.0,27.0,5.4,13.0,1.0,1.0,11.0,0.07692307692307693,3.5,3.5,7.0,6.5,6.5,13.0,-6.0,-3.0
Alpena,1,,1.0,,0.0,0.0,0.0,8.0,8.0,8.0,-8.0,-8.0,26,1.0,3.0,22.0,0.038461538461538464,3.0,1.0,12.0,3.0,3.5,12.0,0.0,0.0,16.0,,,16.0,,,,0.0,,,0.0,0.0,,10.0,1.0,3.0,6.0,0.1,3.0,1.0,12.0,3.0,3.5,12.0,0.0,0.0
Ann Arbor Father Gabriel Richard,4,3.0,1.0,0.75,6.5,7.5,26.0,3.75,3.0,15.0,11.0,2.75,39,17.0,12.0,10.0,0.4358974358974359,5.655172413793103,4.0,164.0,4.068965517241379,3.0,118.0,46.0,1.5862068965517242,13.0,6.0,4.0,3.0,0.46153846153846156,5.5,4.5,55.0,4.5,3.5,45.0,10.0,1.0,26.0,11.0,8.0,7.0,0.4230769230769231,5.7368421052631575,4.0,109.0,3.8421052631578947,3.0,73.0,36.0,1.8947368421052628
Ann Arbor Greenhills,3,2.0,1.0,0.6666666666666666,5.0,3.0,15.0,2.0,3.0,6.0,9.0,3.0,37,16.0,12.0,9.0,0.43243243243243246,5.035714285714286,4.0,141.0,4.142857142857143,3.0,116.0,25.0,0.8928571428571423,24.0,9.0,9.0,6.0,0.375,4.555555555555555,2.5,82.0,4.333333333333333,3.5,78.0,4.0,0.22222222222222232,13.0,7.0,3.0,3.0,0.5384615384615384,5.9,4.5,59.0,3.8,3.0,38.0,21.0,2.1000000000000005
Ann Arbor Huron,3,2.0,1.0,0.6666666666666666,7.333333333333333,3.0,22.0,2.0,2.0,6.0,16.0,5.333333333333333,42,1.0,3.0,38.0,0.023809523809523808,2.0,1.5,8.0,4.5,4.0,18.0,-10.0,-2.5,25.0,1.0,2.0,22.0,0.04,2.3333333333333335,2.0,7.0,4.666666666666667,4.0,14.0,-7.0,-2.3333333333333335,17.0,,1.0,16.0,,1.0,1.0,1.0,4.0,4.0,4.0,-3.0,-3.0
Ann Arbor Pioneer,1,,1.0,,2.0,2.0,2.0,3.0,3.0,3.0,-1.0,-1.0,37,1.0,4.0,32.0,0.02702702702702703,3.8,3.0,19.0,5.2,6.0,26.0,-7.0,-1.4000000000000004,16.0,,1.0,15.0,,3.0,3.0,3.0,7.0,7.0,7.0,-4.0,-4.0,21.0,1.0,3.0,17.0,0.047619047619047616,4.0,3.0,16.0,4.75,4.0,19.0,-3.0,-0.75
Ann Arbor Skyline,1,,1.0,,0.0,0.0,0.0,4.0,4.0,4.0,-4.0,-4.0,32,1.0,3.0,28.0,0.03125,3.75,4.0,15.0,4.5,5.0,18.0,-3.0,-0.75,22.0,1.0,1.0,20.0,0.045454545454545456,5.0,5.0,10.0,5.5,5.5,11.0,-1.0,-0.5,10.0,,2.0,8.0,,2.5,2.5,5.0,3.5,3.5,7.0,-2.0,-1.0
Armada,4,3.0,1.0,0.75,2.25,1.5,9.0,2.25,2.0,9.0,0.0,0.0,28,4.0,3.0,21.0,0.14285714285714285,5.142857142857143,6.0,36.0,2.5714285714285716,2.0,18.0,18.0,2.5714285714285716,11.0,2.0,1.0,8.0,0.18181818181818182,6.333333333333333,6.0,19.0,3.6666666666666665,4.0,11.0,8.0,2.6666666666666665,17.0,2.0,2.0,13.0,0.11764705882352941,4.25,4.0,17.0,1.75,2.0,7.0,10.0,2.5
Ashley,1,,1.0,,1.0,1.0,1.0,9.0,9.0,9.0,-8.0,-8.0,26,6.0,19.0,1.0,0.23076923076923078,3.92,2.0,98.0,11.24,11.0,281.0,-183.0,-7.32,13.0,5.0,8.0,,0.38461538461538464,5.769230769230769,3.0,75.0,11.23076923076923,13.0,146.0,-71.0,-5.461538461538461,13.0,1.0,11.0,1.0,0.07692307692307693,1.9166666666666667,1.0,23.0,11.25,10.0,135.0,-112.0,-9.333333333333334
Athens,1,,1.0,,3.0,3.0,3.0,6.0,6.0,6.0,-3.0,-3.0,32,,2.0,30.0,,3.5,3.5,7.0,13.0,13.0,26.0,-19.0,-9.5,16.0,,,16.0,,,,0.0,,,0.0,0.0,,16.0,,2.0,14.0,,3.5,3.5,7.0,13.0,13.0,26.0,-19.0,-9.5
Atlanta,1,,1.0,,2.0,2.0,2.0,20.0,20.0,20.0,-18.0,-18.0,12,,2.0,10.0,,3.5,3.5,7.0,12.0,12.0,24.0,-17.0,-8.5,5.0,,,5.0,,,,0.0,,,0.0,0.0,,7.0,,2.0,5.0,,3.5,3.5,7.0,12.0,12.0,24.0,-17.0,-8.5
AuGres-Sims,2,1.0,1.0,0.5,11.0,11.0,22.0,11.5,11.5,23.0,-1.0,-0.5,22,,4.0,18.0,,2.0,2.0,8.0,6.25,6.0,25.0,-17.0,-4.25,11.0,,2.0,9.0,,2.0,2.0,4.0,4.5,4.5,9.0,-5.0,-2.5,11.0,,2.0,9.0,,2.0,2.0,4.0,8.0,8.0,16.0,-12.0,-6.0
Auburn Hills Avondale,1,,1.0,,1.0,1.0,1.0,7.0,7.0,7.0,-6.0,-6.0,35,,2.0,33.0,,2.5,2.5,5.0,9.0,9.0,18.0,-13.0,-6.5,16.0,,2.0,14.0,,2.5,2.5,5.0,9.0,9.0,18.0,-13.0,-6.5,19.0,,,19.0,,,,0.0,,,0.0,0.0,
Auburn Hills Oakland Christian,3,2.0,1.0,0.6666666666666666,6.333333333333333,9.0,19.0,4.333333333333333,1.0,13.0,6.0,2.0,32,1.0,4.0,27.0,0.03125,2.3333333333333335,2.5,14.0,7.166666666666667,7.0,43.0,-29.0,-4.833333333333334,17.0,,3.0,14.0,,2.3333333333333335,2.0,7.0,12.0,11.0,36.0,-29.0,-9.666666666666666,15.0,1.0,1.0,13.0,0.06666666666666667,2.3333333333333335,3.0,7.0,2.3333333333333335,3.0,7.0,0.0,0.0
Bad Axe,2,1.0,1.0,0.5,4.0,4.0,8.0,6.5,6.5,13.0,-5.0,-2.5,25,5.0,19.0,1.0,0.2,3.75,3.5,90.0,7.375,6.0,177.0,-87.0,-3.625,17.0,4.0,12.0,1.0,0.23529411764705882,4.625,4.5,74.0,6.875,6.0,110.0,-36.0,-2.25,8.0,1.0,7.0,,0.125,2.0,1.5,16.0,8.375,8.5,67.0,-51.0,-6.375
Baldwin,1,,1.0,,0.0,0.0,0.0,7.0,7.0,7.0,-7.0,-7.0,16,,,16.0,,,,0.0,,,0.0,0.0,,8.0,,,8.0,,,,0.0,,,0.0,0.0,,8.0,,,8.0,,,,0.0,,,0.0,0.0,
Bangor,2,1.0,1.0,0.5,7.5,7.5,15.0,11.5,11.5,23.0,-8.0,-4.0,18,1.0,2.0,15.0,0.05555555555555555,4.666666666666667,4.0,14.0,6.333333333333333,7.0,19.0,-5.0,-1.666666666666666,13.0,,2.0,11.0,,5.5,5.5,11.0,9.0,9.0,18.0,-7.0,-3.5,5.0,1.0,,4.0,0.2,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0
Bark River-Harris,1,,1.0,,4.0,4.0,4.0,9.0,9.0,9.0,-5.0,-5.0,19,1.0,,18.0,0.05263157894736842,5.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,11.0,,,11.0,,,,0.0,,,0.0,0.0,,8.0,1.0,,7.0,0.125,5.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0
Bath,1,,1.0,,1.0,1.0,1.0,10.0,10.0,10.0,-9.0,-9.0,19,,8.0,11.0,,1.75,1.0,14.0,10.25,10.5,82.0,-68.0,-8.5,10.0,,6.0,4.0,,1.0,1.0,6.0,8.833333333333334,8.5,53.0,-47.0,-7.833333333333334,9.0,,2.0,7.0,,4.0,4.0,8.0,14.5,14.5,29.0,-21.0,-10.5
Battle Creek Central,1,,1.0,,0.0,0.0,0.0,15.0,15.0,15.0,-15.0,-15.0,29,1.0,7.0,21.0,0.034482758620689655,1.875,1.5,15.0,10.875,10.5,87.0,-72.0,-9.0,19.0,,2.0,17.0,,0.5,0.5,1.0,11.0,11.0,22.0,-21.0,-10.5,10.0,1.0,5.0,4.0,0.1,2.3333333333333335,2.0,14.0,10.833333333333334,10.0,65.0,-51.0,-8.5
Battle Creek Harper Creek,1,,1.0,,2.0,2.0,2.0,3.0,3.0,3.0,-1.0,-1.0,21,1.0,5.0,15.0,0.047619047619047616,2.0,1.5,12.0,8.0,6.0,48.0,-36.0,-6.0,6.0,,1.0,5.0,,0.0,0.0,0.0,5.0,5.0,5.0,-5.0,-5.0,15.0,1.0,4.0,10.0,0.06666666666666667,2.4,2.0,12.0,8.6,6.0,43.0,-31.0,-6.199999999999999
Battle Creek Lakeview,1,,1.0,,3.0,3.0,3.0,4.0,4.0,4.0,-1.0,-1.0,36,1.0,6.0,29.0,0.027777777777777776,3.4285714285714284,2.0,24.0,9.857142857142858,9.0,69.0,-45.0,-6.428571428571429,20.0,1.0,5.0,14.0,0.05,4.0,3.0,24.0,10.0,8.5,60.0,-36.0,-6.0,16.0,,1.0,15.0,,0.0,0.0,0.0,9.0,9.0,9.0,-9.0,-9.0
Battle Creek Pennfield,1,,1.0,,0.0,0.0,0.0,6.0,6.0,6.0,-6.0,-6.0,23,2.0,3.0,18.0,0.08695652173913043,5.2,4.0,26.0,7.2,9.0,36.0,-10.0,-2.0,10.0,2.0,1.0,7.0,0.2,6.333333333333333,4.0,19.0,6.333333333333333,9.0,19.0,0.0,0.0,13.0,,2.0,11.0,,3.5,3.5,7.0,8.5,8.5,17.0,-10.0,-5.0
Battle Creek St Philip,2,,2.0,,5.0,5.0,10.0,8.0,8.0,16.0,-6.0,-3.0,50,2.0,2.0,46.0,0.04,1.0,1.0,4.0,5.5,5.5,22.0,-18.0,-4.5,26.0,2.0,2.0,22.0,0.07692307692307693,1.0,1.0,4.0,5.5,5.5,22.0,-18.0,-4.5,24.0,,,24.0,,,,0.0,,,0.0,0.0,
Bay City All Saints,2,1.0,1.0,0.5,5.5,5.5,11.0,1.0,1.0,2.0,9.0,4.5,15,2.0,3.0,10.0,0.13333333333333333,9.0,5.0,45.0,5.6,6.0,28.0,17.0,3.4000000000000004,12.0,2.0,2.0,8.0,0.16666666666666666,10.0,10.0,40.0,5.5,5.5,22.0,18.0,4.5,3.0,,1.0,2.0,,5.0,5.0,5.0,6.0,6.0,6.0,-1.0,-1.0
Bay City Central,1,,1.0,,1.0,1.0,1.0,5.0,5.0,5.0,-4.0,-4.0,28,3.0,8.0,17.0,0.10714285714285714,4.416666666666667,4.0,53.0,5.916666666666667,6.0,71.0,-18.0,-1.5,10.0,2.0,2.0,6.0,0.2,6.0,7.0,30.0,6.6,6.0,33.0,-3.0,-0.5999999999999996,18.0,1.0,6.0,11.0,0.05555555555555555,3.2857142857142856,1.0,23.0,5.428571428571429,6.0,38.0,-15.0,-2.1428571428571432
Bay City John Glenn,3,2.0,1.0,0.6666666666666666,2.3333333333333335,2.0,7.0,3.3333333333333335,2.0,10.0,-3.0,-1.0,49,4.0,8.0,37.0,0.08163265306122448,4.583333333333333,2.5,55.0,7.666666666666667,7.5,92.0,-37.0,-3.083333333333334,28.0,3.0,4.0,21.0,0.10714285714285714,6.0,7.0,42.0,6.714285714285714,4.0,47.0,-5.0,-0.7142857142857144,21.0,1.0,4.0,16.0,0.047619047619047616,2.6,2.0,13.0,9.0,11.0,45.0,-32.0,-6.4
Bay City Western,2,1.0,1.0,0.5,3.5,3.5,7.0,2.5,2.5,5.0,2.0,1.0,28,20.0,3.0,5.0,0.7142857142857143,7.217391304347826,6.0,166.0,1.826086956521739,2.0,42.0,124.0,5.391304347826087,16.0,13.0,1.0,2.0,0.8125,6.714285714285714,6.0,94.0,2.0,2.0,28.0,66.0,4.714285714285714,12.0,7.0,2.0,3.0,0.5833333333333334,8.0,10.0,72.0,1.5555555555555556,1.0,14.0,58.0,6.444444444444445
Beal City,7,7.0,,1.0,8.714285714285714,8.0,61.0,0.7142857142857143,0.0,5.0,56.0,7.999999999999999,29,16.0,8.0,5.0,0.5517241379310345,8.875,9.5,213.0,4.541666666666667,2.0,109.0,104.0,4.333333333333333,16.0,10.0,2.0,4.0,0.625,10.166666666666666,9.5,122.0,2.0833333333333335,1.0,25.0,97.0,8.083333333333332,13.0,6.0,6.0,1.0,0.46153846153846156,7.583333333333333,8.0,91.0,7.0,7.0,84.0,7.0,0.583333333333333
Bear Lake,2,1.0,1.0,0.5,4.0,4.0,8.0,5.0,5.0,10.0,-2.0,-1.0,25,6.0,5.0,14.0,0.24,6.454545454545454,5.0,71.0,4.090909090909091,2.0,45.0,26.0,2.3636363636363633,7.0,1.0,1.0,5.0,0.14285714285714285,3.0,3.0,6.0,5.5,5.5,11.0,-5.0,-2.5,18.0,5.0,4.0,9.0,0.2777777777777778,7.222222222222222,7.0,65.0,3.7777777777777777,2.0,34.0,31.0,3.4444444444444446
Beaverton,4,3.0,1.0,0.75,5.25,4.0,21.0,2.5,1.5,10.0,11.0,2.75,37,23.0,6.0,8.0,0.6216216216216216,7.620689655172414,6.0,221.0,3.6206896551724137,3.0,105.0,116.0,4.0,20.0,12.0,4.0,4.0,0.6,6.6875,5.5,107.0,3.875,3.0,62.0,45.0,2.8125,17.0,11.0,2.0,4.0,0.6470588235294118,8.76923076923077,8.0,114.0,3.3076923076923075,3.0,43.0,71.0,5.461538461538463
Belding,2,1.0,1.0,0.5,2.5,2.5,5.0,3.0,3.0,6.0,-1.0,-0.5,31,,6.0,25.0,,2.1666666666666665,2.0,13.0,7.0,7.0,42.0,-29.0,-4.833333333333334,19.0,,3.0,16.0,,1.3333333333333333,1.0,4.0,5.333333333333333,2.0,16.0,-12.0,-4.0,12.0,,3.0,9.0,,3.0,3.0,9.0,8.666666666666666,8.0,26.0,-17.0,-5.666666666666666
Bellaire,2,,2.0,,0.0,0.0,0.0,15.0,15.0,30.0,-30.0,-15.0,36,,6.0,30.0,,0.3333333333333333,0.0,2.0,8.0,8.0,48.0,-46.0,-7.666666666666667,12.0,,2.0,10.0,,0.0,0.0,0.0,10.0,10.0,20.0,-20.0,-10.0,24.0,,4.0,20.0,,0.5,0.5,2.0,7.0,7.0,28.0,-26.0,-6.5
Belleville,1,,1.0,,1.0,1.0,1.0,3.0,3.0,3.0,-2.0,-2.0,25,16.0,9.0,,0.64,5.4,4.0,135.0,3.76,3.0,94.0,41.0,1.6400000000000006,9.0,6.0,3.0,,0.6666666666666666,4.0,3.0,36.0,3.0,3.0,27.0,9.0,1.0,16.0,10.0,6.0,,0.625,6.1875,4.0,99.0,4.1875,2.5,67.0,32.0,2.0
Bellevue,2,1.0,1.0,0.5,6.5,6.5,13.0,7.0,7.0,14.0,-1.0,-0.5,21,3.0,,18.0,0.14285714285714285,9.666666666666666,10.0,29.0,1.3333333333333333,1.0,4.0,25.0,8.333333333333332,10.0,,,10.0,,,,0.0,,,0.0,0.0,,11.0,3.0,,8.0,0.2727272727272727,9.666666666666666,10.0,29.0,1.3333333333333333,1.0,4.0,25.0,8.333333333333332
Benton Harbor,2,,2.0,,3.0,3.0,6.0,11.0,11.0,22.0,-16.0,-8.0,82,2.0,6.0,74.0,0.024390243902439025,5.25,6.0,42.0,10.0,9.5,80.0,-38.0,-4.75,58.0,2.0,6.0,50.0,0.034482758620689655,5.25,6.0,42.0,10.0,9.5,80.0,-38.0,-4.75,24.0,,,24.0,,,,0.0,,,0.0,0.0,
Benzie Central,1,,1.0,,2.0,2.0,2.0,3.0,3.0,3.0,-1.0,-1.0,36,11.0,13.0,12.0,0.3055555555555556,5.0,4.0,120.0,5.958333333333333,5.5,143.0,-23.0,-0.958333333333333,18.0,6.0,4.0,8.0,0.3333333333333333,7.3,6.0,73.0,5.5,5.0,55.0,18.0,1.7999999999999998,18.0,5.0,9.0,4.0,0.2777777777777778,3.357142857142857,1.0,47.0,6.285714285714286,6.5,88.0,-41.0,-2.9285714285714284
Berkley,1,,1.0,,3.0,3.0,3.0,4.0,4.0,4.0,-1.0,-1.0,36,1.0,2.0,33.0,0.027777777777777776,3.6666666666666665,1.0,11.0,2.0,2.0,6.0,5.0,1.6666666666666665,22.0,1.0,1.0,20.0,0.045454545454545456,5.5,5.5,11.0,2.0,2.0,4.0,7.0,3.5,14.0,,1.0,13.0,,0.0,0.0,0.0,2.0,2.0,2.0,-2.0,-2.0
Berrien Springs,2,1.0,1.0,0.5,6.5,6.5,13.0,7.5,7.5,15.0,-2.0,-1.0,17,,4.0,13.0,,2.5,3.0,10.0,9.25,9.5,37.0,-27.0,-6.75,12.0,,2.0,10.0,,2.0,2.0,4.0,12.5,12.5,25.0,-21.0,-10.5,5.0,,2.0,3.0,,3.0,3.0,6.0,6.0,6.0,12.0,-6.0,-3.0
Big Rapids,5,4.0,1.0,0.8,7.4,5.0,37.0,2.6,1.0,13.0,24.0,4.800000000000001,41,19.0,4.0,18.0,0.4634146341463415,7.041666666666667,6.0,169.0,4.0,3.5,96.0,73.0,3.041666666666667,23.0,12.0,,11.0,0.5217391304347826,8.384615384615385,8.0,109.0,3.4615384615384617,3.0,45.0,64.0,4.923076923076923,18.0,7.0,4.0,7.0,0.3888888888888889,5.454545454545454,6.0,60.0,4.636363636363637,5.0,51.0,9.0,0.8181818181818175
Big Rapids Crossroads Academy,1,,1.0,,0.0,0.0,0.0,22.0,22.0,22.0,-22.0,-22.0,25,,,25.0,,,,0.0,,,0.0,0.0,,11.0,,,11.0,,,,0.0,,,0.0,0.0,,14.0,,,14.0,,,,0.0,,,0.0,0.0,
Birch Run,3,2.0,1.0,0.6666666666666666,4.666666666666667,3.0,14.0,4.0,2.0,12.0,2.0,0.666666666666667,35,20.0,10.0,5.0,0.5714285714285714,6.733333333333333,4.5,202.0,3.433333333333333,2.5,103.0,99.0,3.3000000000000003,21.0,14.0,4.0,3.0,0.6666666666666666,8.11111111111111,6.5,146.0,3.0,2.0,54.0,92.0,5.111111111111111,14.0,6.0,6.0,2.0,0.42857142857142855,4.666666666666667,3.5,56.0,4.083333333333333,3.5,49.0,7.0,0.5833333333333339
Birmingham Brother Rice,6,5.0,1.0,0.8333333333333334,5.666666666666667,6.5,34.0,2.6666666666666665,2.5,16.0,18.0,3.0000000000000004,36,27.0,7.0,2.0,0.75,7.542857142857143,7.0,264.0,3.8285714285714287,4.0,134.0,130.0,3.714285714285714,27.0,20.0,5.0,2.0,0.7407407407407407,7.923076923076923,8.0,206.0,4.038461538461538,4.0,105.0,101.0,3.884615384615385,9.0,7.0,2.0,,0.7777777777777778,6.444444444444445,6.0,58.0,3.2222222222222223,3.0,29.0,29.0,3.2222222222222223
Birmingham Groves,3,2.0,1.0,0.6666666666666666,5.333333333333333,6.0,16.0,4.333333333333333,5.0,13.0,3.0,1.0,33,24.0,9.0,,0.7272727272727273,5.818181818181818,6.0,192.0,4.212121212121212,3.0,139.0,53.0,1.6060606060606064,19.0,14.0,5.0,,0.7368421052631579,5.578947368421052,5.0,106.0,4.842105263157895,4.0,92.0,14.0,0.7368421052631575,14.0,10.0,4.0,,0.7142857142857143,6.142857142857143,7.0,86.0,3.357142857142857,2.0,47.0,39.0,2.785714285714286
Birmingham Seaholm,1,,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,38,2.0,8.0,28.0,0.05263157894736842,4.1,3.0,41.0,6.0,6.5,60.0,-19.0,-1.9000000000000004,20.0,1.0,3.0,16.0,0.05,4.5,4.0,18.0,6.5,8.0,26.0,-8.0,-2.0,18.0,1.0,5.0,12.0,0.05555555555555555,3.8333333333333335,2.5,23.0,5.666666666666667,5.5,34.0,-11.0,-1.8333333333333335
