teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Allen Park,3,3.6666666666666665,3.0,11.0,3,1.6666666666666667,2.0,5.0,1.0,2.0,0.6666666666666666,6.0,1.9999999999999998,21,7.285714285714286,6.0,153.0,21,4.095238095238095,2.0,86.0,8.0,20.0,13.0,0.6190476190476191,67.0,3.1904761904761907,6,5.333333333333333,5.0,32.0,6,3.1666666666666665,2.0,19.0,2.0,10.0,4.0,0.6666666666666666,13.0,2.1666666666666665,15,8.066666666666666,8.0,121.0,15,4.466666666666667,2.0,67.0,6.0,10.0,9.0,0.6,54.0,3.5999999999999996
Allen Park Cabrini,1,0.0,0.0,0.0,1,11.0,11.0,11.0,1.0,0.0,0.0,-11.0,-11.0,24,5.208333333333333,4.5,125.0,24,5.833333333333333,5.0,140.0,15.0,6.0,9.0,0.375,-15.0,-0.625,15,6.066666666666666,5.0,91.0,15,5.533333333333333,4.0,83.0,8.0,5.0,7.0,0.4666666666666667,8.0,0.5333333333333332,9,3.7777777777777777,2.0,34.0,9,6.333333333333333,6.0,57.0,7.0,1.0,2.0,0.2222222222222222,-23.0,-2.5555555555555554
Allen Park Inter-City Baptist,3,13.666666666666666,16.0,41.0,3,5.0,4.0,15.0,1.0,2.0,0.6666666666666666,26.0,8.666666666666666,7,11.714285714285714,12.0,82.0,7,3.857142857142857,3.0,27.0,1.0,13.0,6.0,0.8571428571428571,55.0,7.857142857142856,4,11.5,11.0,46.0,4,3.5,2.5,14.0,0.0,10.0,4.0,1.0,32.0,8.0,3,12.0,14.0,36.0,3,4.333333333333333,4.0,13.0,1.0,3.0,2.0,0.6666666666666666,23.0,7.666666666666667
Allendale,3,7.333333333333333,5.0,22.0,3,4.333333333333333,4.0,13.0,1.0,2.0,0.6666666666666666,9.0,3.0,8,4.25,3.0,34.0,8,2.375,2.0,19.0,3.0,27.0,5.0,0.625,15.0,1.875,6,4.166666666666667,2.0,25.0,6,2.5,2.0,15.0,3.0,9.0,3.0,0.5,10.0,1.666666666666667,2,4.5,4.5,9.0,2,2.0,2.0,4.0,0.0,18.0,2.0,1.0,5.0,2.5
Alma,3,8.666666666666666,11.0,26.0,3,2.0,2.0,6.0,1.0,2.0,0.6666666666666666,20.0,6.666666666666666,11,3.4545454545454546,2.0,38.0,11,5.0,4.0,55.0,6.0,10.0,5.0,0.45454545454545453,-17.0,-1.5454545454545454,3,5.0,3.0,15.0,3,8.333333333333334,10.0,25.0,1.0,6.0,2.0,0.6666666666666666,-10.0,-3.333333333333334,8,2.875,1.5,23.0,8,3.75,3.5,30.0,5.0,4.0,3.0,0.375,-7.0,-0.875
Almont,1,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,17,4.0,3.0,68.0,17,7.176470588235294,6.0,122.0,13.0,13.0,4.0,0.23529411764705882,-54.0,-3.1764705882352944,8,3.125,2.5,25.0,8,7.875,7.5,63.0,8.0,9.0,0.0,0.0,-38.0,-4.75,9,4.777777777777778,3.0,43.0,9,6.555555555555555,4.0,59.0,5.0,4.0,4.0,0.4444444444444444,-16.0,-1.7777777777777777
Alpena,1,4.0,4.0,4.0,1,11.0,11.0,11.0,1.0,0.0,0.0,-7.0,-7.0,14,6.142857142857143,5.0,86.0,14,5.5,5.0,77.0,8.0,10.0,6.0,0.42857142857142855,9.0,0.6428571428571432,3,11.0,11.0,33.0,3,2.3333333333333335,1.0,7.0,0.0,0.0,3.0,1.0,26.0,8.666666666666666,11,4.818181818181818,4.0,53.0,11,6.363636363636363,5.0,70.0,8.0,10.0,3.0,0.2727272727272727,-17.0,-1.545454545454545
Ann Arbor Father Gabriel Richard,1,1.0,1.0,1.0,1,5.0,5.0,5.0,1.0,0.0,0.0,-4.0,-4.0,27,5.296296296296297,3.0,143.0,27,3.962962962962963,3.0,107.0,11.0,22.0,16.0,0.5925925925925926,36.0,1.333333333333334,14,4.571428571428571,3.0,64.0,14,4.0,4.0,56.0,4.0,19.0,10.0,0.7142857142857143,8.0,0.5714285714285712,13,6.076923076923077,7.0,79.0,13,3.923076923076923,3.0,51.0,7.0,3.0,6.0,0.46153846153846156,28.0,2.1538461538461537
Ann Arbor Greenhills,1,3.0,3.0,3.0,1,10.0,10.0,10.0,1.0,0.0,0.0,-7.0,-7.0,25,3.92,2.0,98.0,25,7.8,10.0,195.0,16.0,6.0,9.0,0.36,-97.0,-3.88,10,5.6,5.0,56.0,10,4.3,4.0,43.0,3.0,3.0,7.0,0.7,13.0,1.2999999999999998,15,2.8,1.0,42.0,15,10.133333333333333,10.0,152.0,13.0,3.0,2.0,0.13333333333333333,-110.0,-7.333333333333333
Ann Arbor Huron,1,5.0,5.0,5.0,1,6.0,6.0,6.0,1.0,0.0,0.0,-1.0,-1.0,17,3.8823529411764706,4.0,66.0,17,8.647058823529411,8.0,147.0,15.0,41.0,2.0,0.11764705882352941,-81.0,-4.76470588235294,8,3.0,3.0,24.0,8,10.875,12.0,87.0,7.0,30.0,1.0,0.125,-63.0,-7.875,9,4.666666666666667,4.0,42.0,9,6.666666666666667,7.0,60.0,8.0,11.0,1.0,0.1111111111111111,-18.0,-2.0
