teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_T,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Three Rivers,1,0.0,0.0,0.0,1,8.0,8.0,8.0,1.0,0.0,0.0,0.0,-8.0,-8.0,8,3.625,4.0,29.0,8,7.625,8.0,61.0,7.0,17.0,1.0,0.125,-32.0,-4.0,2.0,1.0,1.0,2.0,2.0,7.0,7.0,14.0,2.0,6.0,0.0,0.0,-12.0,-6.0,6.0,4.5,4.5,27.0,6.0,7.833333333333333,8.0,47.0,5.0,11.0,1.0,0.16666666666666666,-20.0,-3.333333333333333
Traverse City Central,2,1.5,1.5,3.0,2,1.5,1.5,3.0,1.0,0.0,1.0,0.5,0.0,0.0,9,9.777777777777779,9.0,88.0,9,2.888888888888889,3.0,26.0,1.0,19.0,8.0,0.8888888888888888,62.0,6.888888888888889,4.0,12.0,13.0,48.0,4.0,2.25,2.0,9.0,0.0,11.0,4.0,1.0,39.0,9.75,5.0,8.0,8.0,40.0,5.0,3.4,3.0,17.0,1.0,8.0,4.0,0.8,23.0,4.6
Traverse City Christian,2,3.0,3.0,6.0,2,16.0,16.0,32.0,2.0,0.0,0.0,0.0,-26.0,-13.0,24,5.416666666666667,5.0,130.0,24,6.583333333333333,5.5,158.0,14.0,34.0,6.0,0.25,-28.0,-1.166666666666666,12.0,6.166666666666667,5.0,74.0,12.0,6.833333333333333,6.5,82.0,6.0,18.0,2.0,0.16666666666666666,-8.0,-0.6666666666666661,12.0,4.666666666666667,4.5,56.0,12.0,6.333333333333333,5.5,76.0,8.0,16.0,4.0,0.3333333333333333,-20.0,-1.666666666666666
Traverse City St Francis,3,8.0,6.0,24.0,3,0.6666666666666666,1.0,2.0,1.0,0.0,2.0,0.6666666666666666,22.0,7.333333333333333,7,7.0,8.0,49.0,7,3.0,4.0,21.0,1.0,24.0,5.0,0.7142857142857143,28.0,4.0,3.0,6.333333333333333,5.0,19.0,3.0,1.3333333333333333,0.0,4.0,0.0,9.0,3.0,1.0,15.0,5.0,4.0,7.5,8.5,30.0,4.0,4.25,4.5,17.0,1.0,15.0,2.0,0.5,13.0,3.25
Traverse City West,4,4.75,5.0,19.0,4,3.75,2.5,15.0,1.0,0.0,3.0,0.75,4.0,1.0,20,4.8,4.5,96.0,20,4.45,4.5,89.0,8.0,9.0,12.0,0.6,7.0,0.34999999999999964,10.0,5.1,4.5,51.0,10.0,3.7,1.0,37.0,3.0,5.0,7.0,0.7,14.0,1.3999999999999995,10.0,4.5,4.5,45.0,10.0,5.2,5.0,52.0,5.0,4.0,5.0,0.5,-7.0,-0.7000000000000002
Trenton,6,4.666666666666667,3.0,28.0,6,1.6666666666666667,1.0,10.0,1.0,0.0,5.0,0.8333333333333334,18.0,3.0,5,5.0,6.0,25.0,5,2.6,3.0,13.0,1.0,44.0,4.0,0.8,12.0,2.4,4.0,5.75,6.0,23.0,4.0,2.0,2.5,8.0,0.0,27.0,4.0,1.0,15.0,3.75,1.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,17.0,0.0,0.0,-3.0,-3.0
Troy,3,3.6666666666666665,4.0,11.0,3,3.0,4.0,9.0,1.0,0.0,2.0,0.6666666666666666,2.0,0.6666666666666665,3,2.3333333333333335,1.0,7.0,3,7.666666666666667,10.0,23.0,3.0,38.0,0.0,0.0,-16.0,-5.333333333333334,1.0,6.0,6.0,6.0,1.0,10.0,10.0,10.0,1.0,21.0,0.0,0.0,-4.0,-4.0,2.0,0.5,0.5,1.0,2.0,6.5,6.5,13.0,2.0,17.0,0.0,0.0,-12.0,-6.0
Troy Athens,2,3.5,3.5,7.0,2,3.0,3.0,6.0,1.0,0.0,1.0,0.5,1.0,0.5,4,3.5,2.5,14.0,4,3.0,3.0,12.0,3.0,35.0,1.0,0.25,2.0,0.5,2.0,2.5,2.5,5.0,2.0,3.5,3.5,7.0,2.0,16.0,0.0,0.0,-2.0,-1.0,2.0,4.5,4.5,9.0,2.0,2.5,2.5,5.0,1.0,19.0,1.0,0.5,4.0,2.0
Ubly,1,1.0,1.0,1.0,1,2.0,2.0,2.0,1.0,0.0,0.0,0.0,-1.0,-1.0,7,5.428571428571429,4.0,38.0,7,3.5714285714285716,3.0,25.0,2.0,11.0,4.0,0.5714285714285714,13.0,1.8571428571428572,5.0,5.6,4.0,28.0,5.0,2.0,2.0,10.0,1.0,5.0,4.0,0.8,18.0,3.5999999999999996,2.0,5.0,5.0,10.0,2.0,7.5,7.5,15.0,1.0,6.0,0.0,0.0,-5.0,-2.5
Union City,1,1.0,1.0,1.0,1,2.0,2.0,2.0,1.0,0.0,0.0,0.0,-1.0,-1.0,4,3.25,2.5,13.0,4,5.75,6.5,23.0,3.0,24.0,1.0,0.25,-10.0,-2.5,4.0,3.25,2.5,13.0,4.0,5.75,6.5,23.0,3.0,16.0,1.0,0.25,-10.0,-2.5,0.0,,,0.0,0.0,,,0.0,0.0,8.0,0.0,,0.0,
Unionville-Sebewaing,3,6.333333333333333,6.0,19.0,3,3.6666666666666665,5.0,11.0,1.0,0.0,2.0,0.6666666666666666,8.0,2.6666666666666665,6,5.833333333333333,2.5,35.0,6,8.833333333333334,7.0,53.0,4.0,11.0,2.0,0.3333333333333333,-18.0,-3.000000000000001,0.0,,,0.0,0.0,,,0.0,0.0,8.0,0.0,,0.0,,6.0,5.833333333333333,2.5,35.0,6.0,8.833333333333334,7.0,53.0,4.0,3.0,2.0,0.3333333333333333,-18.0,-3.000000000000001
Utica,1,2.0,2.0,2.0,1,6.0,6.0,6.0,1.0,0.0,0.0,0.0,-4.0,-4.0,8,4.875,4.5,39.0,8,6.25,5.5,50.0,5.0,29.0,3.0,0.375,-11.0,-1.375,5.0,6.2,5.0,31.0,5.0,6.4,5.0,32.0,3.0,13.0,2.0,0.4,-1.0,-0.20000000000000018,3.0,2.6666666666666665,2.0,8.0,3.0,6.0,6.0,18.0,2.0,16.0,1.0,0.3333333333333333,-10.0,-3.3333333333333335
Utica Eisenhower,1,1.0,1.0,1.0,1,4.0,4.0,4.0,1.0,0.0,0.0,0.0,-3.0,-3.0,6,5.166666666666667,3.5,31.0,6,3.8333333333333335,3.5,23.0,3.0,39.0,3.0,0.5,8.0,1.3333333333333335,3.0,4.0,4.0,12.0,3.0,3.3333333333333335,3.0,10.0,1.0,17.0,2.0,0.6666666666666666,2.0,0.6666666666666665,3.0,6.333333333333333,3.0,19.0,3.0,4.333333333333333,4.0,13.0,2.0,22.0,1.0,0.3333333333333333,6.0,2.0
Utica Ford,2,1.5,1.5,3.0,2,3.5,3.5,7.0,1.0,0.0,1.0,0.5,-4.0,-2.0,31,5.225806451612903,5.0,162.0,31,4.645161290322581,4.0,144.0,14.0,12.0,16.0,0.5161290322580645,18.0,0.5806451612903221,16.0,4.5625,4.5,73.0,16.0,4.1875,3.5,67.0,6.0,7.0,9.0,0.5625,6.0,0.375,15.0,5.933333333333334,5.0,89.0,15.0,5.133333333333334,4.0,77.0,8.0,5.0,7.0,0.4666666666666667,12.0,0.7999999999999998
Vandercook Lake,1,4.0,4.0,4.0,1,19.0,19.0,19.0,1.0,0.0,0.0,0.0,-15.0,-15.0,12,0.9166666666666666,1.0,11.0,12,14.416666666666666,15.5,173.0,12.0,19.0,0.0,0.0,-162.0,-13.5,8.0,0.75,1.0,6.0,8.0,16.125,16.0,129.0,8.0,7.0,0.0,0.0,-123.0,-15.375,4.0,1.25,1.0,5.0,4.0,11.0,12.0,44.0,4.0,12.0,0.0,0.0,-39.0,-9.75
Vassar,3,5.666666666666667,6.0,17.0,3,5.333333333333333,4.0,16.0,1.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333339,3,6.333333333333333,4.0,19.0,3,4.0,3.0,12.0,1.0,18.0,2.0,0.6666666666666666,7.0,2.333333333333333,3.0,6.333333333333333,4.0,19.0,3.0,4.0,3.0,12.0,1.0,8.0,2.0,0.6666666666666666,7.0,2.333333333333333,0.0,,,0.0,0.0,,,0.0,0.0,10.0,0.0,,0.0,
Vermontville Maple Valley,1,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,13,4.0,3.0,52.0,13,5.615384615384615,6.0,73.0,7.0,9.0,6.0,0.46153846153846156,-21.0,-1.615384615384615,7.0,5.428571428571429,4.0,38.0,7.0,4.571428571428571,4.0,32.0,3.0,7.0,4.0,0.5714285714285714,6.0,0.8571428571428577,6.0,2.3333333333333335,2.5,14.0,6.0,6.833333333333333,7.0,41.0,4.0,2.0,2.0,0.3333333333333333,-27.0,-4.5
Vestaburg,1,3.0,3.0,3.0,1,10.0,10.0,10.0,1.0,0.0,0.0,0.0,-7.0,-7.0,8,5.625,4.0,45.0,8,7.5,8.5,60.0,4.0,10.0,4.0,0.5,-15.0,-1.875,4.0,3.0,2.5,12.0,4.0,7.0,5.5,28.0,2.0,7.0,2.0,0.5,-16.0,-4.0,4.0,8.25,6.0,33.0,4.0,8.0,8.5,32.0,2.0,3.0,2.0,0.5,1.0,0.25
Wakefield-Marenisco,6,7.0,9.0,42.0,6,7.0,7.0,42.0,2.0,0.0,4.0,0.6666666666666666,0.0,0.0,26,7.6923076923076925,7.0,200.0,26,3.769230769230769,3.0,98.0,4.0,4.0,22.0,0.8461538461538461,102.0,3.9230769230769234,16.0,7.375,6.5,118.0,16.0,5.5,5.5,88.0,4.0,0.0,12.0,0.75,30.0,1.875,10.0,8.2,7.0,82.0,10.0,1.0,1.0,10.0,0.0,4.0,10.0,1.0,72.0,7.199999999999999
Walkerville,1,0.0,0.0,0.0,1,15.0,15.0,15.0,1.0,0.0,0.0,0.0,-15.0,-15.0,6,0.8333333333333334,0.0,5.0,6,14.166666666666666,14.5,85.0,6.0,14.0,0.0,0.0,-80.0,-13.333333333333332,4.0,1.25,0.5,5.0,4.0,14.5,14.5,58.0,4.0,8.0,0.0,0.0,-53.0,-13.25,2.0,0.0,0.0,0.0,2.0,13.5,13.5,27.0,2.0,6.0,0.0,0.0,-27.0,-13.5
Walled Lake Central,1,1.0,1.0,1.0,1,5.0,5.0,5.0,1.0,0.0,0.0,0.0,-4.0,-4.0,4,4.75,4.5,19.0,4,3.25,3.0,13.0,1.0,36.0,3.0,0.75,6.0,1.5,3.0,3.6666666666666665,1.0,11.0,3.0,2.0,1.0,6.0,1.0,18.0,2.0,0.6666666666666666,5.0,1.6666666666666665,1.0,8.0,8.0,8.0,1.0,7.0,7.0,7.0,0.0,18.0,1.0,1.0,1.0,1.0
Walled Lake Northern,3,7.666666666666667,7.0,23.0,3,3.6666666666666665,4.0,11.0,1.0,0.0,2.0,0.6666666666666666,12.0,4.0,8,6.25,5.5,50.0,8,3.125,2.0,25.0,2.0,35.0,5.0,0.625,25.0,3.125,1.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,4.0,4.0,7.0,6.571428571428571,6.0,46.0,7.0,3.5714285714285716,2.0,25.0,2.0,15.0,4.0,0.5714285714285714,21.0,2.9999999999999996
Walled Lake Western,2,4.5,4.5,9.0,2,7.5,7.5,15.0,1.0,0.0,1.0,0.5,-6.0,-3.0,3,6.333333333333333,4.0,19.0,3,7.0,7.0,21.0,2.0,33.0,1.0,0.3333333333333333,-2.0,-0.666666666666667,2.0,4.0,4.0,8.0,2.0,9.0,9.0,18.0,2.0,17.0,0.0,0.0,-10.0,-5.0,1.0,11.0,11.0,11.0,1.0,3.0,3.0,3.0,0.0,16.0,1.0,1.0,8.0,8.0
Warren Cousino,3,2.3333333333333335,2.0,7.0,3,2.3333333333333335,2.0,7.0,1.0,0.0,2.0,0.6666666666666666,0.0,0.0,23,4.565217391304348,3.0,105.0,23,4.043478260869565,4.0,93.0,10.0,8.0,13.0,0.5652173913043478,12.0,0.5217391304347823,12.0,5.416666666666667,4.0,65.0,12.0,3.4166666666666665,2.0,41.0,3.0,6.0,9.0,0.75,24.0,2.0000000000000004,11.0,3.6363636363636362,3.0,40.0,11.0,4.7272727272727275,4.0,52.0,7.0,2.0,4.0,0.36363636363636365,-12.0,-1.0909090909090913
Warren De La Salle,3,6.666666666666667,4.0,20.0,3,3.3333333333333335,3.0,10.0,1.0,0.0,2.0,0.6666666666666666,10.0,3.3333333333333335,11,2.6363636363636362,3.0,29.0,11,5.545454545454546,5.0,61.0,7.0,29.0,4.0,0.36363636363636365,-32.0,-2.9090909090909096,5.0,0.8,0.0,4.0,5.0,6.4,7.0,32.0,4.0,11.0,1.0,0.2,-28.0,-5.6000000000000005,6.0,4.166666666666667,4.5,25.0,6.0,4.833333333333333,4.0,29.0,3.0,18.0,3.0,0.5,-4.0,-0.6666666666666661
Warren Fitzgerald,1,0.0,0.0,0.0,1,12.0,12.0,12.0,1.0,0.0,0.0,0.0,-12.0,-12.0,2,3.5,3.5,7.0,2,8.0,8.0,16.0,1.0,27.0,1.0,0.5,-9.0,-4.5,2.0,3.5,3.5,7.0,2.0,8.0,8.0,16.0,1.0,16.0,1.0,0.5,-9.0,-4.5,0.0,,,0.0,0.0,,,0.0,0.0,11.0,0.0,,0.0,
Warren Lincoln,1,1.0,1.0,1.0,1,19.0,19.0,19.0,1.0,0.0,0.0,0.0,-18.0,-18.0,0,,,0.0,0,,,0.0,0.0,32.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,20.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,12.0,0.0,,0.0,
Warren Mott,1,1.0,1.0,1.0,1,2.0,2.0,2.0,1.0,0.0,0.0,0.0,-1.0,-1.0,7,6.714285714285714,5.0,47.0,7,4.857142857142857,2.0,34.0,3.0,31.0,4.0,0.5714285714285714,13.0,1.8571428571428577,4.0,8.25,7.5,33.0,4.0,4.0,1.5,16.0,1.0,12.0,3.0,0.75,17.0,4.25,3.0,4.666666666666667,5.0,14.0,3.0,6.0,8.0,18.0,2.0,19.0,1.0,0.3333333333333333,-4.0,-1.333333333333333
Warren Woods Tower,1,2.0,2.0,2.0,1,3.0,3.0,3.0,1.0,0.0,0.0,0.0,-1.0,-1.0,4,2.25,1.5,9.0,4,7.25,7.0,29.0,4.0,39.0,0.0,0.0,-20.0,-5.0,2.0,3.0,3.0,6.0,2.0,8.5,8.5,17.0,2.0,24.0,0.0,0.0,-11.0,-5.5,2.0,1.5,1.5,3.0,2.0,6.0,6.0,12.0,2.0,15.0,0.0,0.0,-9.0,-4.5
Waterford Kettering,2,3.0,3.0,6.0,2,7.5,7.5,15.0,1.0,0.0,1.0,0.5,-9.0,-4.5,3,3.0,1.0,9.0,3,3.0,4.0,9.0,1.0,36.0,2.0,0.6666666666666666,0.0,0.0,1.0,7.0,7.0,7.0,1.0,4.0,4.0,4.0,0.0,17.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.5,2.5,5.0,1.0,19.0,1.0,0.5,-3.0,-1.5
