team,division,district,nickname,color1,color2,color3,color4,score
Fruitport,2,38,Trojans,Navy , White,,,100
Muskegon Oakridge,2,38,Eagles,Blue , White,,,100
Muskegon Orchard View,2,38,Cardinals,Red , Gray,,,100
Spring Lake,2,38,Lakers,Red , Gray,,,100
Whitehall,2,38,Vikings,Red,White,Black,,100
Allendale,2,39,Falcons,Scarlet Red , White,,,100
Comstock Park,2,39,Panthers,Green , Gold,,,100
Coopersville,2,39,Broncos,Green , White,,,100
Sparta,2,39,Spartans,Royal Blue , White,,,100
Ada Forest Hills Eastern,2,40,Hawks,Crimson , Black,,,100
Belding,2,40,Black Knights,Orange , Black,,,100
Ionia,2,40,Bulldogs,Royal Blue , White,,,100
Portland,2,40,Raiders,Cardinal Red , White,,,100
St Johns,2,40,Redwings,Red , White,,,100
East Grand Rapids,2,41,Pioneers,Blue , Gold,,,100
Grand Rapids Christian,2,41,Eagles,Columbia Blue , Black,,,100
Grand Rapids Sacred Heart,4,115,Eagles,Columbia Blue , Black,,,72
Grand Rapids South Christian,2,41,Sailors,Navy , White,,,100
Grand Rapids West Michigan Aviation Academy,2,41,Aviators,Orange , Royal Blue,,,100
Middleville Thornapple Kellogg,2,41,Trojans,Orange , Black,,,100
Grand Rapids Catholic Central,2,42,Cougars,Royal Blue , White,,,100
Hudsonville Unity Christian,2,42,Crusaders,Navy , White,,,100
Wyoming Godwin Heights,2,42,Wolverines,Navy , Gold,,,100
Wyoming Kelloggsville,2,42,Rockets,Navy , Orange,,,100
Wyoming Lee,2,42,Legends,Navy Blue , Vegas Gold,,,100
Allegan,2,43,Tigers,Orange , Black,,,100
Hamilton,2,43,Hawkeyes,Black , Gold,,,100
Holland,2,43,Dutch,Red , White,,,100
Holland Christian,2,43,Maroons,Maroon , White,,,100
South Haven,2,43,Rams,Purple , Gold,,,100
Hopkins,2,44,Vikings,Royal Blue , White,,,100
Otsego,2,44,Bulldogs,Navy Blue , Vegas Gold,,,100
Plainwell,2,44,Trojans,Royal Blue , White,,,100
Richland Gull Lake,2,44,Blue Devils,Navy , White,,,100
Benton Harbor,2,45,Tigers,Orange , Black,,,100
Berrien Springs,2,45,Shamrocks,Green , White,,,100
Edwardsburg,2,45,Eddies,Orange , Royal Blue,,,100
Niles,2,45,Vikings,Navy Blue , Vegas Gold,,,100
Stevensville Lakeshore,2,45,Lancers,Red , White,,,100
Dowagiac,2,46,Chieftains,Orange , Black,,,100
Paw Paw,2,46,Redskins,Red , White,,,100
Sturgis,2,46,Trojans,Orange , Black,,,100
Vestaburg,4,109,Trojans,Orange , Black,,,62
Three Rivers,2,46,Wildcats,Purple , White,,,100
Vicksburg,2,46,Wolfpack,Red , White,,,63
Laingsburg,3,78,Wolfpack,Red , White,,,100
Battle Creek Harper Creek,2,47,Beavers,Royal Blue , White,,,100
Battle Creek Pennfield,2,47,Panthers,Green , White,,,100
Coldwater,2,47,Cardinals,Red , White,,,100
Marshall,2,47,Redhawks,Red , Black,,,100
Charlotte,2,48,Orioles,Orange , Black,,,100
Eaton Rapids,2,48,Greyhounds,Maroon , White,,,100
Hastings,2,48,Saxons,Navy Blue , Gold,,,100
