Division,Host / Field Name,Plot Note,Map Link MHSAA,District_#,District Host?,Regional Host?,Column8
Division,Host,,Location,District,District Host ,,
3,Hart,y,"http://maps.google.com/maps?q=Hart Baseball Field, 300 West Johnson Street  Hart, MI ",69,y,,
3,Traverse City Christian,y,"http://maps.google.com/maps?q=Traverse City Christian School, 753 Emerson Rd  Traverse City, MI 49696",70,y,,
3,Sanford Meridian,y,"http://maps.google.com/maps?q=Meridian High School - Baseball, 3303 N. M-30  Sanford, MI ",71,y,,
3,Clare,y,"http://maps.google.com/maps?q=Brookwood Athletic Complex, 667 Ann Arbor Trail  Clare, MI 48617",72,y,,
3,Watervliet,y,"http://maps.google.com/maps?q=Watervliet - Baseball, Watervliet  Watervliet, MI ",73,y,,
3,Galesburg-Augusta,y,,74,y,,
3,Grandville Calvin Christian,y,"http://maps.google.com/maps?q=Calvin Christian HS - Baseball, 3750 Ivanrest  Grandville, MI ",75,y,,
3,Ravenna,y,"http://maps.google.com/maps?q=Ravenna Citizen's Field, 2766 S. Ravenna Rd.  Ravenna, MI ",76,y,,
3,Hemlock,y,"http://maps.google.com/maps?q=Hemlock HS Baseball Field, 733 Hemlock Rd.   , MI ",77,y,,
3,Durand,y,"http://maps.google.com/maps?q=Durand High School - Baseball, 9575 E. Monroe Rd.  Durand, MI ",78,y,,
3,Vermontville Maple Valley,y,"http://maps.google.com/maps?q=Maplewood Elementary, 170 Seminary Street  Vermontville, MI 49096",79,y,,
3,Grand Rapids West Catholic,y,"http://maps.google.com/maps?q=Grand Rapids West Catholic High School, 1801 Bristol Avenue  Grand Rapids, Mi 49504",80,y,,
3,Bridgman,y,"http://maps.google.com/maps?q=Bridgman HS, 9964 Gast Rd  Bridgman, MI 49106",81,y,,
3,Schoolcraft,y,"http://maps.google.com/maps?q=Schoolcraft High School, 551 East Lyons Street  Schoolcraft, MI 49087",82,y,,
3,Hanover-Horton,y,"http://maps.google.com/maps?q=Hanover-Horton High School - Baseball,   Horton, MI ",83,y,,
3,Napoleon,y,"http://maps.google.com/maps?q=Napoleon High - Baseball, 201-21 west ave.  Napoleon, MI ",84,y,,
3,Grass Lake,y,"http://maps.google.com/maps?q=Grass Lake High School  - Baseball, 11500 Warrior Trial   Grass Lake , MI ",85,y,,
3,Clinton,y,"http://maps.google.com/maps?q=Clinton High School - Baseball, 341 East Michigan  Clinton, MI ",86,y,,
3,Ottawa Lake Whiteford,y,"http://maps.google.com/maps?q=Whiteford High School - Baseball,   Ottawa Lake, MI ",87,y,,
3,Ann Arbor Greenhills,y,"http://maps.google.com/maps?q=Concordia University, 4090 Geddes Rd.  Ann Arbor, MI 48105",88,y,,
3,Detroit Communication Media Arts,"not done, not sure where the field is","http://maps.google.com/maps?q=Communication & Media Arts High School - Detroit, 14771 Mansfield  Detroit, MI 48227",89,y,,
3,Ecorse,y,"http://maps.google.com/maps?q=Ecorse High School, 27225 W Outer Drive  Ecorse, MI 48229",90,y,,
3,Detroit Osborn,y,"http://maps.google.com/maps?q=Detroit Osborn, 11600 E 7 Mile Rd  Detroit, MI 48205",91,y,,
3,Madison Heights Bishop Foley,y,"http://maps.google.com/maps?q=Bishop Foley - Baseball, 32000 Campbell  Madison Heights, MI ",92,y,,
3,Algonac,y,"http://maps.google.com/maps?q=Algonac High School, 5200 Taft Rd  Algonac, MI 48001-4701",93,y,,
3,Burton Bentley,y,"http://maps.google.com/maps?q=Bentley High School, 1150 N Belsay Rd  Burton, MI 48509",94,y,,
3,Vassar,y,"http://maps.google.com/maps?q=Vassar High School - Baseball, 220 Athletic Street  Vassar, MI ",95,y,,
3,Caro,y,"http://maps.google.com/maps?q=Caro HS, 301 Hooper St.  Caro, MI ",96,y,,
4,Painesdale Jeffers,no current imagery? - address is in middle of woods,"http://maps.google.com/maps?q=Stanton Baseball Field, Ball field road  Atlantic Mine, MI ",97,y,,
4,Norway,y,"http://maps.google.com/maps?q=Norway, 300 Section St  Norway, MI 49870",98,y,,
4,Rudyard,y,"http://maps.google.com/maps?q=Rudyard Township fields - Baseball, 11185 w. second st  rudyard, MI ",99,y,,
4,Harbor Springs,y,"http://maps.google.com/maps?q=Kosequat Field,   , MI ",100,y,,
4,Central Lake,y,"http://maps.google.com/maps?q=Central Lake Gymnasium, 3627 N. M-88  Central Lake, MI ",101,y,,
