Division,District Host?,Regional Host?,district number,Host / Field Name,Plot Note,Map Link MHSAA,District_#,SF-FNL-HOST
2,y,,57,Hazel Park,y,"http://maps.google.com/maps?q=Hazel Park High School, 23400 Hughes Ave.  Hazel Park, MI 48030-1595",57,
2,y,,58,Richmond,y,"http://maps.google.com/maps?q=Richmond Baseball Facility, 35320 Division  Richmond , MI ",58,
2,y,,59,North Branch,y,"http://maps.google.com/maps?q=North Branch High School - Baseball, 6598 Brush Street  North Branch, MI ",59,
2,y,,60,Goodrich,y,"http://maps.google.com/maps?q=Goodrich High School - Baseball, 8029 S. Gale  Goodrich, MI ",60,
2,y,,61,Fowlerville,y,"http://maps.google.com/maps?q=Gehringer Field - Baseball, 7677 Sharp Road  Fowlerville, MI ",61,
2,y,,62,Owosso,y,"http://maps.google.com/maps?q=Owosso High School, 765 E North St  Owosso, MI 48867",62,
2,y,,63,Clio,y,"http://maps.google.com/maps?q=Conlee Field, 1 Mustang Drive  Clio, MI ",63,
2,y,,64,Saginaw Swan Valley,y,"http://maps.google.com/maps?q=Swan Valley High School, 8400 O'hern Rd  Saginaw, MI 48609",64,
3,y,,65,Negaunee,y,"http://maps.google.com/maps?q=Irontown Field, Cherry St.  Negaunee, MI ",65,
3,y,,66,Gladstone,y,"http://maps.google.com/maps?q=Gladstone Sports Park, North Bluff Drive  Gladstone, MI ",66,
3,y,,67,Charlevoix,y,"http://maps.google.com/maps?q=Charlevoix HS, 5200 Marion Center Rd  Charlevoix, MI 49720",67,
3,y,,68,Houghton Lake,not done on campus,"http://maps.google.com/maps?q=Houghton Lake High School, 4433 W Houghton Lake Dr  Houghton Lake, MI 48629-9786",68,
3,y,,69,Hart,y,"http://maps.google.com/maps?q=Hart Baseball Field, 300 West Johnson Street  Hart, MI ",69,
3,y,,70,Traverse City Christian,y,"http://maps.google.com/maps?q=Traverse City Christian School, 753 Emerson Rd  Traverse City, MI 49696",70,
3,y,,71,Sanford Meridian,y,"http://maps.google.com/maps?q=Meridian High School - Baseball, 3303 N. M-30  Sanford, MI ",71,
3,y,,72,Clare,y,"http://maps.google.com/maps?q=Brookwood Athletic Complex, 667 Ann Arbor Trail  Clare, MI 48617",72,
3,y,,73,Watervliet,y,"http://maps.google.com/maps?q=Watervliet - Baseball, Watervliet  Watervliet, MI ",73,
3,y,,74,Galesburg-Augusta,y,,74,
3,y,,75,Grandville Calvin Christian,y,"http://maps.google.com/maps?q=Calvin Christian HS - Baseball, 3750 Ivanrest  Grandville, MI ",75,
3,y,,76,Ravenna,y,"http://maps.google.com/maps?q=Ravenna Citizen's Field, 2766 S. Ravenna Rd.  Ravenna, MI ",76,
3,y,,77,Hemlock,y,"http://maps.google.com/maps?q=Hemlock HS Baseball Field, 733 Hemlock Rd.   , MI ",77,
3,y,,78,Durand,y,"http://maps.google.com/maps?q=Durand High School - Baseball, 9575 E. Monroe Rd.  Durand, MI ",78,
3,y,,79,Vermontville Maple Valley,y,"http://maps.google.com/maps?q=Maplewood Elementary, 170 Seminary Street  Vermontville, MI 49096",79,
3,y,,80,Grand Rapids West Catholic,y,"http://maps.google.com/maps?q=Grand Rapids West Catholic High School, 1801 Bristol Avenue  Grand Rapids, Mi 49504",80,
3,y,,81,Bridgman,y,"http://maps.google.com/maps?q=Bridgman HS, 9964 Gast Rd  Bridgman, MI 49106",81,
3,y,,82,Schoolcraft,y,"http://maps.google.com/maps?q=Schoolcraft High School, 551 East Lyons Street  Schoolcraft, MI 49087",82,
3,y,,83,Hanover-Horton,y,"http://maps.google.com/maps?q=Hanover-Horton High School - Baseball,   Horton, MI ",83,
3,y,,84,Napoleon,y,"http://maps.google.com/maps?q=Napoleon High - Baseball, 201-21 west ave.  Napoleon, MI ",84,
3,y,,85,Grass Lake,y,"http://maps.google.com/maps?q=Grass Lake High School  - Baseball, 11500 Warrior Trial   Grass Lake , MI ",85,
3,y,,86,Clinton,y,"http://maps.google.com/maps?q=Clinton High School - Baseball, 341 East Michigan  Clinton, MI ",86,
3,y,,87,Ottawa Lake Whiteford,y,"http://maps.google.com/maps?q=Whiteford High School - Baseball,   Ottawa Lake, MI ",87,
3,y,,88,Ann Arbor Greenhills,y,"http://maps.google.com/maps?q=Concordia University, 4090 Geddes Rd.  Ann Arbor, MI 48105",88,
3,y,,89,Detroit Communication Media Arts,"not done, not sure where the field is","http://maps.google.com/maps?q=Communication & Media Arts High School - Detroit, 14771 Mansfield  Detroit, MI 48227",89,
3,y,,90,Ecorse,y,"http://maps.google.com/maps?q=Ecorse High School, 27225 W Outer Drive  Ecorse, MI 48229",90,
3,y,,91,Detroit Osborn,y,"http://maps.google.com/maps?q=Detroit Osborn, 11600 E 7 Mile Rd  Detroit, MI 48205",91,
3,y,,92,Madison Heights Bishop Foley,y,"http://maps.google.com/maps?q=Bishop Foley - Baseball, 32000 Campbell  Madison Heights, MI ",92,
3,y,,93,Algonac,y,"http://maps.google.com/maps?q=Algonac High School, 5200 Taft Rd  Algonac, MI 48001-4701",93,
3,y,,94,Burton Bentley,y,"http://maps.google.com/maps?q=Bentley High School, 1150 N Belsay Rd  Burton, MI 48509",94,
3,y,,95,Vassar,y,"http://maps.google.com/maps?q=Vassar High School - Baseball, 220 Athletic Street  Vassar, MI ",95,
3,y,,96,Caro,y,"http://maps.google.com/maps?q=Caro HS, 301 Hooper St.  Caro, MI ",96,
