,Unnamed: 0.1,Unnamed: 0,field,level_x,foul_ft,fop_ft,foul_pct,h_lat,h_long,match,school_id,school_name,students,enrollment,division,hs_div,level,icon_field
125,125,171,Rochester Hills Lutheran Northwest HS,,19787,71053,21.78,-83.1544493,42.6409811,Rochester Hills - Lutheran Northwest HS,3458,Rochester Hills - Lutheran Northwest HS,227,227,C,C,high_school,C
126,126,172,Rochester HS,,29531,88582,25,-83.1562451,42.6774369,Rochester Hills - Rochester HS,6824,Rochester Hills - Rochester HS,1721,1721,A,A,high_school,A
127,127,173,Rockford HS,,33509,99484,25.2,-85.5686971,43.0900641,Rockford HS,4183,Rockford HS,2480,2480,A,A,high_school,A
128,128,174,Rogers City HS,,18535,71875,20.5,-83.8041977,45.4175136,Rogers City HS,1577,Rogers City HS,192,192,C,C,high_school,C
129,129,175,Rudyard HS,,26169,85299,23.48,-84.5878023,46.2351548,Rudyard HS,5891,Rudyard HS,169,169,D,D,high_school,D
130,130,176,Saginaw Heritage HS,,36530,103302,26.12,-84.0129481,43.4554596,Saginaw - Heritage HS,4547,Saginaw - Heritage HS,1398,1398,A,A,high_school,A
131,131,177,Saginaw Heritage HS - Field 2,,20534,98697,17.22,-84.0135834,43.4547419,Saginaw - Heritage HS,4547,Saginaw - Heritage HS,1398,1398,A,A,high_school,A
132,132,179,Saginaw Swan Valley High School,,21585,87095,19.86,-84.0822261,43.4116302,Saginaw - Swan Valley HS,2757,Saginaw - Swan Valley HS,586,586,B,B,high_school,B
133,133,180,Salem High School,,30248,89191,25.33,-83.4972427,42.3458381,Canton - Salem HS,3747,Canton - Salem HS,2183,2183,A,A,high_school,A
134,134,182,Sand Creek High School - Baseball,,26366,79295,24.95,-84.1047473,41.8229202,Sand Creek HS,1924,Sand Creek HS,265,265,C,C,high_school,C
135,135,183,Sandusky High School,,33614,84661,28.42,-82.8249717,43.4102931,Sandusky HS,7525,Sandusky HS,310,310,C,C,high_school,C
136,136,184,Sexton High School,,25173,95742,20.82,-84.5795795,42.7327867,Lansing - JW Sexton HS,7830,Lansing - JW Sexton HS,713,713,B,B,high_school,B
137,137,185,Shrine HS Royal Oak,,14713,97502,13.11,-83.1842663,42.5195961,Royal Oak - Shrine Catholic HS,4613,Royal Oak - Shrine Catholic HS,241,241,C,C,high_school,C
138,138,186,St Clair HS,,31501,87273,26.52,-82.5113899,42.824698,St Clair HS,2740,St Clair HS,787,787,B,B,high_school,B
139,139,189,St Johns High School,,37094,96144,27.84,-84.5679294,42.9878827,St Johns HS,3623,St Johns HS,922,922,A,A,high_school,A
140,140,190,Standish-Sterling HS,,27613,95495,22.43,-83.9548964,44.0156178,Standish-Sterling HS,3012,Standish-Sterling HS,455,455,B,B,high_school,B
141,141,191,Stevenson Lakeshore HS,,22072,89254,19.83,-86.4944752,42.0092821,Stevensville - Lakeshore HS,5875,Stevensville - Lakeshore HS,864,864,A,A,high_school,A
142,142,193,Traverse City St Frances HS,,14024,94785,12.89,-85.5597553,44.7118419,Traverse City - St Francis HS,1107,Traverse City - St Francis HS,329,329,C,C,high_school,C
143,143,194,Trenton High School,,23234,91703,20.21,-83.2030684,42.1421346,Trenton HS,1627,Trenton HS,841,841,A,A,high_school,A
144,144,195,Troy - Athens High School,,17790,85160,17.28,-83.111861,42.5828923,Troy - Athens HS,1957,Troy - Athens HS,1775,1775,A,A,high_school,A
145,145,198,Ubly high School,,19713,86330,18.59,-82.9346814,43.7078311,Ubly HS,1395,Ubly HS,170,170,D,D,high_school,D
146,146,201,USA - Unionville Seabawing High School,,27687,84002,24.79,-83.4644195,43.6938966,Unionville Sebewaing HS,4225,Unionville Sebewaing HS,234,234,C,C,high_school,C
147,147,202,Watervliet HS,,29977,90757,24.83,-86.2497962,42.1861372,Watervliet HS,5578,Watervliet HS,399,399,B,B,high_school,B
148,148,203,Waverly High School,,31021,88726,25.91,-84.6253319,42.7320798,Lansing - Waverly HS,2501,Lansing - Waverly HS,999,999,A,A,high_school,A
149,149,205,West Bloomfield HS,,23399,95261,19.72,-83.3594581,42.5673665,West Bloomfield HS,5140,West Bloomfield HS,2052,2052,A,A,high_school,A
150,150,209,Whiteford High School - Ottawa Lake,,34576,140217,19.78,-83.7011192,41.7665817,Ottawa Lake - Whiteford HS,3755,Ottawa Lake - Whiteford HS,257,257,C,C,high_school,C
151,151,210,Whitehall High School,,28215,91519,23.56,-86.3327856,43.4045055,Whitehall HS,4340,Whitehall HS,685,685,B,B,high_school,B
152,152,211,Whitmore Lake High School,,34917,93542,27.18,-83.7708313,42.3876304,Whitmore Lake HS,3185,Whitmore Lake HS,224,224,C,C,high_school,C
153,153,212,Whittemore-Prescott High School,,16955,82035,17.13,-83.8844484,44.2293306,Whittemore-Prescott HS,1478,Whittemore-Prescott HS,230,230,C,C,high_school,C
154,154,213,Williamston High School,,31596,90369,25.91,-84.28087,42.6987035,Williamston HS,7277,Williamston HS,607,607,B,B,high_school,B
157,,,Borden Field  Coldwater Muni,,46390,88202,34.47,-85.0203811,41.9516033,,,,,1500,,,muni,muni
159,,,Boyne City County Park Muni,,21397,92587,18.77,-84.9975093,45.2058653,,,,,1500,,,muni,muni
161,,,Coldwater Heritage Park - muni,,44481,89492,33.2,-85.0203797,41.9515984,,,,,1500,,,muni,muni
167,,,The Corner - Detroit PAL - Muni,,28789,108026,21.04,-83.0689599,42.3320337,,,,,1500,,,muni,muni
174,,,Glen Lake Community School,,23438,92408,20.23,-85.9189024,44.8515684,,,,,1500,,,muni,muni
177,,,Historic Hamtramck Stadium - muni,,46503,123991,27.28,-83.0505764,42.390044,,,,,1500,,,muni,muni
187,,,Historic Marsh Field Muskegon - Muni,,44995,93866,32.4,-86.2433912,43.2189761,,,,,1500,,,muni,muni
191,,,Kircher Municipal Field - Lansing - muni,,25470,90987,21.87,-84.5068483,42.7308541,,,,,1500,,,muni,muni
198,,,Onsted Community High School,,25174,88631,22.12,-84.1914064,41.99781,,,,,1500,,,muni,muni
202,,,Sanborn Park - Port Huron - muni,,18781,95218,16.47,-82.44334,43.0117653,,,,,1500,,,muni,muni
212,,,Westside Park (Lansing) - muni,,37392,96629,27.9,-84.5812958,42.7423296,,,,,1500,,,muni,muni
213,,,Whaley Park - Flint - muni,,37414,112631,24.94,-83.6667195,43.0507408,,,,,1500,,,muni,muni
168,,,Dow Diamond (Midland) ,,29101,106468,21.47,-84.2371778,43.609054,,,,,3000,,,pro,loons
181,,,Jimmy Johns Stadium (Utica) ,,35340,95356,27.04,-83.0400041,42.6261647,,,,,3000,,,pro,
182,,,Homer Stryker Field - Kalamazoo (Growlers) ,,28704,99712,22.35,-85.5621405,42.2904771,,,,,3000,,,pro,
188,,,MCCU Field - Battle Creek ,,32230,103628,23.72,-85.1503842,42.3416038,,,,,3000,,,pro,
197,,,Olds Park - Lansing Lugnuts ,,22690,104239,17.88,-84.5448338,42.7352399,,,,,3000,,,pro,lugnuts
