,school_id,school_name,enrollment_total,enrollment_classification,division,level,field,lat,long,State,foul_ft,fop_ft,foul_pct
272,7277,Williamston HS,607,607,B,high_school,Williamston High School,-84.28087,42.6987035,MI,31596.11321,90368.65274,25.90593518
273,4150,Cheboygan Area HS,605,605,B,high_school,Cheboygan HS,-84.4971284,45.6300425,MI,28930.11925,94238.97678,23.48813151
281,1528,Grosse Ile HS,588,588,B,high_school,Grosse Ile High School,-83.1458188,42.1340427,MI,36064.37742,93916.64643,27.74587886
282,2757,Saginaw - Swan Valley YOUTH,586,586,B,youth,Saginaw Swan Valley - Youth Field,-84.0862373,43.4096575,MI,14395.76682,56176.70076,20.39855954
283,2757,Saginaw - Swan Valley HS,586,586,B,high_school,Saginaw Swan Valley High School,-84.0822261,43.4116302,MI,21585.14324,87095.0007,19.86116549
298,7104,Portland HS,567,567,B,high_school,Portland High School,-84.9180249,42.882565,MI,39688.11794,88555.37103,30.94747208
304,6106,Essexville - Garber HS,542,542,B,high_school,Essexville Garber HS,-83.8341762,43.6056341,MI,25204.3085,91284.19934,21.63673393
305,,Detroit Tigers,,,,MLB,Comerica Park,-83.0489808,42.3394579,MI,28154.59036,113641.242,19.85572488
306,8143,Midland - Bullock Creek HS,530,530,B,high_school,Bullock Creek HS - Midland,-84.2944185,43.5717901,MI,29072.80779,99260.19461,22.65419436
322,2253,Gladwin HS,492,492,B,high_school,Gladwin High School,-84.4919148,43.9902464,MI,26731.12711,93476.74989,22.2374172
333,1621,Oakland University,,,,college,Oakland University,-83.2113566,42.6733173,MI,40414.31296,98649.59865,29.06168286
335,3788,Clare HS,469,469,B,high_school,Clare High School,-84.7809457,43.8248348,MI,19720.51683,93773.66823,17.37579491
336,1148,Richmond HS,469,469,B,high_school,Richmond High School,-82.7574992,42.8073051,MI,32747.5338,88224.29392,27.07038028
338,5826,Grand Rapids - West Catholic HS,466,466,B,high_school,GR West Catholic,-85.712159,42.9943182,MI,23865.53544,94829.16202,20.10665678
340,4885,Onsted HS,458,458,B,high_school,Onsted,-84.1914064,41.99781,MI,25174.16662,88631.03675,22.12040036
341,3012,Standish-Sterling HS,455,455,B,high_school,Standish-Sterling HS,-83.9548964,44.0156178,MI,27613.11976,95494.59827,22.4300476
343,3383,Ovid-Elsie HS,452,452,B,high_school,Ovid-Elsie,-84.3932693,43.0477476,MI,24768.03934,83750.42763,22.82380136
347,5636,Houghton HS,449,449,B,high_school,Houghton High School,-88.5639378,47.1087711,MI,32578.15335,92793.94522,25.98517032
351,1296,Detroit Western (THE CORNER),,,,high_school,Detroit Western,-83.0689599,42.3320337,MI,28788.73856,108026.1609,21.04210774
353,2435,Lansing Catholic HS,439,439,B,high_school,Lansing Catholic,-84.5276463,42.7374459,MI,18457.87596,88368.8236,17.27833588
356,3053,Beal City HS,,,,high_school,Beal City HS,-84.9127615,43.6741539,MI,25698.31189,89488.15585,22.31018312
357,3053,Boyne City HS,436,436,B,high_school,Boyne City County Park,-84.9975093,45.2058653,MI,21397.3751,92586.5827,18.77226893
359,1668,Algonac HS,433,433,B,high_school,Algonac High School,-82.5823976,42.6286202,MI,30426.88543,83361.73317,26.73983198
365,1767,Chesaning HS,421,421,B,high_school,Chesaning Union HS,-84.1253816,43.1946837,MI,42709.40336,93437.23628,31.37014874
366,1767,Chesaning HS - F2,,,,high_school,Chesaning Union High School,-84.1253855,43.1946838,MI,42979.91249,94199.2011,31.33123649
367,1767,Chesaning HS - F3,,,,high_school,Chesaning Union HS - Field ,-84.1254496,43.1935652,MI,34692.33411,83266.45368,29.41055496
381,1932,Ecorse HS,402,402,B,high_school,Ecorse High School,-83.149694,42.2528271,MI,29410.76772,78787.63832,27.182256
382,6130,Gladstone HS,402,402,B,high_school,Gladstone High School,-87.0388936,45.85971,MI,22977.76982,84311.83807,21.41658477
383,6130,Gladstone YOUTH,402,402,B,youth,Gladstone_youth,-87.0393735,45.8605932,MI,10047.92257,36433.6804,21.61698807
388,5578,Watervliet HS,399,399,B,high_school,Watervliet HS,-86.2497962,42.1861372,MI,29976.7276,90757.15621,24.82876112
389,1635,Clinton HS,397,397,C,high_school,Clinton High School,-83.9647212,42.0745982,MI,23741.90416,91577.13604,20.58801749
405,7252,Blissfield HS,380,380,C,high_school,Blissfield,-83.8684514,41.8222438,MI,20396.01801,92349.49511,18.09031459
408,6650,Buchanan HS,376,376,C,high_school,Buchanan HS,-86.3709785,41.8239409,MI,22659.93525,88476.13651,20.38936134
413,1338,Laingsburg HS,371,371,C,high_school,Laingsburg HS,-84.342751,42.878632,MI,28675.73582,98635.21566,22.52417053
418,1503,Scottville - Mason County Central HS,360,360,C,high_school,Mason County Central High School,-86.2891178,43.9590923,MI,33783.13605,87955.89541,27.75045574
428,6568,Hemlock HS,337,337,C,high_school,Hemlock HS,-84.2333581,43.4238904,MI,24829.6662,87160.37509,22.17131623
438,1107,Traverse City - St Francis HS,329,329,C,high_school,Traverse City St Frances,-85.5597553,44.7118419,MI,14023.55425,94784.62864,12.88832685
440,7368,Bronson HS,325,325,C,high_school,Bronson high School,-85.1894145,41.865696,MI,25821.50103,90957.15232,22.11149066
441,5090,Bangor HS,324,324,C,high_school,Bangor High School,-86.1259456,42.3056833,MI,39831.56961,103637.228,27.76322816
447,6717,Rochester HS,,,,high_school,Rochester HS,-83.1562451,42.6774369,MI,29531.01691,88582.21744,25.00229299
452,1362,Bad Axe HS,310,310,C,high_school,. Bad Axe HS,-83.0174535,43.8055552,MI,38845.40851,86274.33515,31.04658576
453,5743,Bath HS,310,310,C,high_school,Bath High School,-84.4399041,42.8139458,MI,17232.89814,102353.1447,14.41045939
455,3482,Jackson - Lumen Christi HS,310,310,C,high_school,Jackson Lumen Christi HS,-84.4602665,42.2219816,MI,20497.61884,92031.7019,18.21535819
