host,district,park_name,Plot Note,Map Link MHSAA
Schoolcraft,82,Schoolcraft HS,,"http://maps.google.com/maps?q=Schoolcraft High School, 551 East Lyons Street  Schoolcraft, MI 49087"
Hanover-Horton,83,Hanover-Horton HS,,"http://maps.google.com/maps?q=Hanover-Horton High School - Baseball,   Horton, MI "
Napoleon,84,Napoleon HS,,"http://maps.google.com/maps?q=Napoleon High - Baseball, 201-21 west ave.  Napoleon, MI "
Grass Lake,85,Grass Lake HS - high school,,"http://maps.google.com/maps?q=Grass Lake High School  - Baseball, 11500 Warrior Trial   Grass Lake , MI "
Clinton,86,Clinton High School,,"http://maps.google.com/maps?q=Clinton High School - Baseball, 341 East Michigan  Clinton, MI "
Ottawa Lake Whiteford,87,Ottawa Lake - Whiteford High School,,"http://maps.google.com/maps?q=Whiteford High School - Baseball,   Ottawa Lake, MI "
Ann Arbor Greenhills,88,Ann Arbor Greenhills HS,,"http://maps.google.com/maps?q=Concordia University, 4090 Geddes Rd.  Ann Arbor, MI 48105"
Detroit Communication Media Arts,89,,"not done, not sure where the field is","http://maps.google.com/maps?q=Communication & Media Arts High School - Detroit, 14771 Mansfield  Detroit, MI 48227"
Ecorse,90,Ecorse High School,,"http://maps.google.com/maps?q=Ecorse High School, 27225 W Outer Drive  Ecorse, MI 48229"
Detroit Osborn,91,,,"http://maps.google.com/maps?q=Detroit Osborn, 11600 E 7 Mile Rd  Detroit, MI 48205"
Madison Heights Bishop Foley,92,Madison Heights Bishop Foley - high school,,"http://maps.google.com/maps?q=Bishop Foley - Baseball, 32000 Campbell  Madison Heights, MI "
Algonac,93,Algonac High School,,"http://maps.google.com/maps?q=Algonac High School, 5200 Taft Rd  Algonac, MI 48001-4701"
Burton Bentley,94,Burton Bentley HS,,"http://maps.google.com/maps?q=Bentley High School, 1150 N Belsay Rd  Burton, MI 48509"
Vassar,95,Vassar HS,,"http://maps.google.com/maps?q=Vassar High School - Baseball, 220 Athletic Street  Vassar, MI "
Caro,96,Caro HS,,"http://maps.google.com/maps?q=Caro HS, 301 Hooper St.  Caro, MI "
Painesdale Jeffers,97,,no current imagery? - address is in middle of woods,"http://maps.google.com/maps?q=Stanton Baseball Field, Ball field road  Atlantic Mine, MI "
Norway,98,Norway High School,,"http://maps.google.com/maps?q=Norway, 300 Section St  Norway, MI 49870"
Rudyard,99,Rudyard HS,,"http://maps.google.com/maps?q=Rudyard Township fields - Baseball, 11185 w. second st  rudyard, MI "
Harbor Springs,100,Harbor Springs High School,,"http://maps.google.com/maps?q=Kosequat Field,   , MI "
Central Lake,101,Central Lake HS - high_school,,"http://maps.google.com/maps?q=Central Lake Gymnasium, 3627 N. M-88  Central Lake, MI "
Gaylord St Mary,102,Gaylord St Mary High School - high school,,"http://maps.google.com/maps?q=Gaylord St Mary, 321 N Otsego Ave  Gaylord, MI 49735"
Hillman,103,Hillman HS,,"http://maps.google.com/maps?q=Hillman H.S. - Baseball,   Hillman, MI "
Alcona,104,Alcona HS,x,"http://maps.google.com/maps?q=Alcona High School - Baseball,   Alcona, MI "
Frankfort,105,Frankfort-Elberta Area HS,,"http://maps.google.com/maps?q=Lockhart Field, 534 11th Street  Frankfort, MI "
