teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Armada,1,3.0,3.0,3.0,1,7.0,7.0,7.0,1.0,0.0,0.0,-4.0,-4.0,9,4.888888888888889,4.0,44.0,9,6.222222222222222,5.0,56.0,6.0,14.0,3.0,0.3333333333333333,-12.0,-1.333333333333333,3.0,2.6666666666666665,2.0,8.0,3.0,5.0,3.0,15.0,2.0,7.0,1.0,0.3333333333333333,-7.0,-2.3333333333333335,6.0,6.0,5.5,36.0,6.0,6.833333333333333,5.0,41.0,4.0,7.0,2.0,0.3333333333333333,-5.0,-0.833333333333333
Ashley,1,6.0,6.0,6.0,1,9.0,9.0,9.0,1.0,0.0,0.0,-3.0,-3.0,0,,,0.0,0,,,0.0,0.0,11.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,4.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,7.0,0.0,,0.0,
Athens,1,0.0,0.0,0.0,1,11.0,11.0,11.0,1.0,0.0,0.0,-11.0,-11.0,0,,,0.0,0,,,0.0,0.0,22.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,12.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,10.0,0.0,,0.0,
Au Gres-Sims,1,6.0,6.0,6.0,1,18.0,18.0,18.0,1.0,0.0,0.0,-12.0,-12.0,4,3.0,3.0,12.0,4,8.5,9.0,34.0,4.0,8.0,0.0,0.0,-22.0,-5.5,1.0,5.0,5.0,5.0,1.0,15.0,15.0,15.0,1.0,6.0,0.0,0.0,-10.0,-10.0,3.0,2.3333333333333335,1.0,7.0,3.0,6.333333333333333,7.0,19.0,3.0,2.0,0.0,0.0,-12.0,-3.9999999999999996
Auburn Hills Avondale,1,4.0,4.0,4.0,1,5.0,5.0,5.0,1.0,0.0,0.0,-1.0,-1.0,4,4.75,6.0,19.0,4,5.0,4.0,20.0,1.0,25.0,3.0,0.75,-1.0,-0.25,2.0,3.5,3.5,7.0,2.0,7.5,7.5,15.0,1.0,13.0,1.0,0.5,-8.0,-4.0,2.0,6.0,6.0,12.0,2.0,2.5,2.5,5.0,0.0,12.0,2.0,1.0,7.0,3.5
Auburn Hills Oakland Christian,4,9.0,9.0,36.0,4,1.75,1.5,7.0,1.0,3.0,0.75,29.0,7.25,3,6.0,7.0,18.0,3,6.333333333333333,5.0,19.0,2.0,29.0,1.0,0.3333333333333333,-1.0,-0.33333333333333304,2.0,5.0,5.0,10.0,2.0,8.0,8.0,16.0,2.0,13.0,0.0,0.0,-6.0,-3.0,1.0,8.0,8.0,8.0,1.0,3.0,3.0,3.0,0.0,16.0,1.0,1.0,5.0,5.0
Bad Axe,2,6.5,6.5,13.0,2,7.0,7.0,14.0,1.0,1.0,0.5,-1.0,-0.5,2,6.0,6.0,12.0,2,4.5,4.5,9.0,1.0,24.0,1.0,0.5,3.0,1.5,0.0,,,0.0,0.0,,,0.0,0.0,12.0,0.0,,0.0,,2.0,6.0,6.0,12.0,2.0,4.5,4.5,9.0,1.0,12.0,1.0,0.5,3.0,1.5
Bangor,1,0.0,0.0,0.0,1,8.0,8.0,8.0,1.0,0.0,0.0,-8.0,-8.0,1,4.0,4.0,4.0,1,14.0,14.0,14.0,1.0,16.0,0.0,0.0,-10.0,-10.0,1.0,4.0,4.0,4.0,1.0,14.0,14.0,14.0,1.0,9.0,0.0,0.0,-10.0,-10.0,0.0,,,0.0,0.0,,,0.0,0.0,7.0,0.0,,0.0,
Bark River-Harris,2,9.0,9.0,18.0,2,6.0,6.0,12.0,1.0,1.0,0.5,6.0,3.0,24,7.916666666666667,7.5,190.0,24,3.5833333333333335,1.5,86.0,7.0,1.0,17.0,0.7083333333333334,104.0,4.333333333333334,12.0,8.25,8.0,99.0,12.0,2.9166666666666665,1.0,35.0,3.0,1.0,9.0,0.75,64.0,5.333333333333334,12.0,7.583333333333333,6.5,91.0,12.0,4.25,3.0,51.0,4.0,0.0,8.0,0.6666666666666666,40.0,3.333333333333333
Bath,1,0.0,0.0,0.0,1,10.0,10.0,10.0,1.0,0.0,0.0,-10.0,-10.0,4,0.25,0.0,1.0,4,15.5,15.5,62.0,4.0,9.0,0.0,0.0,-61.0,-15.25,2.0,0.0,0.0,0.0,2.0,15.0,15.0,30.0,2.0,4.0,0.0,0.0,-30.0,-15.0,2.0,0.5,0.5,1.0,2.0,16.0,16.0,32.0,2.0,5.0,0.0,0.0,-31.0,-15.5
Battle Creek Central,1,0.0,0.0,0.0,1,15.0,15.0,15.0,1.0,0.0,0.0,-15.0,-15.0,1,2.0,2.0,2.0,1,18.0,18.0,18.0,1.0,16.0,0.0,0.0,-16.0,-16.0,1.0,2.0,2.0,2.0,1.0,18.0,18.0,18.0,1.0,9.0,0.0,0.0,-16.0,-16.0,0.0,,,0.0,0.0,,,0.0,0.0,7.0,0.0,,0.0,
Battle Creek Harper Creek,2,1.5,1.5,3.0,2,6.0,6.0,12.0,1.0,1.0,0.5,-9.0,-4.5,3,3.3333333333333335,0.0,10.0,3,10.0,10.0,30.0,2.0,18.0,1.0,0.3333333333333333,-20.0,-6.666666666666666,1.0,10.0,10.0,10.0,1.0,5.0,5.0,5.0,0.0,10.0,1.0,1.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,12.5,12.5,25.0,2.0,8.0,0.0,0.0,-25.0,-12.5
Battle Creek Lakeview,3,8.666666666666666,8.0,26.0,3,5.666666666666667,5.0,17.0,1.0,2.0,0.6666666666666666,9.0,2.999999999999999,5,10.6,6.0,53.0,5,3.0,2.0,15.0,1.0,19.0,4.0,0.8,38.0,7.6,3.0,14.0,17.0,42.0,3.0,2.3333333333333335,1.0,7.0,0.0,10.0,3.0,1.0,35.0,11.666666666666666,2.0,5.5,5.5,11.0,2.0,4.0,4.0,8.0,1.0,9.0,1.0,0.5,3.0,1.5
Battle Creek Pennfield,2,3.5,3.5,7.0,2,2.5,2.5,5.0,1.0,1.0,0.5,2.0,1.0,22,9.090909090909092,10.0,200.0,22,3.909090909090909,4.0,86.0,5.0,9.0,17.0,0.7727272727272727,114.0,5.1818181818181825,11.0,7.2727272727272725,5.0,80.0,11.0,4.545454545454546,4.0,50.0,4.0,3.0,7.0,0.6363636363636364,30.0,2.7272727272727266,11.0,10.909090909090908,11.0,120.0,11.0,3.272727272727273,2.0,36.0,1.0,6.0,10.0,0.9090909090909091,84.0,7.636363636363635
Bay City All Saints,2,6.5,6.5,13.0,2,8.0,8.0,16.0,1.0,1.0,0.5,-3.0,-1.5,28,10.214285714285714,10.0,286.0,28,3.0357142857142856,1.0,85.0,7.0,5.0,21.0,0.75,201.0,7.178571428571428,18.0,9.777777777777779,9.5,176.0,18.0,2.0555555555555554,1.0,37.0,4.0,3.0,14.0,0.7777777777777778,139.0,7.722222222222223,10.0,11.0,11.5,110.0,10.0,4.8,2.0,48.0,3.0,2.0,7.0,0.7,62.0,6.2
