teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_T,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Royal Oak,2,3.5,3.5,7.0,2,6.0,6.0,12.0,1.0,0.0,1.0,0.5,-5.0,-2.5,26.0,7.423076923076923,7.0,193.0,26.0,3.923076923076923,1.5,102.0,7.0,5.0,17.0,0.6538461538461539,91.0,3.5000000000000004,14.0,5.642857142857143,6.0,79.0,14.0,3.0714285714285716,1.0,43.0,3.0,2.0,10.0,0.7142857142857143,36.0,2.5714285714285716,12.0,9.5,8.0,114.0,12.0,4.916666666666667,3.5,59.0,4.0,3.0,7.0,0.5833333333333334,55.0,4.583333333333333
Royal Oak Shrine Catholic,3,9.0,12.0,27.0,3,3.6666666666666665,2.0,11.0,1.0,0.0,2.0,0.6666666666666666,16.0,5.333333333333334,28.0,7.142857142857143,8.0,200.0,28.0,2.107142857142857,1.0,59.0,6.0,5.0,22.0,0.7857142857142857,141.0,5.0357142857142865,15.0,8.2,10.0,123.0,15.0,1.7333333333333334,1.0,26.0,2.0,3.0,13.0,0.8666666666666667,97.0,6.466666666666666,13.0,5.923076923076923,6.0,77.0,13.0,2.5384615384615383,2.0,33.0,4.0,2.0,9.0,0.6923076923076923,44.0,3.384615384615385
Rudyard,6,4.666666666666667,3.0,28.0,6,0.8333333333333334,1.0,5.0,1.0,0.0,5.0,0.8333333333333334,23.0,3.8333333333333335,17.0,9.882352941176471,11.0,168.0,17.0,1.4705882352941178,1.0,25.0,3.0,4.0,14.0,0.8235294117647058,143.0,8.411764705882353,8.0,12.5,14.0,100.0,8.0,0.5,0.0,4.0,0.0,1.0,8.0,1.0,96.0,12.0,9.0,7.555555555555555,3.0,68.0,9.0,2.3333333333333335,1.0,21.0,3.0,3.0,6.0,0.6666666666666666,47.0,5.222222222222221
Saginaw,1,0.0,0.0,0.0,1,5.0,5.0,5.0,1.0,0.0,0.0,0.0,-5.0,-5.0,6.0,0.3333333333333333,0.0,2.0,6.0,15.833333333333334,15.0,95.0,6.0,6.0,0.0,0.0,-93.0,-15.5,0.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,,0.0,,6.0,0.3333333333333333,0.0,2.0,6.0,15.833333333333334,15.0,95.0,6.0,5.0,0.0,0.0,-93.0,-15.5
Saginaw Arthur Hill,1,0.0,0.0,0.0,1,16.0,16.0,16.0,1.0,0.0,0.0,0.0,-16.0,-16.0,10.0,0.9,0.5,9.0,10.0,17.1,16.0,171.0,10.0,13.0,0.0,0.0,-162.0,-16.200000000000003,4.0,0.5,0.0,2.0,4.0,20.0,19.0,80.0,4.0,5.0,0.0,0.0,-78.0,-19.5,6.0,1.1666666666666667,1.0,7.0,6.0,15.166666666666666,15.0,91.0,6.0,8.0,0.0,0.0,-84.0,-14.0
Saginaw Heritage,1,0.0,0.0,0.0,1,5.0,5.0,5.0,1.0,0.0,0.0,0.0,-5.0,-5.0,16.0,7.9375,7.5,127.0,16.0,2.9375,2.0,47.0,5.0,13.0,11.0,0.6875,80.0,5.0,6.0,7.666666666666667,8.0,46.0,6.0,2.6666666666666665,0.5,16.0,1.0,8.0,5.0,0.8333333333333334,30.0,5.0,10.0,8.1,7.5,81.0,10.0,3.1,3.0,31.0,4.0,5.0,6.0,0.6,50.0,5.0
Saginaw Michigan Lutheran Seminary,2,4.5,4.5,9.0,2,2.5,2.5,5.0,1.0,0.0,1.0,0.5,4.0,2.0,23.0,7.956521739130435,6.0,183.0,23.0,4.913043478260869,4.0,113.0,10.0,2.0,13.0,0.5652173913043478,70.0,3.0434782608695654,11.0,9.454545454545455,8.0,104.0,11.0,3.8181818181818183,4.0,42.0,2.0,2.0,9.0,0.8181818181818182,62.0,5.636363636363637,12.0,6.583333333333333,4.5,79.0,12.0,5.916666666666667,4.0,71.0,8.0,0.0,4.0,0.3333333333333333,8.0,0.6666666666666661
Saginaw Nouvel,2,6.0,6.0,12.0,2,2.0,2.0,4.0,1.0,0.0,1.0,0.5,8.0,4.0,11.0,4.090909090909091,2.0,45.0,11.0,6.454545454545454,9.0,71.0,7.0,17.0,4.0,0.36363636363636365,-26.0,-2.3636363636363633,7.0,5.714285714285714,4.0,40.0,7.0,5.857142857142857,9.0,41.0,3.0,8.0,4.0,0.5714285714285714,-1.0,-0.14285714285714235,4.0,1.25,1.5,5.0,4.0,7.5,7.5,30.0,4.0,9.0,0.0,0.0,-25.0,-6.25
Saginaw Swan Valley,2,1.5,1.5,3.0,2,3.5,3.5,7.0,1.0,0.0,1.0,0.5,-4.0,-2.0,17.0,7.0,7.0,119.0,17.0,3.411764705882353,3.0,58.0,3.0,10.0,14.0,0.8235294117647058,61.0,3.588235294117647,6.0,7.333333333333333,7.0,44.0,6.0,3.1666666666666665,2.5,19.0,1.0,3.0,5.0,0.8333333333333334,25.0,4.166666666666666,11.0,6.818181818181818,8.0,75.0,11.0,3.5454545454545454,3.0,39.0,2.0,7.0,9.0,0.8181818181818182,36.0,3.272727272727273
Saginaw Valley Lutheran,1,3.0,3.0,3.0,1,8.0,8.0,8.0,1.0,0.0,0.0,0.0,-5.0,-5.0,5.0,3.4,4.0,17.0,5.0,10.8,12.0,54.0,5.0,20.0,0.0,0.0,-37.0,-7.4,0.0,,,0.0,0.0,,,0.0,0.0,12.0,0.0,,0.0,,5.0,3.4,4.0,17.0,5.0,10.8,12.0,54.0,5.0,8.0,0.0,0.0,-37.0,-7.4
