Column1,school,Done already?,Column2,
271,Fowler HS,,,
272,Muskegon Catholic Central HS,,,
273,Britton Deerfield HS,,,
274,Gobles HS,,,
275,Decatur HS,,,
277,White Cloud HS,,,
278,St Joseph Michigan Lutheran HS,,,
279,Colon HS,,,
280,Norway HS,,,
281,Gaylord St Mary HS,,,
282,Alcona HS,,,
283,Bear Lake HS,,,
285,Litchfield HS,,,
287,Plymouth Christian Academy HS,,,
288,Waterford Our Lady of the Lakes HS,,,
289,Kingston HS,,,
298,Onaway HS,,,
303,Mount Pleasant Sacred Heart HS,,cant find,
307,Wyoming Tri-unity Christian HS,,,
308,Byron Center Zion Christian HS,,,
309,Wyoming Potter's House Christian HS,,,
310,Morrice HS,,,
319,Kalamazoo Christian HS,,,
320,Kalamazoo Hackett Catholic Prep HS,,,
323,Marcellus HS,x,,
324,Petersburg Summerfield HS,,,
325,Morenci HS,,,
326,Addison HS,,,
327,Allen Park Cabrini HS,x,,
328,Allen Park Inter-City Baptist HS,x,,
329,Taylor Trillium Academy HS,,cant find,
330,Bloomfield Hills Roeper HS,,cant find,
331,Detroit Davis Aerospace HS,,cant find,
332,Sterling Heights Parkway Christian HS,,,
333,Auburn Hills Oakland Christian HS,x,,
334,Clarkston Everest Collegiate HS,,,
335,Capac HS,,,
336,Peck HS,,,
337,Dryden HS,,,
338,Ironwood HS,,,
339,Ontonagon HS,,,
340,Lake Linden-Hubbell HS,,,
341,Bark River-Harris HS,,,
342,Manistique HS,,,
343,Powers North Central HS,,,
344,Pickford HS,,,
345,Brimley HS,,,
346,Pellston HS,,,
347,Alanson HS,,,
348,Harbor Springs Harbor Light Christian HS,,,
349,Brethren HS,,,
350,Mesick HS,,,
351,Manistee Catholic Central HS,,,
352,Mason County Eastern HS,,,
353,New Buffalo HS,,,
354,Three Oaks River Valley HS,,,
355,Eau Claire HS,,,
356,Mendon HS,,,
357,Burr Oak HS,,,
358,White Pigeon HS,,,
359,Athens HS,,,
360,Tekonsha HS,,,
361,Bellevue HS,,,
362,Concord HS,,,
363,East Jackson HS,,,
364,Vandercook Lake HS,,,
365,Waldron HS,,,
366,North Adams-Jerome HS,,,
367,Reading HS,,,
368,Lutheran Westland HS,,,
369,West Bloomfield Frankel Jewish Academy HS,,,
370,Westland Huron Valley Lutheran HS,,,
371,Genesee Christian HS,,,
372,Marlette HS,,,
373,Mayville HS,,,
374,Akron-Fairgrove HS,,,
375,Unionville-Sebewaing HS,,,
376,Caseville HS,,,
377,Kinde North Huron HS,,,
379,Carsonville-Port Sanilac HS,,,
380,,,,
381,Hancock HS,,,
382,Wakefield-Marenisco HS,,,
384,Crystal Falls Forest Park HS,,,
385,Mackinaw City HS,,,
386,Boyne Falls HS,,,
387,Hillman HS,,,
389,Whittemore-Prescott HS,,,
390,Frankfort HS,,,
393,Saginaw Michigan Lutheran Seminary HS,,,
394,St Joseph Our Lady of the Lake Catholic HS,,,
395,Kalamazoo Heritage Christian HS,,,
396,Camden-Frontier HS,,,
399,Southfield Christian HS,,,
400,New Haven Merritt Academy HS,,,
