,school,Done already?,,
318,Merrill HS,,,
319,Kalamazoo Christian HS,,,
320,Kalamazoo Hackett Catholic Prep HS,,,
321,Lawrence HS,,,
322,Cassopolis HS,,,
323,Marcellus HS,,,
324,Petersburg Summerfield HS,,,
325,Morenci HS,,,
326,Addison HS,,,
327,Allen Park Cabrini HS,,,
328,Allen Park Inter-City Baptist HS,,,
329,Taylor Trillium Academy HS,,,
330,Bloomfield Hills Roeper HS,,,
331,Detroit Davis Aerospace HS,,,
332,Sterling Heights Parkway Christian HS,,,
333,Auburn Hills Oakland Christian HS,,,
334,Clarkston Everest Collegiate HS,,,
335,Capac HS,,,
336,Peck HS,,,
337,Dryden HS,,,
338,Ironwood HS,,,
339,Ontonagon HS,,,
340,Lake Linden-Hubbell HS,,,
341,Bark River-Harris HS,,,
342,Manistique HS,,,
343,Powers North Central HS,,,
344,Pickford HS,,,
345,Brimley HS,,,
346,Pellston HS,,,
347,Alanson HS,,,
348,Harbor Springs Harbor Light Christian HS,,,
349,Brethren HS,,,
350,Mesick HS,,,
351,Manistee Catholic Central HS,,,
352,Mason County Eastern HS,,,
353,New Buffalo HS,,,
354,Three Oaks River Valley HS,,,
355,Eau Claire HS,,,
356,Mendon HS,,,
357,Burr Oak HS,,,
358,White Pigeon HS,,,
359,Athens HS,,,
360,Tekonsha HS,,,
361,Bellevue HS,,,
362,Concord HS,,,
363,East Jackson HS,,,
364,Vandercook Lake HS,,,
365,Waldron HS,,,
366,North Adams-Jerome HS,,,
367,Reading HS,,,
368,Lutheran Westland HS,,,
369,West Bloomfield Frankel Jewish Academy HS,,,
370,Westland Huron Valley Lutheran HS,,,
371,Genesee Christian HS,,,
372,Marlette HS,,,
373,Mayville HS,,,
374,Akron-Fairgrove HS,,,
375,Unionville-Sebewaing HS,,,
376,Caseville HS,,,
377,Kinde North Huron HS,,,
378,Ubly HS,x,,
379,Carsonville-Port Sanilac HS,,,
380,,,,
381,Hancock HS,,,
382,Wakefield-Marenisco HS,,,
383,L'Anse HS,x,,
384,Crystal Falls Forest Park HS,,,
385,Mackinaw City HS,,,
386,Boyne Falls HS,,,
387,Hillman HS,,,
388,Posen HS,x,,
389,Whittemore-Prescott HS,,,
390,Frankfort HS,,,
391,Martin HS,x,,
392,Vestaburg HS,x,,
393,Saginaw Michigan Lutheran Seminary HS,,,
394,St Joseph Our Lady of the Lake Catholic HS,,,
395,Kalamazoo Heritage Christian HS,,,
396,Camden-Frontier HS,,,
397,Adrian Lenawee Christian HS,x,,
398,Novi Christian Academy HS,x,,
399,Southfield Christian HS,,,
400,New Haven Merritt Academy HS,,,
401,Genesee HS,x,,
402,Deckerville HS,x,,
403,Fife Lake Forest Area HS,,,
