,field,level,foul_ft,fop_ft,foul_pct,h_lat,h_long,match
54,Eaton Rapids High School,high_school,37223,101498,26.83,-84.635145,42.5118192,"[('Eaton Rapids HS', 89)]"
55,Ecorse High School,high_school,29411,78788,27.18,-83.149694,42.2528271,"[('Ecorse HS', 80)]"
56,Edwardsburg HS,high_school,30166,85216,26.14,-86.091742,41.7896252,"[('Edwardsburg HS', 100)]"
58,Essexville Garber HS,high_school,25204,91284,21.64,-83.8341762,43.6056341,"[('Essexville - Garber HS', 100)]"
59,Everett High School,high_school,36876,93448,28.3,-84.5561434,42.6905115,"[('Lansing - Everett HS', 59)]"
60,Fankfort H S,high_school,25913,89205,22.51,-86.225851,44.634408,"[('Frankfort HS', 92)]"
62,Forrest Hills Eastern High School,high_school,34528,98244,26.01,-85.5286469,43.0058274,"[('Ada - Forest Hills Eastern HS', 77)]"
63,Fowlerville HS,high_school,19823,94791,17.3,-84.0655802,42.6688057,"[('Fowlerville HS', 100)]"
64,Gabriel Richard HS,high_school,22712,92645,19.69,-83.2089242,42.1817944,"[('Ann Arbor - Father Gabriel Richard HS', 100)]"
67,Garber High School Essexville,high_school,25668,91404,21.92,-83.8341769,43.6056339,"[('Essexville - Garber HS', 92)]"
68,Gladstone High School,high_school,22978,84312,21.42,-87.0388936,45.85971,"[('Gladstone HS', 86)]"
70,Gladwin High School,high_school,26731,93477,22.24,-84.4919148,43.9902464,"[('Gladwin HS', 82)]"
72,Goodrich HS,high_school,33688,91640,26.88,-83.5294795,42.9168576,"[('Goodrich HS', 100)]"
73,GR West Catholic HS,high_school,23866,94829,20.11,-85.712159,42.9943182,"[('Grand Rapids - West Catholic HS', 91)]"
75,Grand Blanc HS,high_school,26522,93196,22.15,-83.6283145,42.9187188,"[('Grand Blanc HS', 100)]"
76,Grand Ledge High School,high_school,28836,79361,26.65,-84.7539894,42.7472938,"[('Grand Ledge HS', 88)]"
77,Grand Ledge Bridge St (10u),high_school,11531,37086,23.72,-84.7448975,42.7543876,
78,Grand Ledge Hayes (12u),high_school,8452,43893,16.15,-84.7006386,42.7518189,
79,Grand Ledge JV,high_school,23247,70057,24.92,-84.7588678,42.7462458,
80,Kenowa Hills High School,high_school,37758,93310,28.81,-85.7475037,43.0343372,"[('Grand Rapids - Kenowa Hills HS', 67)]"
81,Gross Pointe North High School,high_school,19075,80421,19.17,-82.8911176,42.4379668,"[('Grosse Pointe North HS', 81)]"
82,Gross Pointe South High School,high_school,21527,83785,20.44,-82.9025228,42.3918844,"[('Grosse Pointe South HS', 73)]"
