date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id,image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation
2016-02-24,Texas State,Rice,,4.0,8.0,1.0,8.0,11.0,4.0,,,Reckling Park,Houston,TX,Rice,The American,6193,2000,,29.7132708,-95.404089,14.29854393005371
2016-02-24,Nicholls,Alabama,,1.0,5.0,2.0,13.0,20.0,0.0,,,Sewell–Thomas Stadium,Tuscaloosa,AL,Alabama,Southeastern,8500,"1948closed 2015, rebuilt 2016",,33.2048713,-87.53862099999999,65.01921081542969
2016-02-24,Arkansas-Pine Bluff,TCU,,3.0,6.0,3.0,17.0,15.0,1.0,,,Lupton Stadium,Fort Worth,TX,TCU,Big 12,4500,2003,,32.7027992,-97.3721802,203.6922149658203
2016-02-24,Winthrop,South Carolina,,4.0,10.0,2.0,16.0,15.0,2.0,,,Founders Park,Columbia,SC,South Carolina,Southeastern,8242,2009,,33.9865404,-81.042621,52.44177627563477
2016-02-24,Florida A&M,Auburn,,2.0,6.0,1.0,11.0,14.0,3.0,,,Samford Stadium – Hitchcock Field at Plainsman Park,Auburn,AL,Auburn,Southeastern,4096,1950rebuilt 1996,,32.5996377,-85.48956489999999,193.3800048828125
2016-02-24,Georgia,Mercer,,7.0,9.0,3.0,6.0,9.0,2.0,,,Claude Smith Field,Macon,GA,Mercer,Southern,500,—,,32.8279324,-83.65355679999999,133.6982879638672
2016-02-24,St. Thomas (FL),Miami,,6.0,10.0,2.0,7.0,11.0,0.0,,,,,,,,,,,,,
2016-02-24,LSU,Lamar,,11.0,12.0,1.0,12.0,10.0,0.0,,,Vincent–Beck Stadium,Beaumont,TX,Lamar,Southland,3500,1969(Renovated 2006following Hurricane Rita),[38][39],30.0346661,-94.0747752,5.432114124298096
2016-02-24,Prairie View A&M,Texas A&M,,0.0,5.0,2.0,11.0,15.0,1.0,,,Olsen Field at Blue Bell Park,College Station,TX,Texas A&M,Southeastern,6100,1978renovated 2014,,30.6060601,-96.3413557,103.0995330810547
2016-02-24,St. John's,NC State,,,,,,,,,,,,,,,,,,,,
2016-02-25,Oregon State,Kansas State,,7.0,8.0,0.0,5.0,9.0,2.0,,,Tointon Family Stadium,Manhattan,KS,Kansas State,Big 12,2331,1961,,39.1992239,-96.5969735,340.9178161621094
2016-02-25,Illinois State,Oregon,,5.0,10.0,0.0,8.0,6.0,0.0,,,PK Park,Eugene,OR,Oregon,Pac-12,4000,2009,,44.0590435,-123.0654476,128.0967559814453
2016-02-25,Stanford,Texas,,1.0,4.0,0.0,0.0,5.0,2.0,,,UFCU Disch–Falk Field,Austin,TX,Texas,Big 12,7373,1975,[14],30.2799584,-97.7261606,176.8224334716797
2016-02-26,Wright State,NC State,,10.0,14.0,0.0,8.0,11.0,0.0,,,,,,,,,,,,,
2016-02-26,Southern,Auburn,,6.0,12.0,6.0,18.0,15.0,1.0,,,Samford Stadium – Hitchcock Field at Plainsman Park,Auburn,AL,Auburn,Southeastern,4096,1950rebuilt 1996,,32.5996377,-85.48956489999999,193.3800048828125
2016-02-26,Charleston,Florida State,,2.0,7.0,0.0,1.0,3.0,1.0,,,Mike Martin Field at Dick Howser Stadium,Tallahassee,FL,Florida State,Atlantic Coast,6700,1983,,30.4405434,-84.3040448,21.59014511108398
