date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id,image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation,weather_data
2016-02-19,Florida Gulf Coast,Florida,,2.0,7.0,1.0,4.0,6.0,0.0,,,Florida Ballpark,Gainesville,FL,Florida,Southeastern,7000,2021,[35],29.6364107,-82.3637638,29.34748268127441,"{'lat': 29.6364107, 'lon': -82.3637638, 'tz': '-05:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 52.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 44.56, 'max': 70.27, 'afternoon': 67.78, 'night': 48.83, 'evening': 65.03, 'morning': 47.05}, 'pressure': {'afternoon': 1030.0}, 'wind': {'max': {'speed': 12.75, 'direction': 70.0}}}"
2016-02-19,Sam Houston,Louisiana,,1.0,4.0,1.0,2.0,4.0,1.0,,,M. L. Tigue Moore Field at Russo Park,Lafayette,LA,Louisiana,Sun Belt,6015,1978renovated 2017,,30.213099,-92.041655,10.53493118286133,"{'lat': 30.213099, 'lon': -92.041655, 'tz': '-06:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 40.0}, 'humidity': {'afternoon': 59.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 54.0, 'max': 73.98, 'afternoon': 73.51, 'night': 55.98, 'evening': 67.82, 'morning': 55.09}, 'pressure': {'afternoon': 1025.0}, 'wind': {'max': {'speed': 14.99, 'direction': 190.0}}}"
2016-02-19,Maryland,Alabama,,1.0,5.0,0.0,3.0,5.0,2.0,,,Sewell–Thomas Stadium,Tuscaloosa,AL,Alabama,Southeastern,8500,"1948closed 2015, rebuilt 2016",,33.2048713,-87.53862099999999,65.01921081542969,"{'lat': 33.2048713, 'lon': -87.53862099999999, 'tz': '-06:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 37.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 43.61, 'max': 71.33, 'afternoon': 67.96, 'night': 46.89, 'evening': 66.47, 'morning': 46.96}, 'pressure': {'afternoon': 1027.0}, 'wind': {'max': {'speed': 17.22, 'direction': 170.0}}}"
2016-02-19,Loyola Marymount,TCU,,5.0,7.0,1.0,3.0,12.0,2.0,,,Lupton Stadium,Fort Worth,TX,TCU,Big 12,4500,2003,,32.7027992,-97.3721802,203.6922149658203,"{'lat': 32.7027992, 'lon': -97.3721802, 'tz': '-06:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 55.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 60.51, 'max': 80.01, 'afternoon': 73.54, 'night': 65.1, 'evening': 75.38, 'morning': 60.51}, 'pressure': {'afternoon': 1019.0}, 'wind': {'max': {'speed': 25.28, 'direction': 180.0}}}"
2016-02-19,Cincinnati,LSU,,5.0,6.0,4.0,6.0,8.0,1.0,,,"Alex Box Stadium, Skip Bertman Field",Baton Rouge,LA,LSU,Southeastern,10326,2009,https://lsusports.net/facilities/alex-box-stadium/,30.4056564,-91.1879038,6.844009876251221,"{'lat': 30.4056564, 'lon': -91.1879038, 'tz': '-06:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 53.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 49.68, 'max': 75.61, 'afternoon': 72.82, 'night': 54.21, 'evening': 69.55, 'morning': 49.8}, 'pressure': {'afternoon': 1025.0}, 'wind': {'max': {'speed': 17.22, 'direction': 190.0}}}"
2016-02-19,North Carolina,UCLA,,4.0,9.0,0.0,0.0,5.0,0.0,,,Jackie Robinson Stadium,Los Angeles,CA,UCLA,Pac-12,1820,1981,[33],34.0592278,-118.4592393,110.9767608642578,"{'lat': 34.0592278, 'lon': -118.4592393, 'tz': '-08:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 62.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 51.17, 'max': 64.45, 'afternoon': 62.71, 'night': 56.25, 'evening': 60.12, 'morning': 51.37}, 'pressure': {'afternoon': 1019.0}, 'wind': {'max': {'speed': 10.29, 'direction': 230.0}}}"
2016-02-19,Cal State Fullerton,Stanford,,,,,,,,,,Klein Field at Sunken Diamond,Stanford,CA,Stanford,Pac-12,4000,1931,,37.43173,-122.1587444,18.79486274719238,"{'lat': 37.43173, 'lon': -122.1587444, 'tz': '-08:00', 'date': '2016-02-19', 'units': 'imperial', 'cloud_cover': {'afternoon': 75.0}, 'humidity': {'afternoon': 55.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 47.62, 'max': 62.15, 'afternoon': 62.1, 'night': 50.18, 'evening': 52.34, 'morning': 48.16}, 'pressure': {'afternoon': 1021.0}, 'wind': {'max': {'speed': 17.22, 'direction': 240.0}}}"
2016-02-20,South Dakota State,Mississippi State,,4.0,13.0,1.0,17.0,17.0,1.0,,,"Dudy Noble Field, Polk–DeMent Stadium",Starkville,MS,Mississippi State,Southeastern,15000,"1967rebuilt 1987, renovated 2001, rebuilt 2019",,33.4630609,-88.7940698,110.2767028808594,"{'lat': 33.4630609, 'lon': -88.7940698, 'tz': '-06:00', 'date': '2016-02-20', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 77.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 58.28, 'max': 69.91, 'afternoon': 65.39, 'night': 59.61, 'evening': 65.43, 'morning': 58.37}, 'pressure': {'afternoon': 1022.0}, 'wind': {'max': {'speed': 11.41, 'direction': 200.0}}}"
2016-02-20,Memphis,Tennessee,,13.0,15.0,0.0,8.0,13.0,3.0,,,Lindsey Nelson Stadium,Knoxville,TN,Tennessee,Southeastern,4387,1959rebuilt 1993,,35.949736,-83.92927000000002,275.599609375,"{'lat': 35.949736, 'lon': -83.92927000000002, 'tz': '-05:00', 'date': '2016-02-20', 'units': 'imperial', 'cloud_cover': {'afternoon': 90.0}, 'humidity': {'afternoon': 80.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 54.3, 'max': 58.69, 'afternoon': 56.46, 'night': 54.55, 'evening': 57.61, 'morning': 55.71}, 'pressure': {'afternoon': 1023.0}, 'wind': {'max': {'speed': 12.75, 'direction': 220.0}}}"
2016-02-20,Georgia Southern,Georgia,,5.0,8.0,0.0,3.0,4.0,0.0,,,Foley Field,Athens,GA,Georgia,Southeastern,3291,1966renovated 2015,,33.9408739,-83.37970969999999,209.9534606933594,"{'lat': 33.9408739, 'lon': -83.37970969999999, 'tz': '-05:00', 'date': '2016-02-20', 'units': 'imperial', 'cloud_cover': {'afternoon': 75.0}, 'humidity': {'afternoon': 67.0}, 'precipitation': {'total': 0.8}, 'temperature': {'min': 45.07, 'max': 62.82, 'afternoon': 60.8, 'night': 46.65, 'evening': 61.05, 'morning': 47.08}, 'pressure': {'afternoon': 1025.0}, 'wind': {'max': {'speed': 6.98, 'direction': 227.0}}}"
