school_name,school_abrv,school_nickname,street_address,city,state,zip_code,ncaa_member_since,hbcu_status,public_private_status,head_coach,division,conference
University of Wisconsin-Oshkosh,UWO,Titans,800 Algoma Blvd,Oshkosh,WI,54901,9/1/1974,No,Public,Kevin Tomasiewicz,III,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin-Parkside,UWP,Rangers,900 Wood Road,Kenosha,WI,53141,9/1/1977,No,Public,Zac Charbonneau,II,Great Lakes Intercollegiate Athletic Conference
University of Wisconsin-Platteville,UWP,Pioneers,1 University Plaza,Platteville,WI,53818-3099,9/1/1980,No,Public,Chad Harris,III,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin-Stevens Point,UWSP,Pointers,2100 Main St,Stevens Point,WI,54481,9/1/1980,No,Public,Nathanael Richter,III,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin-Stout,UWS,Blue Devils,220-13th Ave East,Menomonie,WI,54751,9/1/1980,No,Public,Ben Kincaid,III,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin-Superior,UWS,Yellowjackets,1605 Catlin Avenue,Superior,WI,54880-4500,9/1/1943,No,Public,Trevor Oakes,III,Upper Midwest Athletic Conference
University of Wisconsin-Whitewater,UWW,Warhawks,800 West Main Street,Whitewater,WI,53190,9/1/1980,No,Public,John Vodenlich,III,Wisconsin Intercollegiate Athletic Conference
Wittenberg University,WU,Tigers,200 W. Ward St,Springfield,OH,45504,9/1/1954,No,Private,Brian McGee,III,North Coast Athletic Conference
Wright State University,WSU,Raiders,3640 Colonel Glenn Hwy,Dayton,OH,45435,9/1/1972,No,Public,Alex Sogard,I,Horizon League
Xavier University,XU,Musketeers,3800 Victory Parkway,Cincinnati,OH,45207-7530,9/1/1954,No,Private,Billy O'Conner,I,Big East Conference
Yeshiva University,YU,Maccabees,500 West 185th Street,New York,NY,10033-3201,9/1/1956,No,Private,Marty Craft,III,Skyline Conference
York College,Pennsylvania,Spartans,441 Country Club Rd,York,PA,17403-3651,9/1/1969,No,Private,Mike Scappa,III,Middle Atlantic Conference Commonwealth
Youngstown State University,YSU,Penguins,1 University Plaza,Youngstown,OH,44555,9/1/1946,No,Public,Dan Bertolini,I,Horizon League
Adams State University,ASU,Grizzlies,208 Edgemont,Alamosa,CO,81101,9/1/1990,No,Public,Bruce DelTondo,II,Rocky Mountain Athletic Conference
Alderson Broaddus University,AB,Battlers,101 College Hill Drive,CAMPUS BOX  2062,Philippi,WV,9/1/1994,No,Private,Zac Mishler,II,Mountain East Conference
Alvernia University,AU,Golden Wolves,400 Saint Bernardine Street,Reading,PA,19607,9/1/1994,No,Private,Yogi Lutz,III,Middle Atlantic Conference Commonwealth
Anderson University,Indiana,Ravens,1100 East Fifth Street,Anderson,IN,46012-3495,9/1/1992,No,Private,Matthew Bair,III,Heartland Collegiate Athletic Conference
Arkansas Tech University,Tech,"Wonder Boys, Golden Suns",1509 N Boulder Ave,Russellville,AR,72801,9/2/1994,No,Public,Dave Dawson,II,Great American Conference
Austin College,AC,Roos,900 North Grand Avenue,Sherman,TX,75090-4400,9/2/1994,No,Private,Shawn Counts,III,Southern Collegiate Athletic Conference
Clarks Summit University,CSU,Defenders,538 Venard Road,Clarks Summit,PA,18411,9/1/1996,No,Private,Josh Knight,III,Colonial States Athletic Conference
Arcadia University,AU,Knights,450 South Easton Road,Glenside,PA,19038-3295,9/1/1993,No,Private,Bryan Torresani,III,Middle Atlantic Conference Freedom
Bloomfield College,BC,Bears,467 Franklin Street,Bloomfield,NJ,7003,9/1/1998,No,Private,Jack Winters,II,Central Atlantic Collegiate Conference
Bluefield State University,BSU,Big Blue,219 Rock Street,Bluefield,WV,24701,9/1/1993,Yes,Public,Andrew Bailey,II,Independent
Bluffton University,BU,Beavers,1 University Drive,Bluffton,OH,45817-2104,9/1/1990,No,Private,James Grandey,III,Heartland Collegiate Athletic Conference
Caldwell University,CU,Cougars,120 Bloomfield Avenue,Caldwell,NJ,07006-6195,9/1/1998,No,Private,Hasani Whitifield,II,Central Atlantic Collegiate Conference
Cameron University,CU,Aggies,2800 W. Gore Blvd.,Lawton,OK,73505-6377,9/1/1988,No,Public,Kyle Wiliams,II,Lone Star Conference
