date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id
2016-02-23,Morehead State,NC State,,5.0,8.0,1.0,7.0,14.0,0.0,
2016-02-23,Appalachian State,South Carolina,,0.0,4.0,2.0,5.0,5.0,0.0,
2016-02-23,UT Martin,Vanderbilt,,6.0,4.0,6.0,11.0,6.0,0.0,
2016-02-23,Eastern Michigan,Florida,,4.0,7.0,0.0,12.0,12.0,1.0,
2016-02-23,McNeese,Houston,,1.0,7.0,1.0,14.0,13.0,1.0,
2016-02-23,Long Beach State,UCLA,,10.0,13.0,0.0,1.0,7.0,0.0,
2016-02-23,Arkansas State,Ole Miss,,,,,,,,
2016-02-23,Memphis,Mississippi State,,,,,,,,
2016-02-24,Missouri,Florida International,,7.0,11.0,1.0,6.0,16.0,0.0,
2016-02-24,Mississippi Valley State,Arkansas,,0.0,4.0,6.0,20.0,15.0,0.0,
2016-02-24,Eastern Illinois,Vanderbilt,,1.0,3.0,3.0,9.0,11.0,0.0,
2016-02-24,Arkansas State,Ole Miss,,3.0,6.0,3.0,4.0,6.0,0.0,
2016-02-24,Louisiana,Louisiana Tech,,2.0,7.0,0.0,6.0,11.0,0.0,
2016-02-24,Texas State,Rice,,4.0,8.0,1.0,8.0,11.0,4.0,
2016-02-24,Nicholls,Alabama,,1.0,5.0,2.0,13.0,20.0,0.0,
2016-02-24,Arkansas-Pine Bluff,TCU,,3.0,6.0,3.0,17.0,15.0,1.0,
2016-02-24,Winthrop,South Carolina,,4.0,10.0,2.0,16.0,15.0,2.0,
2016-02-24,Florida A&M,Auburn,,2.0,6.0,1.0,11.0,14.0,3.0,
2016-02-24,Georgia,Mercer,,7.0,9.0,3.0,6.0,9.0,2.0,
2016-02-24,St. Thomas (FL),Miami,,6.0,10.0,2.0,7.0,11.0,0.0,
2016-02-24,LSU,Lamar,,11.0,12.0,1.0,12.0,10.0,0.0,
2016-02-24,Eastern Michigan,Florida, AT LAKELAND FL,7.0,8.0,3.0,8.0,10.0,2.0,
2016-02-24,Prairie View A&M,Texas A&M,,0.0,5.0,2.0,11.0,15.0,1.0,
2016-02-24,St. John's,NC State,,,,,,,,
2016-02-25,Oregon State,Kansas State,,7.0,8.0,0.0,5.0,9.0,2.0,
2016-02-25,Illinois State,Oregon,,5.0,10.0,0.0,8.0,6.0,0.0,
2016-02-25,Stanford,Texas,,1.0,4.0,0.0,0.0,5.0,2.0,
2016-02-26,Missouri State,UConn, AT SPRINGFIELD MO,4.0,9.0,0.0,12.0,12.0,1.0,
2016-02-26,Hofstra,Missouri, AT FORT MYERS FL,2.0,9.0,2.0,12.0,12.0,2.0,
2016-02-26,Kansas State,Oregon State,Surprise College Baseball Classic AT SURPRISE AZ,0.0,6.0,1.0,14.0,17.0,1.0,
2016-02-26,Wright State,NC State,,10.0,14.0,0.0,8.0,11.0,0.0,
2016-02-26,Southern,Auburn,,6.0,12.0,6.0,18.0,15.0,1.0,
2016-02-26,Charleston,Florida State,,2.0,7.0,0.0,1.0,3.0,1.0,
2016-02-26,UIC,Vanderbilt,,0.0,5.0,1.0,9.0,14.0,0.0,
