School,Nickname,Color1,Color2,Color3,Color4
Fenton,Tigers,Orange , Black,,
Ferndale,Eagles,Brown, White,Gold,
Ferndale University,Driving Eagles,Gold , Black,,
Fife Lake Forest Area,Warriors,Forest Green , Gold,,
Flat Rock,Rams,Green , Gold,,
Flint Beecher,Bucs,Red , White,,
Flint Carman-Ainsworth,Cavaliers,Royal Blue , Gray,,
Flint Hamady,Hawks,Columbia Blue , White,,
Flint Kearsley,Hornets,Royal Blue , Gold,,
Flint Michigan School For The Deaf,Tartars,Navy Blue , White,,
Flint New Standard Academy,Spartans,Navy , Orange,,
Flint Powers Catholic,Chargers,Blue , Orange,,
Flint Southwestern,Jaguars,Black , Teal,,
Flushing,Raiders,Orange , Black,,
Fowler,Eagles,Blue , White,,
Fowlerville,Gladiators,Purple , Gold,,
Frankenmuth,Eagles,Red , Gray,,
Frankfort,Panthers,Purple , Gold,,
Fraser,Ramblers,Navy Blue , Gold,,
Freeland,Falcons,Green , White,,
Fremont,Packers,Red , White,,
Fruitport,Trojans,Navy , White,,
Fruitport Calvary Christian,Eagles,Blue , White ,,
Fulton,Pirates,Blue , Gold,,
Galesburg-Augusta,Rams,Cardinal , Gold,,
Garden City,Cougars,Royal , Orange,,
Gaylord,Blue Devils,Blue , Gold,,
Gaylord St Mary,Snowbirds,Blue , White,,
Genesee,Wolves,Green , White,,
Genesee Christian,Soldiers,Royal Blue , White,,
Gibraltar Carlson,Marauders,Royal Blue , White,,
Gladstone,Braves,Purple , White,,
Gladwin,Flying G's,Royal Blue , White,,
Gobles,Tigers,Blue , Orange,,
Goodrich,Martians,Blue , Gold,,
Grand Blanc,Bobcats,Red , Black,,
Grand Haven,Buccaneers,Blue , Gold,,
Grand Ledge,Comets,Blue , Gold,,
Grand Rapids Catholic Central,Cougars,Royal Blue , White,,
Grand Rapids Christian,Eagles,Columbia Blue , Black,,
Grand Rapids Covenant Christian,Chargers,Black , Gold,,
Grand Rapids Forest Hills Central,Rangers,Forest Green , White,,
Grand Rapids Forest Hills Northern,Huskies,Columbia Blue,Black,White,
Grand Rapids Hope Academy of West Michigan,Hawks,Black , Green,,
Grand Rapids Kenowa Hills,Knights,Black , Gold,,
Grand Rapids NorthPointe Christian,Mustangs,Royal,White,Gold,
Grand Rapids Northview,Wildcats,Red , White,,
Grand Rapids Ottawa Hills,Bengals,Orange , Black,,
Grand Rapids South Christian,Sailors,Navy , White,,
Grand Rapids Union,Red Hawks,Red , White,,
Grand Rapids Wellspring Prep,Wolves,Maroon , Grey,,
Grand Rapids West Catholic,Falcons,Green , White,,
Grand Rapids West Michigan Aviation Academy,Aviators,Orange , Royal Blue,,
Grand Traverse Academy,Mustangs,Navy , White,,
Grandville,Bulldogs,Maroon , White,,
Grandville Calvin Christian,Squires,Green , Gold,,
Grant,Tigers,Orange , Black,,
Grass Lake,Warriors,Navy , White,,
Grayling,Vikings,Green , White,,
Greenville,Yellow Jackets,Purple , Gold,,
Grosse Ile,Red Devils,Scarlet , Gray,,
Grosse Pointe North,Norsemen,Green , Gold,,
Grosse Pointe South,Blue Devils,Blue , Gold,,
Grosse Pointe Woods University Liggett,Knights,Red , Navy,,
Gwinn,Modeltowners,Black , Gold,,
Hale,Eagles,Navy , White,,
Hamilton,Hawkeyes,Black , Gold,,
Hamtramck,Cosmos,Maroon , White,,
Hancock,Bulldogs,Crimson , Gold,,
Hannahville Nah Tah Wahsh,Soaring Eagles,Black , White,,
Hanover-Horton,Comets,Red , White,,
Harbor Beach,Pirates,Orange , Black,,
Harbor Springs,Rams,Orange , Black,,
Harbor Springs Harbor Light Christian,Swordsmen,Maroon , Gray,,
Harper Woods,Pioneers,Maroon , White,,
Harper Woods Chandler Park,Eagles,Navy Blue , White,,
