PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3
A0502028,FARBER HEBREW DAY SCHOOL,2,17,21100 W 12 MILE RD,SOUTHFIELD,26125,125,MI,26,48076,2482861625,173,8.13,No,,82,15,21,20,23,9,19,8,16,14,12,19,20,8,286,204,0,0,1,3,200,0,0,31.6,13,1,3,3,2,1,0,0,0.49,1.47,98.03,0,0,6.45,18,OAKLAND,Other school association(s),,
A9103468,FELLOWSHIP BAPTIST ACADEMY,2,17,8070 S BLOOMER ST,CARSON CITY,26117,117,MI,26,48811,9895846430,178,6.5,No,,10,6,6,8,9,4,8,6,6,5,10,2,5,4,89,79,0,0,9,0,70,0,0,9.3,43,1,1,3,2,4,0,0,11.39,0,88.6,0,0,8.49,5,MONTCALM,School does not belong to ANY associations or organizations,,
A1502002,FOSTORIA BAPTIST ACADEMY,3,16,8933 FOSTORIA RD,FOSTORIA,26157,157,MI,26,48435,9897952185,180,8,No,,,5,6,3,3,6,3,5,2,6,3,1,5,,48,48,0,0,0,0,46,0,2,6.6,42,1,1,3,2,4,0,0,0,0,95.83,0,4.16,7.27,5,TUSCOLA,American Association of Christian Schools (AACS),Other school association(s),
00640437,FR GABRIEL RICHARD HIGH SCHOOL,14,17,4333 WHITEHALL DR,ANN ARBOR,26161,161,MI,26,48105,7346620496,180,7.08,Yes,,,,,,,,,,,,98,110,139,133,480,480,1,27,40,5,382,2,23,40.3,41,1,1,2,1,4,0.2,5.62,8.33,1.04,79.58,0.41,4.79,11.91,1,WASHTENAW,School does not belong to ANY associations or organizations,,
A0301852,FRANKEL JEWISH ACADEMY OF METRO DETROIT,14,17,6600 W MAPLE RD,WEST BLOOMFIELD,26125,125,MI,26,48322,2485925263,171,7,Yes,,,,,,,,,,,,22,30,39,34,125,125,0,0,0,0,125,0,0,25.3,21,1,6,2,2,2,0,0,0,0,100,0,0,4.94,8,OAKLAND,National Association of Independent Schools (NAIS),,
00644205,FREEDOM CHRISTIAN SCHOOL,3,17,9400 E BEECHER RD,PITTSFORD,26059,059,MI,26,49271,5175233426,181,7,Yes,,,5,3,4,2,4,3,3,5,4,4,3,1,3,44,44,1,0,0,2,41,0,0,4.6,42,1,1,3,2,4,2.27,0,0,4.54,93.18,0,0,9.56,8,HILLSDALE,Accelerated Christian Education (ACE),,
A9702013,GENESEE ACADEMY,2,17,9447 CORUNNA RD,SWARTZ CREEK,26049,049,MI,26,48473,8102507557,180,7.66,Yes,,31,13,17,2,16,16,30,18,19,23,16,17,9,15,242,211,0,26,0,31,141,0,13,25.6,41,1,1,3,2,4,0,12.32,0,14.69,66.82,0,6.16,8.24,17,GENESEE,School does not belong to ANY associations or organizations,,
A0104396,GENESEE CHRISTIAN SCHOOL,2,17,1223 S BELSAY RD,BURTON,26049,049,MI,26,48509,8107433108,177,5.08,Yes,,18,21,25,22,20,19,22,27,21,24,26,32,31,18,326,308,0,0,21,9,243,0,35,22.3,21,1,1,3,2,2,0,0,6.81,2.92,78.89,0,11.36,13.81,5,GENESEE,American Association of Christian Schools (AACS),Other special emphasis association(s),
00645424,GRACE CHRISTIAN SCHOOL,2,17,325 N M 140,WATERVLIET,26021,021,MI,26,49098,2694635545,168,7.25,Yes,,13,20,14,7,9,13,7,10,3,9,7,7,2,2,123,110,3,2,2,8,83,0,12,13.8,42,1,1,3,2,4,2.72,1.81,1.81,7.27,75.45,0,10.9,7.97,8,BERRIEN,Association of Christian Schools International (ACSI),,
00643336,GRAND RAPIDS CHRISTIAN HIGH SCHOOL,14,17,2300 PLYMOUTH AVE SE,GRAND RAPIDS,26081,081,MI,26,49506,6165745500,179,7,Yes,,,,,,,,,,,,178,201,210,214,803,803,12,67,8,127,587,2,0,44.9,12,1,1,2,2,1,1.49,8.34,0.99,15.81,73.1,0.24,0,17.88,8,KENT,Christian Schools International (CSI),,
