PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3
A9702050,TRAVERSE CITY CHRISTIAN SCHOOL,2,17,753 EMERSON RD,TRAVERSE CITY,26055,055,MI,26,49696,2319291747,185,6.75,Yes,,15,8,15,10,14,22,18,17,18,15,16,27,16,7,218,203,1,3,3,2,192,0,2,17.1,41,1,1,3,2,4,0.49,1.47,1.47,0.98,94.58,0,0.98,11.87,8,GRAND TRAVERSE,Association of Christian Schools International (ACSI),Christian Schools International (CSI),
AA001524,TRI-UNITY CHRISTIAN SCHOOL,2,17,5353 WILSON AVE SW,WYOMING,26081,081,MI,26,49418,6165328827,190,7.16,Yes,,48,26,21,18,15,22,15,18,19,27,14,23,27,30,323,275,0,4,10,21,240,0,0,18.6,21,1,1,3,2,2,0,1.45,3.63,7.63,87.27,0,0,14.78,26,KENT,School does not belong to ANY associations or organizations,,
00643813,UNITY CHRISTIAN HIGH SCHOOL,14,17,5900 48TH AVE,HUDSONVILLE,26139,139,MI,26,49426,6166691820,180,6.66,Yes,,,,,,,,,,,,150,167,162,144,623,623,1,15,5,5,595,2,0,48.4,21,1,1,2,2,2,0.16,2.4,0.8,0.8,95.5,0.32,0,12.87,7,OTTAWA,Christian Schools International (CSI),,
00642037,VALLEY LUTHERAN HIGH SCHOOL,14,17,3560 MCCARTY RD,SAGINAW,26145,145,MI,26,48603,9897901676,180,7,Yes,,,,,,,,,,,,71,82,77,69,299,299,2,7,15,8,263,0,4,21.1,22,1,1,2,2,2,0.66,2.34,5.01,2.67,87.95,0,1.33,14.17,20,SAGINAW,Other religious school associations,,
A1502094,VALLEY SCHOOL,3,17,5255 LINDEN RD,SWARTZ CREEK,26049,049,MI,26,48473,8106550841,170,6.66,No,,,4,4,1,3,7,2,1,7,4,4,4,5,4,50,50,2,2,0,18,26,2,0,10.1,21,1,1,3,3,2,4,4,0,36,52,4,0,4.95,30,GENESEE,School does not belong to ANY associations or organizations,,
A1101301,VERITAS CHRISTI CATHOLIC H.S.,14,17,PO BOX 2167,ANN ARBOR,26161,161,MI,26,48106,7346451643,186,2,No,,,,,,,,,,,,3,10,12,9,34,34,0,0,0,0,34,0,0,9,12,1,4,2,3,1,0,0,0,0,100,0,0,3.77,30,WASHTENAW,Other school association(s),,
02038316,WASHTENAW CHRISTIAN ACADEMY,3,17,7200 MOON RD,SALINE,26161,161,MI,26,48176,7344297733,175,7.25,Yes,,,9,9,11,7,10,10,10,15,14,11,9,13,7,135,135,0,5,5,16,104,0,5,19.8,41,1,1,3,2,4,0,3.7,3.7,11.85,77.03,0,3.7,6.81,8,WASHTENAW,School does not belong to ANY associations or organizations,,
A1992186,WATERBROOK CHRISTIAN ACADEMY,2,17,6100 RICHFIELD RD,FLINT,26049,049,MI,26,48506,8107363833,165,7.25,No,,3,5,6,5,8,8,6,7,5,7,6,2,15,8,91,88,,,,,,,,12.5,21,1,1,3,2,2,,,,,,,,7.04,8,GENESEE,School does not belong to ANY associations or organizations,,
00639261,WEST CATHOLIC HIGH SCHOOL,14,17,1801 BRISTOL AVE NW,GRAND RAPIDS,26081,081,MI,26,49504,6162335901,182,7,Yes,,,,,,,,,,,,120,109,133,111,473,473,2,34,25,8,403,0,1,30.3,12,1,1,2,1,1,0.42,7.18,5.28,1.69,85.2,0,0.21,15.61,1,KENT,State or regional independent school association,,
00645071,WEST HIGHLAND CHRISTIAN ACADEMY,3,17,1116 S HICKORY RIDGE RD,MILFORD,26125,125,MI,26,48380,2488876698,185,6.75,No,,,9,2,4,3,5,3,2,3,3,4,7,3,8,56,56,0,1,0,0,55,0,0,17.5,41,1,1,3,2,4,0,1.78,0,0,98.21,0,0,3.2,8,OAKLAND,Association of Christian Schools International (ACSI),,
A0502027,WEST MICHIGAN LUTHERAN SCHOOL,14,17,601 36TH ST SW STE 2,WYOMING,26081,081,MI,26,49509,6164552200,180,7.25,Yes,,,,,,,,,,,,5,7,4,9,25,25,0,1,1,1,21,0,1,5.3,21,1,1,2,2,2,0,4,4,4,84,0,4,4.71,20,KENT,Other religious school associations,,
00643733,WESTERN MICHIGAN CHRISTIAN HIGH SCHOOL,12,17,455 E ELLIS RD,NORTON SHORES,26121,121,MI,26,49441,2317999644,180,7,Yes,,,,,,,,,,42,36,57,67,71,77,350,350,3,17,12,30,276,0,12,22.9,22,1,1,2,2,2,0.85,4.85,3.42,8.57,78.85,0,3.42,15.28,8,MUSKEGON,Association of Christian Schools International (ACSI),Christian Schools International (CSI),
02037924,WIXOM CHRISTIAN SCHOOL,2,17,620 N WIXOM RD,WIXOM,26125,125,MI,26,48393,2486244362,165,7,Yes,,82,11,4,10,6,6,3,8,5,6,6,5,8,7,167,85,0,4,1,2,78,0,0,9.1,21,1,1,3,2,2,0,4.7,1.17,2.35,91.76,0,0,9.34,5,OAKLAND,American Association of Christian Schools (AACS),,
02038735,YESHIVA GEDOLAH ATERES MORDECHAI,14,17,24600 GREENFIELD RD,OAK PARK,26125,125,MI,26,48237,2489683360,220,9,Yes,,,,,,,,,,,,30,25,29,17,101,101,0,0,0,0,101,0,0,10.6,21,3,1,2,2,2,0,0,0,0,100,0,0,9.52,18,OAKLAND,National Society for Hebrew Day Schools (Torah U’Mesorah),,
A1902531,YESHIVAS DARCHEI TORAH-GIRLS,2,17,21550 W 12 MILE RD,SOUTHFIELD,26125,125,MI,26,48076,2489481080,211,8,Yes,,30,15,30,12,19,19,18,20,20,13,16,13,13,12,250,220,0,0,0,0,220,0,0,39.3,13,2,1,3,2,1,0,0,0,0,100,0,0,5.59,18,OAKLAND,School does not belong to ANY associations or organizations,,
A0301887,ZION CHRISTIAN SCHOOL,2,17,7555 BYRON CENTER AVE SW,BYRON CENTER,26081,081,MI,26,49315,6168789472,172,7,Yes,,17,26,16,21,21,20,27,24,28,20,23,24,22,26,315,298,0,2,0,1,292,0,3,25,21,1,1,3,2,2,0,0.67,0,0.33,97.98,0,1,11.92,8,KENT,School does not belong to ANY associations or organizations,,
