school_id,school_name,students,enrollment,division
2550,Escanaba HS,727,727,B
8028,Sault Ste Marie - Sault Area HS,719,719,B
3350,Tecumseh HS,719,719,B
8192,Goodrich HS,716,716,B
5396,Livonia - Clarenceville HS,713,713,B
7830,Lansing - JW Sexton HS,713,713,B
6205,Dearborn Heights - Annapolis HS,709,709,B
4753,Saginaw - Arthur Hill HS,702,702,B
5288,Detroit - Cesar Chavez Academy HS,702,702,B
2047,Redford Union HS,698,698,B
2716,Battle Creek - Pennfield HS,689,689,B
6155,North Branch HS,686,686,B
4340,Whitehall HS,685,685,B
2518,Fremont HS,684,684,B
1981,Ferndale HS,681,681,B
2798,Ludington HS,678,678,B
1255,Paw Paw HS,677,677,B
3978,Eaton Rapids HS,674,674,B
7137,Linden - Lake Fenton HS,672,672,B
2261,Allegan HS,670,670,B
2831,Wyoming - Kelloggsville HS,670,670,B
2451,Milan HS,669,669,B
4134,Three Rivers HS,669,669,B
4984,Otsego HS,667,667,B
1841,Croswell-Lexington HS,663,663,B
2402,Romulus HS,663,663,B
4092,Beverly Hills - Detroit Country Day HS,657,657,B
6634,Holland Christian HS,643,643,B
2303,Alma HS,640,640,B
9213,Pontiac - Notre Dame Preparatory School,633,633,B
1181,Romulus - Summit Academy North,632,632,B
3895,Byron Center - South Christian HS,631,631,B
7021,Benton Harbor HS,621,621,B
3904,Hudsonville - Unity Christian HS,616,616,B
7590,Freeland HS,615,615,B
7186,Yale HS,612,612,B
4968,Birch Run HS,609,609,B
9478,Kentwood - Grand River Prep,608,608,B
7277,Williamston HS,607,607,B
4150,Cheboygan Area HS,605,605,B
2484,Flint - Powers Catholic HS,603,603,B
2468,Hazel Park HS,602,602,B
1271,Bridgeport HS,599,599,B
5594,Armada HS,598,598,B
5181,Muskegon - Orchard View HS,594,594,B
9833,Detroit - Frontier International Academy,590,590,B
1061,Grand Rapids - West Michigan Aviation Academy,589,589,B
1528,Grosse Ile HS,588,588,B
2757,Saginaw - Swan Valley HS,586,586,B
8085,Detroit - Cody HS,579,579,B
4282,Imlay City HS,573,573,B
6337,Howard City - Tri County Area HS,573,573,B
5958,Macomb - Lutheran North,572,572,B
2971,West Branch - Ogemaw Heights HS,572,572,B
1602,Big Rapids HS,571,571,B
3425,Kingsford HS,570,570,B
4902,Belding Area HS,569,569,B
4943,Flat Rock HS,569,569,B
7491,Newport - Jefferson HS,569,569,B
3862,Detroit - Edwin Denby HS,568,568,B
4415,Muskegon - Oakridge HS,568,568,B
6238,Grand Rapids - Catholic Central HS,567,567,B
7723,Frankenmuth HS,567,567,B
7104,Portland HS,567,567,B
3821,Warren - Lincoln HS,555,555,B
1123,Corunna HS,550,550,B
4488,Detroit - University Prep Academy,548,548,B
7756,Grant HS,546,546,B
4522,Warren - Regina HS,273,546,C
6106,Essexville - Garber HS,542,542,B
2006,Comstock Park HS,535,535,B
8143,Midland - Bullock Creek HS,530,530,B
1585,Marine City HS,528,528,B
5801,Lake Odessa - Lakewood HS,525,525,B
6782,South Haven HS,524,524,B
6411,Center Line HS,522,522,B
4365,Dowagiac Union HS,518,518,B
9887,Dearborn - Henry Ford Academy,510,510,B
1113,Detroit - Cornerstone Health & Technology HS,380,506,C
2352,St Clair Shores - South Lake HS,505,505,B
1191,Redford - Westfield Preparatory HS,505,505,B
1023,Wixom - St Catherine of Siena Academy,251,502,C
5487,Wyoming - Lee HS,501,501,B
9714,Detroit - University Prep Art & Design,497,497,B
6502,Carrollton HS,495,495,B
1060,Detroit - University Prep Science & Math HS,494,494,B
3887,Remus - Chippewa Hills HS,492,492,B
