PopularName_Score,ProperName_Score,MHSAA_SchoolId,SchoolInfo_Index,Matched_School_Name
76,83,4093,1002,port huron northern high school
58,71,4094,341,detroit school of arts
41,57,4095,451,gaylord high schoolvoc bldg
60,53,4096,200,casa
70,65,4097,78,bay city adult educationctp
60,73,4098,663,kent city high school
50,52,4099,384,edison
55,50,4100,332,detention center
57,71,4101,1154,tecumseh high school
59,67,4102,493,greenfield school
73,81,4103,897,north farmington high school
58,71,4104,953,ovidelsie high school
44,50,4105,46,apollo center
35,71,4106,1013,progress park
57,84,4107,209,cedarville school
60,73,4108,668,kingsford high school
72,86,4109,1444,st mary catholic central high school
55,57,4110,7,acce
67,60,4111,1432,rochester hills christian school
69,81,4112,638,jonesville pathways
60,71,4113,618,jackson county jail
71,87,4114,1465,western michigan christian high school
54,71,4115,1190,union high transition
50,60,4116,233,charlton heston academy
73,81,4117,81,bay city western high school
75,86,4118,1319,auburn hills christian school
67,60,4119,815,merritt academy
59,83,4120,1406,metro baptist school
57,71,4121,137,brethren high school
68,72,4122,34,allen park community school
57,71,4123,915,oak park high school
68,50,4124,518,harper woods high school
50,61,4125,200,casa
77,69,4126,384,edison
52,65,4127,1127,stevenson high school
57,71,4128,1118,st johns high school
75,82,4129,633,johannesburglewiston high school
66,100,4130,322,dearborn heights virtual academy
60,47,4131,341,detroit school of arts
65,76,4132,874,new lothrop high school
59,65,4133,1142,suttons bay virtual school
58,69,4134,44,ann arbor learning community
86,82,4135,1268,west mi academy of environmental science
56,50,4136,550,hill center
40,54,4137,384,edison
76,84,4138,1126,sterling heights senior hs
67,55,4139,519,harper woods virtual academy
50,67,4140,842,monroe high school
69,69,4141,340,detroit public safety academy
50,64,4142,9,ace
67,73,4143,947,ottawa area center
70,75,4144,760,mackinaw city k12 school
49,86,4145,1407,michigan lutheran seminary
72,100,4146,1460,washtenaw christian academy
53,64,4147,1255,way eau claire
57,71,4148,46,apollo center
53,61,4149,1082,shared time
67,77,4150,1312,zeeland east high school
59,75,4151,1233,warren mott high school
65,76,4152,1079,schoolcraft high school
87,87,4153,1123,star international academy
73,81,4154,197,carson citycrystal high school
76,83,4155,1231,walled lake western high school
52,54,4156,573,howe trainable center and montessori
57,53,4157,815,merritt academy
50,67,4158,595,innocademy
61,79,4159,243,chippewa hills high school
71,80,4160,1369,grand rapids christian high school
64,80,4161,577,hudsonville high school
46,84,4162,384,edison
67,77,4163,371,east lansing high school
53,57,4164,747,lisd tech center
74,82,4165,643,kalamazoo central high school
57,63,4166,1393,lake orion baptist school
64,94,4167,783,marine city high school
67,77,4168,379,eaton rapids high school
48,71,4169,1007,portland high school
50,64,4170,1213,veritas
57,71,4171,844,montague high school
57,71,4172,801,mattawan high school
67,71,4173,75,battle creek central high school
50,67,4174,334,detour high school
59,55,4175,509,hamtramck high school
55,64,4176,384,edison
66,89,4177,1414,north pointe christian schools
55,56,4178,332,detention center
84,88,4179,1349,detroit country day school
65,76,4180,474,grand haven high school
50,67,4181,271,coloma high school
67,77,4182,1170,three rivers high school
68,73,4183,477,grand rapids montessori academy
56,79,4184,237,cheboygan middle school
73,71,4185,1037,river valley academy
44,70,4186,384,edison
65,76,4187,388,edwardsburg high school
57,71,4188,1048,rockford high school
65,71,4189,766,madison high school
68,77,4190,323,dearborn high school
54,69,4191,586,huron valley womens
75,81,4192,1191,unionvillesebewaing high school
71,72,4193,1454,traverse city christian school
54,69,4194,1064,saginaw high school
50,67,4195,595,innocademy
45,64,4196,558,holly high school
63,93,4197,1314,academy of the sacred heart
62,74,4198,590,imlay city high school
61,78,4199,190,carmanainsworth high school
52,73,4200,673,kinross correctional facility
63,70,4201,61,au gressims high school
64,75,4202,1043,riverview virtual academy
60,73,4203,166,caledonia high school
57,71,4204,688,lakeview high school
49,60,4205,1290,whitehall senior high school
74,100,4206,18,advanced technology academy
56,58,4207,595,innocademy
42,53,4208,355,downriver digital academy
56,74,4209,323,dearborn high school
59,73,4210,606,ionia high school
55,67,4211,717,lifetech academy
53,67,4212,506,hamilton flex
62,77,4213,862,muskegon covenant academy
65,75,4214,258,climaxscotts high school
62,74,4215,487,grass lake high school
84,100,4216,1224,voyageur college prep
63,81,4217,898,north huron school
62,72,4218,1266,west bloomfield high school
62,74,4219,835,millington high school
65,89,4220,1335,calvary christian schools
50,58,4221,749,livingston classical academy
58,89,4222,340,detroit public safety academy
51,60,4223,123,bloomingdale middle and high school
57,59,4224,715,life skills center
46,48,4225,384,edison
52,67,4226,187,career preparation
74,71,4227,213,central academy
85,100,4228,160,byron center charter school
63,71,4229,1064,saginaw high school
54,53,4230,617,jackson area career center
40,52,4231,656,kennedy center
60,84,4232,938,ontonagon area school
65,100,4233,75,battle creek central high school
48,59,4234,131,branch area careers center
52,74,4235,1261,waynewestland community high school
55,67,4236,9,ace
74,80,4237,1058,royal oak high school
52,50,4238,1311,ypsilanti stemm middle college
78,73,4239,1411,muskegon catholic central
53,56,4240,187,career preparation
51,73,4241,1258,way south haven
57,50,4242,1097,southeast career pathways
58,78,4243,1414,north pointe christian schools
67,76,4244,1441,spring vale academy
55,69,4245,747,lisd tech center
68,58,4246,189,careerline tech center
