,school_id,school_name,enrollment_total,enrollment_classification,division,level,match
385,7673,Erie-Mason HS,382,382,C,high_school,erie-mason hs
386,5009,Lake City Area HS,382,382,C,high_school,lake city area hs
387,7120,Menominee HS,382,382,C,high_school,menominee hs
388,7252,Blissfield HS,380,380,C,high_school,blissfield hs
389,4464,Millington HS,380,380,C,high_school,millington hs
390,5405,Pinconning Area HS,378,378,C,high_school,pinconning area hs
391,6650,Buchanan HS,376,376,C,high_school,buchanan hs
392,7293,Calumet HS,376,376,C,high_school,calumet hs
393,3318,Kent City HS,372,372,C,high_school,kent city hs
394,6691,Morley Stanwood HS,372,372,C,high_school,morley stanwood hs
395,3796,Napoleon HS,372,372,C,high_school,napoleon hs
396,1338,Laingsburg HS,371,371,C,high_school,laingsburg hs
397,1701,Tawas City - Tawas Area HS,370,370,C,high_school,tawas city - tawas area hs
398,6056,Niles - Brandywine HS,369,369,C,high_school,niles - brandywine hs
399,2377,Montrose Hill-McCloy HS,365,365,C,high_school,montrose hill-mccloy hs
400,1341,Southfield - Bradford Academy HS,364,364,C,high_school,southfield - bradford academy hs
401,1503,Scottville - Mason County Central HS,360,360,C,high_school,scottville - mason county central hs
402,1022,Grand Rapids - Wellspring Preparatory HS,356,356,C,high_school,grand rapids - wellspring preparatory hs
403,2195,Houghton Lake HS,353,353,C,high_school,houghton lake hs
404,5058,Leslie HS,351,351,C,high_school,leslie hs
405,4431,Grass Lake HS,348,348,C,high_school,grass lake hs
406,1206,Madison Heights - Madison HS,348,348,C,high_school,madison heights - madison hs
407,6956,LeRoy - Pine River Area HS,343,343,C,high_school,leroy - pine river area hs
408,3433,Monroe - St Mary Catholic Central HS,341,341,C,high_school,monroe - st mary catholic central hs
409,1536,Delton Kellogg HS,339,339,C,high_school,delton kellogg hs
410,4497,Bloomingdale HS,337,337,C,high_school,bloomingdale hs
411,6568,Hemlock HS,337,337,C,high_school,hemlock hs
412,3152,Ishpeming - Westwood HS,337,337,C,high_school,ishpeming - westwood hs
413,2220,Harrison Community HS,335,335,C,high_school,harrison community hs
414,4398,Ithaca HS,335,335,C,high_school,ithaca hs
415,6221,North Muskegon HS,335,335,C,high_school,north muskegon hs
416,8003,Ravenna HS,333,333,C,high_school,ravenna hs
417,2848,New Haven HS,330,330,C,high_school,new haven hs
418,8052,St Louis HS,330,330,C,high_school,st louis hs
419,4811,Detroit Central HS,329,329,C,high_school,detroit central hs
420,7112,Perry HS,329,329,C,high_school,perry hs
421,1107,Traverse City - St Francis HS,329,329,C,high_school,traverse city - st francis hs
422,2476,Burton - Bendle HS,325,325,C,high_school,burton - bendle hs
423,7368,Bronson HS,325,325,C,high_school,bronson hs
424,5090,Bangor HS,324,324,C,high_school,bangor hs
425,5586,Hartford HS,324,324,C,high_school,hartford hs
426,1560,Oscoda HS,320,320,C,high_school,oscoda hs
427,5215,St Charles HS,320,320,C,high_school,st charles hs
428,1019,Ypsilanti - Arbor Preparatory HS,319,319,C,high_school,ypsilanti - arbor preparatory hs
429,6543,Ann Arbor - Greenhills HS,319,319,C,high_school,ann arbor - greenhills hs
430,6717,Manchester HS,318,318,C,high_school,manchester hs
431,2617,Hanover-Horton HS,316,316,C,high_school,hanover-horton hs
432,1168,Hamtramck - Oakland International Academy,312,312,C,high_school,hamtramck - oakland international academy
433,5504,Beaverton HS,311,311,C,high_school,beaverton hs
434,1152,Detroit Leadership Academy,311,311,C,high_school,detroit leadership academy
435,1362,Bad Axe HS,310,310,C,high_school,bad axe hs
436,5743,Bath HS,310,310,C,high_school,bath hs
437,9960,Detroit Cristo Rey HS,310,310,C,high_school,detroit cristo rey hs
438,3482,Jackson - Lumen Christi HS,310,310,C,high_school,jackson - lumen christi hs
439,7525,Sandusky HS,310,310,C,high_school,sandusky hs
440,1321,Homer HS,308,308,C,high_school,homer hs
441,2427,Galesburg-Augusta HS,305,305,C,high_school,galesburg-augusta hs
442,5330,Union City HS,305,305,C,high_school,union city hs
443,4332,Lakeview HS,304,304,C,high_school,lakeview hs
444,8218,Mancelona HS,304,304,C,high_school,mancelona hs
445,3838,Schoolcraft HS,303,303,C,high_school,schoolcraft hs
446,1222,Grosse Pointe Woods - University Liggett HS,303,303,C,high_school,grosse pointe woods - university liggett hs
447,2322,Dearborn Riverside Academy-West,300,300,C,high_school,dearborn riverside academy-west
448,1054,Brighton - Charyl Stockwell Prep Academy,299,299,C,high_school,brighton - charyl stockwell prep academy
449,9134,Detroit - Loyola HS,149,298,D,high_school,detroit - loyola hs
450,6345,Saginaw - Valley Lutheran HS,298,298,C,high_school,saginaw - valley lutheran hs
451,7624,McBain - Mc Bain HS,297,297,C,high_school,mcbain - mc bain hs
452,6312,Pewamo-Westphalia HS,296,296,C,high_school,pewamo-westphalia hs
453,9876,Detroit Community HS,295,295,C,high_school,detroit community hs
454,1511,Madison Heights - Bishop Foley Catholic HS,293,293,C,high_school,madison heights - bishop foley catholic hs
455,7228,Springport HS,293,293,C,high_school,springport hs
456,1058,Detroit - Dr Benjamin Carson HS for Science & Medicine,292,292,C,high_school,detroit - dr benjamin carson hs for science & medicine
457,3664,New Lothrop HS,292,292,C,high_school,new lothrop hs
458,4076,Grand Rapids - NorthPointe Christian HS,291,291,C,high_school,grand rapids - northpointe christian hs
459,7351,Lawton HS,290,290,C,high_school,lawton hs
460,7161,Roscommon HS,289,289,C,high_school,roscommon hs
461,7574,Hesperia Community HS,286,286,C,high_school,hesperia community hs
462,7764,Charlevoix HS,283,283,C,high_school,charlevoix hs
463,4514,Memphis HS,281,281,C,high_school,memphis hs
464,6444,Elkton-Pigeon-Bay Port Laker HS,280,280,C,high_school,elkton-pigeon-bay port laker hs
465,1115,East Jordan HS,279,279,C,high_school,east jordan hs
466,5223,Saranac HS,279,279,C,high_school,saranac hs
467,2575,Grandville - Calvin Christian HS,278,278,C,high_school,grandville - calvin christian hs
468,1192,Detroit - Cornerstone Lincoln King Academy HS,278,278,C,high_school,detroit - cornerstone lincoln king academy hs
469,7087,Manton HS,275,275,C,high_school,manton hs
470,8093,Burton - Bentley HS,274,274,C,high_school,burton - bentley hs
471,4002,Evart HS,274,274,C,high_school,evart hs
472,1153,Hope of Detroit Academy HS,274,274,C,high_school,hope of detroit academy hs
473,1263,Holland - Black River HS,273,273,C,high_school,holland - black river hs
474,1156,Vermontville - Maple Valley HS,272,272,C,high_school,vermontville - maple valley hs
475,4828,Reese HS,271,271,C,high_school,reese hs
476,6403,Byron Area HS,270,270,C,high_school,byron area hs
477,7384,Hudson Area HS,269,269,C,high_school,hudson area hs
478,3292,Vassar HS,269,269,C,high_school,vassar hs
479,1073,Cass City HS,268,268,C,high_school,cass city hs
480,2212,Iron Mountain HS,268,268,C,high_school,iron mountain hs
481,1924,Sand Creek HS,265,265,C,high_school,sand creek hs
482,2880,Saugatuck HS,263,263,C,high_school,saugatuck hs
483,5108,Potterville HS,262,262,C,high_school,potterville hs
484,2955,Farwell Area HS,261,261,C,high_school,farwell area hs
485,1676,Centreville HS,260,260,C,high_school,centreville hs
486,1196,Detroit - The School at Marygrove,258,258,C,high_school,detroit - the school at marygrove
487,3755,Ottawa Lake - Whiteford HS,257,257,C,high_school,ottawa lake - whiteford hs
488,5520,Harbor Springs HS,256,256,C,high_school,harbor springs hs
489,5017,Burton - Atherton HS,254,254,C,high_school,burton - atherton hs
490,2600,Gwinn HS,254,254,C,high_school,gwinn hs
491,3243,Bridgman HS,250,250,C,high_school,bridgman hs
492,6675,Brown City HS,248,248,C,high_school,brown city hs
493,3037,Addison HS,247,247,C,high_school,addison hs
494,2014,Maple City - Glen Lake HS,247,247,C,high_school,maple city - glen lake hs
495,6246,White Cloud HS,245,245,C,high_school,white cloud hs
496,2245,Manistique HS,244,244,C,high_school,manistique hs
497,5776,Cassopolis - Ross Beatty HS,244,244,C,high_school,cassopolis - ross beatty hs
498,5132,Dansville HS,243,243,C,high_school,dansville hs
499,3490,Muskegon - Western Michigan Christian HS,243,243,C,high_school,muskegon - western michigan christian hs
500,4316,Riverview - Gabriel Richard HS,241,241,C,high_school,riverview - gabriel richard hs
501,4613,Royal Oak - Shrine Catholic HS,241,241,C,high_school,royal oak - shrine catholic hs
502,2526,Jackson - Vandercook Lake HS,241,241,C,high_school,jackson - vandercook lake hs
503,4407,Holton HS,240,240,C,high_school,holton hs
504,2591,Kalamazoo Christian HS,239,239,C,high_school,kalamazoo christian hs
505,3846,Carson City-Crystal HS,236,236,C,high_school,carson city-crystal hs
506,4720,Kalamazoo - Hackett Catholic Prep,235,235,C,high_school,kalamazoo - hackett catholic prep
507,6997,East Jackson HS,234,234,C,high_school,east jackson hs
508,4225,Unionville Sebewaing HS,234,234,C,high_school,unionville sebewaing hs
509,1120,Arts & Technology Acad of Pontiac,232,232,C,high_school,arts & technology acad of pontiac
510,2079,Wyoming - The Potter's House Christian HS,232,232,C,high_school,wyoming - the potter's house christian hs
511,7145,Iron River - West Iron County HS,232,232,C,high_school,iron river - west iron county hs
512,4695,Mt Morris - Beecher HS,231,231,C,high_school,mt morris - beecher hs
513,1478,Whittemore-Prescott HS,230,230,C,high_school,whittemore-prescott hs
514,7054,Marlette HS,229,229,C,high_school,marlette hs
515,6304,Lincoln - Alcona HS,228,228,C,high_school,lincoln - alcona hs
516,5124,Mt Pleasant - Beal City HS,227,227,C,high_school,mt pleasant - beal city hs
517,3458,Rochester Hills - Lutheran Northwest HS,227,227,C,high_school,rochester hills - lutheran northwest hs
518,7715,Reading HS,225,225,C,high_school,reading hs
519,6353,Concord HS,224,224,C,high_school,concord hs
520,3185,Whitmore Lake HS,224,224,C,high_school,whitmore lake hs
521,1083,St Helen - Charlton Heston Academy,222,222,C,high_school,st helen - charlton heston academy
522,2009,Detroit - Universal Academy,222,222,C,high_school,detroit - universal academy
523,5652,Bark River-Harris HS,221,221,C,high_school,bark river-harris hs
524,2393,Mt Clemens HS,220,220,C,high_school,mt clemens hs
525,9721,Kimball - Landmark Academy,218,218,C,high_school,kimball - landmark academy
526,4588,Blanchard - Montabella HS,218,218,C,high_school,blanchard - montabella hs
527,1161,Detroit - Academy of the Americas,216,216,C,high_school,detroit - academy of the americas
528,3631,Johannesburg-Lewiston HS,216,216,C,high_school,johannesburg-lewiston hs
529,6361,Ishpeming HS,213,213,C,high_school,ishpeming hs
530,2930,Capac HS,211,211,C,high_school,capac hs
531,2360,St Ignace HS,210,210,C,high_school,st ignace hs
532,5900,White Pigeon HS,210,210,C,high_school,white pigeon hs
533,5677,Genesee HS,208,208,C,high_school,genesee hs
534,6287,Harbor Beach HS,208,208,C,high_school,harbor beach hs
535,9948,Traverse City - Grand Traverse Academy,206,206,C,high_school,traverse city - grand traverse academy
536,2311,Decatur HS,204,204,C,high_school,decatur hs
537,2204,Allen Park - Cabrini HS,203,203,C,high_school,allen park - cabrini hs
538,3045,Kingston HS,203,203,C,high_school,kingston hs
539,7562,Burton - Madison Academy,203,203,C,high_school,burton - madison academy
540,2988,Merrill HS,203,203,C,high_school,merrill hs
541,3441,Hancock HS,199,199,C,high_school,hancock hs
542,2228,International Academy of Flint,198,198,C,high_school,international academy of flint
543,6774,Painesdale - Jeffers HS,197,197,C,high_school,painesdale - jeffers hs
544,7153,Mesick HS,197,197,C,high_school,mesick hs
545,1131,Coleman HS,195,195,C,high_school,coleman hs
546,1065,Warren - Michigan Math & Science Academy,195,195,C,high_school,warren - michigan math & science academy
547,7178,Morenci Area HS,195,195,C,high_school,morenci area hs
548,7995,Breckenridge HS,194,194,C,high_school,breckenridge hs
549,5264,L'Anse HS,193,193,C,high_school,l'anse hs
550,8481,Saginaw - Nouvel Catholic Central HS,193,193,C,high_school,saginaw - nouvel catholic central hs
551,2105,Gobles HS,192,192,C,high_school,gobles hs
552,8698,Adrian - Lenawee Christian HS,192,192,C,high_school,adrian - lenawee christian hs
553,8623,Lutheran HS Westland,192,192,C,high_school,lutheran hs westland
554,1577,Rogers City HS,192,192,C,high_school,rogers city hs
555,5446,Marcellus HS,191,191,C,high_school,marcellus hs
556,1230,Saginaw Arts & Sciences Academy,191,191,C,high_school,saginaw arts & sciences academy
557,1090,Westland - Universal Learning Academy,191,191,C,high_school,westland - universal learning academy
558,2906,Lawrence HS,189,189,C,high_school,lawrence hs
559,1965,Eau Claire HS,188,188,D,high_school,eau claire hs
560,7442,Mayville HS,187,187,D,high_school,mayville hs
561,6873,Munising HS,183,183,D,high_school,munising hs
562,2286,New Buffalo HS,182,182,D,high_school,new buffalo hs
563,5751,Ironwood - Luther L Wright HS,181,181,D,high_school,ironwood - luther l wright hs
564,2625,Norway HS,180,180,D,high_school,norway hs
565,6163,Bellevue HS,179,179,D,high_school,bellevue hs
566,5066,Martin HS,179,179,D,high_school,martin hs
567,3061,Saginaw - Michigan Lutheran Seminary,179,179,D,high_school,saginaw - michigan lutheran seminary
568,2121,Petersburg - Summerfield HS,179,179,D,high_school,petersburg - summerfield hs
569,6015,Fowler HS,178,178,D,high_school,fowler hs
570,8358,Canton - Plymouth Christian Academy,178,178,D,high_school,canton - plymouth christian academy
571,3557,Brethren HS,177,177,D,high_school,brethren hs
572,5768,Camden-Frontier HS,177,177,D,high_school,camden-frontier hs
573,7913,Indian River - Inland Lakes HS,177,177,D,high_school,indian river - inland lakes hs
574,1659,Benton Harbor - Countryside Academy,174,174,D,high_school,benton harbor - countryside academy
575,3841,Detroit International Academy,87,174,D,high_school,detroit international academy
576,3417,Deckerville Community HS,173,173,D,high_school,deckerville community hs
577,1092,Detroit Public Safety Academy,173,173,D,high_school,detroit public safety academy
578,1056,Muskegon Heights Academy,173,173,D,high_school,muskegon heights academy
579,7005,Vestaburg HS,173,173,D,high_school,vestaburg hs
580,1134,Jackson Prep & Early College HS,172,172,D,high_school,jackson prep & early college hs
581,6700,Newberry HS,171,171,D,high_school,newberry hs
582,2162,Three Oaks - River Valley HS,171,171,D,high_school,three oaks - river valley hs
583,5512,Fife Lake - Forest Area HS,170,170,D,high_school,fife lake - forest area hs
584,1098,Birmingham - Roeper HS,170,170,D,high_school,birmingham - roeper hs
585,1395,Ubly HS,170,170,D,high_school,ubly hs
586,5891,Rudyard HS,169,169,D,high_school,rudyard hs
587,3615,Stephenson HS,169,169,D,high_school,stephenson hs
588,2088,Webberville Community HS,168,168,D,high_school,webberville community hs
589,1899,Melvindale - Academy for Business & Tech,166,166,D,high_school,melvindale - academy for business & tech
590,2405,Taylor - Trillium Academy,166,166,D,high_school,taylor - trillium academy
591,1858,Lansing Christian HS,165,165,D,high_school,lansing christian hs
592,1017,Britton Deerfield Schools,164,164,D,high_school,britton deerfield schools
593,7260,Mendon HS,164,164,D,high_school,mendon hs
594,3094,Onaway Area HS,164,164,D,high_school,onaway area hs
595,3532,Auburn Hills - Oakland Christian HS,163,163,D,high_school,auburn hills - oakland christian hs
596,7194,Morrice HS,161,161,D,high_school,morrice hs
597,3193,Bloomfield Hills - Academy Of The Sacred Heart,80,160,D,high_school,bloomfield hills - academy of the sacred heart
598,1239,Ann Arbor - Central Academy HS,158,158,D,high_school,ann arbor - central academy hs
599,1973,Pickford HS,157,157,D,high_school,pickford hs
600,3961,Marine City - Cardinal Mooney Catholic HS,156,156,D,high_school,marine city - cardinal mooney catholic hs
601,7558,Frankfort HS,154,154,D,high_school,frankfort hs
602,1552,Colon Community HS,153,153,D,high_school,colon community hs
603,6816,Brimley Area HS,151,151,D,high_school,brimley area hs
604,4423,Climax-Scotts HS,151,151,D,high_school,climax-scotts hs
605,1155,Inkster - American International Academy,149,149,D,high_school,inkster - american international academy
606,7401,Middleton - Fulton HS,148,148,D,high_school,middleton - fulton hs
607,4877,Marion HS,148,148,D,high_school,marion hs
608,2534,Dryden HS,147,147,D,high_school,dryden hs
609,1174,Flint - The New Standard Academy,146,146,D,high_school,flint - the new standard academy
610,4167,Mio-Au Sable HS,144,144,D,high_school,mio-au sable hs
611,3004,Southfield Christian HS,143,143,D,high_school,southfield christian hs
612,9639,Detroit - Davis Aerospace Technical HS,141,141,D,high_school,detroit - davis aerospace technical hs
613,9281,Detroit - Frederick Douglass HS,70,140,D,high_school,detroit - frederick douglass hs
614,4455,West Bloomfield - Frankel Jewish Academy,138,138,D,high_school,west bloomfield - frankel jewish academy
615,9927,Pontiac Academy for Excellence,138,138,D,high_school,pontiac academy for excellence
616,1319,New Haven - Merritt Academy HS,133,133,D,high_school,new haven - merritt academy hs
617,3672,Suttons Bay HS,132,132,D,high_school,suttons bay hs
618,8135,Buckley HS,131,131,D,high_school,buckley hs
619,2187,Leland HS,130,130,D,high_school,leland hs
620,5941,Custer - Mason County Eastern HS,130,130,D,high_school,custer - mason county eastern hs
621,9955,Sterling Heights - Parkway Christian School,130,130,D,high_school,sterling heights - parkway christian school
622,9764,Southfield - AGBU Alex & Marie Manoogian HS,129,129,D,high_school,southfield - agbu alex & marie manoogian hs
623,3912,Baldwin Community Schools,129,129,D,high_school,baldwin community schools
624,7244,Bessemer - AD Johnston,128,128,D,high_school,bessemer - ad johnston
625,5982,Athens HS,128,128,D,high_school,athens hs
626,6270,Hillman HS,127,127,D,high_school,hillman hs
627,1544,Pittsford HS,127,127,D,high_school,pittsford hs
628,5660,Pellston HS,126,126,D,high_school,pellston hs
629,1214,Crystal Falls - Forest Park HS,124,124,D,high_school,crystal falls - forest park hs
630,4448,Kinde - North Huron HS,123,123,D,high_school,kinde - north huron hs
631,6915,Baraga Area HS,122,122,D,high_school,baraga area hs
632,5173,Lake Linden-Hubbell HS,122,122,D,high_school,lake linden-hubbell hs
633,4951,Rapid River HS,118,118,D,high_school,rapid river hs
634,9826,Clarkston - Everest Collegiate HS,116,116,D,high_school,clarkston - everest collegiate hs
635,1445,Muskegon Catholic Central HS,116,116,D,high_school,muskegon catholic central hs
636,9711,Kalamazoo - Phoenix HS,113,113,D,high_school,kalamazoo - phoenix hs
637,3400,Peck Community HS,111,111,D,high_school,peck community hs
638,4308,Au Gres - AuGres-Sims HS,109,109,D,high_school,au gres - augres-sims hs
639,1329,Big Rapids - Crossroads Charter Academy,108,108,D,high_school,big rapids - crossroads charter academy
640,1940,Powers - North Central HS,108,108,D,high_school,powers - north central hs
641,6493,Dollar Bay HS,106,106,D,high_school,dollar bay hs
642,9101,Burton - Genesee Christian HS,106,106,D,high_school,burton - genesee christian hs
643,1800,St Joseph - Michigan Lutheran HS,106,106,D,high_school,st joseph - michigan lutheran hs
644,5545,Wakefield-Marenisco HS,105,105,D,high_school,wakefield-marenisco hs
645,7533,Litchfield HS,104,104,D,high_school,litchfield hs
646,4274,Mt Pleasant - Sacred Heart Academy HS,103,103,D,high_school,mt pleasant - sacred heart academy hs
647,2724,Bellaire HS,101,101,D,high_school,bellaire hs
648,1110,Grand Rapids - Hope Academy of West Michigan HS,101,101,D,high_school,grand rapids - hope academy of west michigan hs
649,8631,Wyoming - Tri-unity Christian HS,101,101,D,high_school,wyoming - tri-unity christian hs
650,7616,Engadine HS,100,100,D,high_school,engadine hs
651,4745,Waterford - Our Lady Of The Lakes HS,100,100,D,high_school,waterford - our lady of the lakes hs
652,7938,Onekama HS,99,99,D,high_school,onekama hs
653,6262,Akron-Fairgrove HS,97,97,D,high_school,akron-fairgrove hs
654,2773,Covert HS,97,97,D,high_school,covert hs
655,8341,Allen Park - Inter-City Baptist HS,97,97,D,high_school,allen park - inter-city baptist hs
656,5231,North Adams-Jerome HS,97,97,D,high_school,north adams-jerome hs
657,4571,Ontonagon Area HS,97,97,D,high_school,ontonagon area hs
658,2699,Byron Center - Zion Christian HS,97,97,D,high_school,byron center - zion christian hs
659,7707,Bear Lake HS,96,96,D,high_school,bear lake hs
660,1718,Carney-Nadeau HS,96,96,D,high_school,carney-nadeau hs
661,1076,Chesterfield - Austin Catholic HS,95,95,D,high_school,chesterfield - austin catholic hs
662,7731,Fairview HS,95,95,D,high_school,fairview hs
663,8060,Hale HS,92,92,D,high_school,hale hs
664,6320,Wolverine HS,91,91,D,high_school,wolverine hs
665,7426,Carsonville-Port Sanilac,90,90,D,high_school,carsonville-port sanilac
666,7698,Caseville HS,88,88,D,high_school,caseville hs
667,1188,Bay City Academy,87,87,D,high_school,bay city academy
668,4035,Battle Creek - St Philip Catholic Central HS,87,87,D,high_school,battle creek - st philip catholic central hs
669,5363,Eben Junction - Superior Central HS,87,87,D,high_school,eben junction - superior central hs
670,7500,Ashley HS,86,86,D,high_school,ashley hs
671,1755,Marshall Academy HS,86,86,D,high_school,marshall academy hs
672,1908,Portland - St Patrick HS,85,85,D,high_school,portland - st patrick hs
673,4530,Central Lake HS,84,84,D,high_school,central lake hs
674,5413,Burr Oak HS,83,83,D,high_school,burr oak hs
675,1197,Walkerville HS,82,82,D,high_school,walkerville hs
676,1097,Midland Calvary Baptist,81,81,D,high_school,midland calvary baptist
677,7566,Pentwater HS,81,81,D,high_school,pentwater hs
678,9775,Ann Arbor - Rudolf Steiner School,81,81,D,high_school,ann arbor - rudolf steiner school
679,6031,Waldron HS,81,81,D,high_school,waldron hs
680,1165,Hillsdale Academy,80,80,D,high_school,hillsdale academy
681,9707,Traverse City Christian School,80,80,D,high_school,traverse city christian school
682,5933,Ellsworth Community HS,79,79,D,high_school,ellsworth community hs
683,2897,Tekonsha HS,79,79,D,high_school,tekonsha hs
684,4927,Atlanta HS,78,78,D,high_school,atlanta hs
685,9527,Coldwater - Pansophia Academy,78,78,D,high_school,coldwater - pansophia academy
686,3391,Posen HS,77,77,D,high_school,posen hs
687,7327,Felch - North Dickinson HS,75,75,D,high_school,felch - north dickinson hs
688,7070,St Joseph - Lake Michigan Catholic HS,73,73,D,high_school,st joseph - lake michigan catholic hs
689,2063,Cedarville HS,72,72,D,high_school,cedarville hs
690,8748,Fruitport - Calvary Christian HS,70,70,D,high_school,fruitport - calvary christian hs
691,3771,Gaylord - St Mary Cathedral HS,69,69,D,high_school,gaylord - st mary cathedral hs
692,9189,Novi Christian Academy,68,68,D,high_school,novi christian academy
693,2030,Chassell HS,67,67,D,high_school,chassell hs
694,1024,Ewen-Trout Creek HS,67,67,D,high_school,ewen-trout creek hs
695,7954,Westland - Huron Valley Lutheran HS,66,66,D,high_school,westland - huron valley lutheran hs
696,1279,Boyne City - Concord Academy Boyne,65,65,D,high_school,boyne city - concord academy boyne
697,5322,Alanson HS,63,63,D,high_school,alanson hs
698,9584,Kalamazoo - Heritage Christian Academy,62,62,D,high_school,kalamazoo - heritage christian academy
699,4860,Lake Leelanau - St Mary HS,62,62,D,high_school,lake leelanau - st mary hs
700,5454,Auburn Hills Christian School,59,59,D,high_school,auburn hills christian school
701,7310,McBain - Northern Michigan Christian HS,59,59,D,high_school,mcbain - northern michigan christian hs
702,1734,Boyne Falls HS,58,58,D,high_school,boyne falls hs
703,3301,Bay City - All Saints Central HS,57,57,D,high_school,bay city - all saints central hs
704,4579,Battle Creek - Calhoun Christian School,57,57,D,high_school,battle creek - calhoun christian school
705,6196,Jackson Christian School,56,56,D,high_school,jackson christian school
706,1031,Brighton - Livingston Christian Schools,55,55,D,high_school,brighton - livingston christian schools
707,1149,Hudsonville - Libertas Christian School,53,53,D,high_school,hudsonville - libertas christian school
708,2418,Hillsdale - Will Carleton Academy,53,53,D,high_school,hillsdale - will carleton academy
709,6857,Manistee Catholic Central HS,52,52,D,high_school,manistee catholic central hs
710,5495,Cooks - Big Bay de Noc HS,51,51,D,high_school,cooks - big bay de noc hs
711,5917,Rock - Mid-Peninsula HS,51,51,D,high_school,rock - mid-peninsula hs
712,8886,Wilson - Nah Tah Wahsh PSA,49,49,D,high_school,wilson - nah tah wahsh psa
713,8102,Owendale-Gagetown HS,49,49,D,high_school,owendale-gagetown hs
714,7418,Watersmeet HS,49,49,D,high_school,watersmeet hs
715,4043,DeTour Village - DeTour HS,48,48,D,high_school,detour village - detour hs
716,3763,Mackinaw City HS,48,48,D,high_school,mackinaw city hs
717,1171,Concord Academy of Petoskey,45,45,D,high_school,concord academy of petoskey
718,1202,Shepherd - FlexTech HS,43,43,D,high_school,shepherd - flextech hs
719,4538,Byron Center Charter School,41,41,D,high_school,byron center charter school
720,1108,Lansing - Martin Luther HS,41,41,D,high_school,lansing - martin luther hs
721,5462,Northport HS,40,40,D,high_school,northport hs
722,9112,Marcellus - Howardsville Christian School,39,39,D,high_school,marcellus - howardsville christian school
723,1099,Brimley - Ojibwe Charter HS,39,39,D,high_school,brimley - ojibwe charter hs
724,1150,Mancelona - North Central Academy,38,38,D,high_school,mancelona - north central academy
725,1175,Whitmore Lake - Livingston Classical Academy,37,37,D,high_school,whitmore lake - livingston classical academy
726,7582,Republic-Michigamme HS,37,37,D,high_school,republic-michigamme hs
727,1207,Highland Park - Sigma Acad for Leadership & Early Middle,35,35,D,high_school,highland park - sigma acad for leadership & early middle
728,4761,Alba HS,34,34,D,high_school,alba hs
729,8730,Harbor Springs - Harbor Light Christian HS,34,34,D,high_school,harbor springs - harbor light christian hs
730,1132,Petoskey - St Michael Academy,32,32,D,high_school,petoskey - st michael academy
731,6592,Glen Arbor - The Leelanau School,32,32,D,high_school,glen arbor - the leelanau school
732,9371,Holland - Calvary HS,31,31,D,high_school,holland - calvary hs
733,1710,Burton - Faithway Christian Academy,28,28,D,high_school,burton - faithway christian academy
734,1200,Detroit - Skills & Trade Preparatory HS,28,28,D,high_school,detroit - skills & trade preparatory hs
735,8201,Mackinac Island HS,26,26,D,high_school,mackinac island hs
736,7681,Flint - Michigan School For The Deaf,26,26,D,high_school,flint - michigan school for the deaf
737,8656,Kimball - New Life Christian Academy,26,26,D,high_school,kimball - new life christian academy
738,4299,Kinross - Maplewood Baptist Academy,25,25,D,high_school,kinross - maplewood baptist academy
739,9962,Wyoming - West Michigan Lutheran HS,24,24,D,high_school,wyoming - west michigan lutheran hs
740,9415,Burt Lake - Northern Michigan Christian Academy,21,21,D,high_school,burt lake - northern michigan christian academy
741,6386,Vanderbilt HS,21,21,D,high_school,vanderbilt hs
742,1750,Paradise - Whitefish Township Community School,20,20,D,high_school,paradise - whitefish township community school
743,8473,Watervliet - Grace Christian HS,18,18,D,high_school,watervliet - grace christian hs
744,8532,Beaver Island Community School,17,17,D,high_school,beaver island community school
745,9819,Lansing - New Covenant Christian HS,12,12,D,high_school,lansing - new covenant christian hs
