,school_id,school_name,enrollment_total,enrollment_classification,division,level,match
29,3086,Fair Haven - Anchor Bay HS,1882,1882,A,high_school,fair haven - anchor bay hs
30,4638,Novi - Detroit Catholic Central HS,933,1866,A,high_school,novi - detroit catholic central hs
31,1825,Ann Arbor - Huron HS,1860,1860,A,high_school,ann arbor - huron hs
32,1069,Bloomfield Hills HS,1851,1851,A,high_school,bloomfield hills hs
33,3730,Monroe HS,1838,1838,A,high_school,monroe hs
34,4555,Macomb - L'Anse Creuse North HS,1834,1834,A,high_school,macomb - l'anse creuse north hs
35,7450,Utica HS,1828,1828,A,high_school,utica hs
36,7013,Detroit - Western International HS,1807,1807,A,high_school,detroit - western international hs
37,3103,Davison HS,1787,1787,A,high_school,davison hs
38,1957,Troy - Athens HS,1775,1775,A,high_school,troy - athens hs
39,6510,Sterling Heights - Utica Ford II HS,1760,1760,A,high_school,sterling heights - utica ford ii hs
40,6576,Grandville HS,1751,1751,A,high_school,grandville hs
41,7632,Holt HS,1745,1745,A,high_school,holt hs
42,6584,Saline HS,1743,1743,A,high_school,saline hs
43,1086,Lapeer HS,1732,1732,A,high_school,lapeer hs
44,7748,Belleville HS,1730,1730,A,high_school,belleville hs
45,6551,Kalamazoo - Loy Norrix HS,1722,1722,A,high_school,kalamazoo - loy norrix hs
46,6824,Rochester Hills - Rochester HS,1721,1721,A,high_school,rochester hills - rochester hs
47,1170,Taylor HS,1720,1720,A,high_school,taylor hs
48,3945,Kalamazoo Central HS,1687,1687,A,high_school,kalamazoo central hs
49,6188,Livonia - Stevenson HS,1673,1673,A,high_school,livonia - stevenson hs
50,6023,Washington - Romeo HS,1658,1658,A,high_school,washington - romeo hs
51,6213,Grand Ledge HS,1653,1653,A,high_school,grand ledge hs
52,9731,Traverse City West HS,1629,1629,A,high_school,traverse city west hs
53,4662,Brownstown Township - Woodhaven HS,1626,1626,A,high_school,brownstown township - woodhaven hs
54,2748,Commerce Township - Walled Lake Northern HS,1621,1621,A,high_school,commerce township - walled lake northern hs
55,2815,Rochester Hills - Stoney Creek HS,1619,1619,A,high_school,rochester hills - stoney creek hs
56,2032,Ann Arbor - Skyline HS,1588,1588,A,high_school,ann arbor - skyline hs
57,4373,Dearborn - Edsel Ford HS,1563,1563,A,high_school,dearborn - edsel ford hs
58,4596,Westland - John Glenn HS,1555,1555,A,high_school,westland - john glenn hs
59,6733,Rochester - Adams HS,1528,1528,A,high_school,rochester - adams hs
60,3607,Jenison HS,1508,1508,A,high_school,jenison hs
61,6898,Royal Oak HS,1505,1505,A,high_school,royal oak hs
