,Unnamed: 0,field,home_plate,foul_ft,fop_ft,foul_pct,match,mat2
23,23,Aldai Stevenson High School,"-83.01445630000001,42.5871203,0",20786.3315954188,88749.278963042,18.976779779143,aldai stevenson high school,[]
24,25,Alden - Antrim County - Lakeside Field,"-85.2806507,44.8649571,0",106926.374908623,21536.3686458842,83.2353194007987,alden - antrim county - lakeside field,[]
25,27,Algonac High School,"-82.58239759999999,42.6286202,0",30426.8854267589,83361.7331702068,26.7398319813773,algonac high school,[]
26,28,Allen Park High School,"-83.2273711,42.2455509,0",21933.0859575336,94654.9739903661,18.8124632722553,allen park high school,[]
27,30,Athens High School - Troy,"-83.111861,42.5828923,0",17789.8785405437,85160.3992705491,17.2800685134497,athens high school - troy,[]
28,32,Bangor High School,"-86.12594559999999,42.3056833,0",39831.5696113573,103637.227979938,27.7632281583809,bangor high school,[]
29,33,Bath High School,"-84.43990410000001,42.8139458,0",17232.8981377437,102353.144698361,14.4104593889453,bath high school,[]
30,34,Battle Creek (Bailey),"-85.1503842,42.3416038,0",32229.5864760904,103628.38468002,23.7229999843411,battle creek (bailey),[]
31,35,Battle Creek lakeview,"-85.2302768,42.2937644,0",39069.3868910756,95422.2158080948,29.0496849669236,battle creek lakeview,['battle creek - lakeview hs']
32,36,Bay City All Saints HS,"-83.8962351,43.5560867,0",25765.9706147411,87054.9432112981,22.8379382341027,bay city all saints hs,['bay city - all saints central hs']
33,37,Bay City All Saints Youth Field,"-83.8975504,43.55632,0",12856.7731510072,31470.6115510692,29.004131954586,bay city all saints youth field,[]
34,38,Bay City john Glen,"-83.9280232,43.6193164,0",25783.1191596981,102941.310090891,20.0297016734141,bay city john glen,['bay city - john glenn hs']
35,39,Blissfield,"-83.8684514,41.8222438,0",20396.0180142044,92349.4951054908,18.0903145942058,blissfield,['blissfield hs']
36,40,Boeve Baseball Stadium - Holland,"-86.08836650000001,42.7870783,0",30723.024506934,99673.6268741766,23.5612066579377,boeve baseball stadium - holland,[]
37,41,Borden Field  Coldwater,"-85.02038109999999,41.9516033,0",46389.8374634223,88202.2616946945,34.4669841347256,borden field  coldwater,[]
38,43,Boyne City - Youth Field,"-85.00279860000001,45.2184825,0",18057.4478783037,83521.7283053716,17.7767221164033,boyne city - youth field,[]
39,44,Boyne City County Park,"-84.9975093,45.2058653,0",21397.3751003296,92586.5826989395,18.772268934556,boyne city county park,[]
40,45,Bronson high School,"-85.1894145,41.865696,0",25821.5010253396,90957.1523180231,22.1114906586711,bronson high school,[]
41,46,Brownstone Woodhaven HS,"-83.26982889999999,42.121292,0",35410.3324697738,85450.4245066913,29.2984533239926,brownstone woodhaven hs,[]
42,47,Calvin College,"-85.571371,42.930952,0",36043.5749701099,104041.926316228,25.7296969630253,calvin college,[]
43,48,Calvin College ,"-85.57064200000001,42.9301094,0",36768.4177735002,104570.585387147,26.014346324283,calvin college ,[]
44,49,Camden-Frontier High School,"-84.7066398,41.7801468,0",30123.2144974546,76954.160506601,28.1321936555819,camden-frontier high school,['camden-frontier hs']
45,50,Canton High School,"-83.49151519999999,42.3441818,0",34332.1924131382,96250.2894863803,26.2915759554611,canton high school,[]
46,51,Carleton Airport High School,"-83.37652180000001,42.0373919,0",21261.7260791466,88074.0498692661,19.4462662332761,carleton airport high school,[]
47,52,Centerville High School,"-85.5231062,41.9149684,0",30616.6579944999,92985.2717956672,24.7703721507231,centerville high school,[]
48,54,Charlotte High School,"-84.85511649999999,42.5604691,0",35678.8234991406,83501.2362523037,29.9369068731384,charlotte high school,[]
49,55,Eaton Rapid HS Field ,"-84.6350135,42.5110331,0",34106.7985222942,85396.3333992775,28.54050598831,eaton rapid hs field ,[]
50,56,Chesaning Union High School,"-84.12538549999999,43.1946838,0",42979.9124930225,94199.2011000167,31.3312364887619,chesaning union high school,[]
51,57,Chesaning Union HS - Field ,"-84.1254496,43.1935652,0",34692.3341118101,83266.4536807998,29.4105549582322,chesaning union hs - field ,[]
52,58,Clare High School,"-84.7809457,43.8248348,0",19720.5168329422,93773.6682275248,17.3757949118147,clare high school,[]
53,59,Clarenceville - Livonia,"-83.33937090000001,42.4363394,0",19165.7200490691,82437.5063187923,18.8632986709283,clarenceville - livonia,[]
54,60,Clinton High School,"-83.9647212,42.0745982,0",23741.9041612824,91577.1360389714,20.5880174861446,clinton high school,[]
55,61,CMU,"-84.77949580000001,43.5764696,0",22847.0546244778,108212.852477928,17.4325277116409,cmu,[]
56,62,Coldwater Heritage Park,"-85.02037970000001,41.9515984,0",44480.753133981,89491.6491918398,33.2014298182127,coldwater heritage park,[]
57,64,Comerica Park,"-83.0489808,42.3394579,0",28154.5903643324,113641.24196682,19.8557248837749,comerica park,[]
58,65,Concord High School,"-84.6411052,42.1722524,0",18587.870418381,82374.3834934619,18.410712616035,concord high school,[]
59,66,Coors Field - Colorado MLB,"-104.9942091,39.7557176,0",24746.112813117,116885.730677667,17.4721391766161,coors field - colorado mlb,[]
60,67,Cornerstone Baseball Field - Grand Rapids,"-85.5975511,42.9811225,0",21212.0652713205,103015.759522745,17.0751321666334,cornerstone baseball field - grand rapids,[]
61,69,Cranbrook High School,"-83.25467329999999,42.5730964,0",33362.2469275043,84810.9215031955,28.2316598349217,cranbrook high school,[]
62,70,Dansville Baseball Field HS,"-84.30747119999999,42.5514233,0",38155.4755939379,101273.411739821,27.365545493168,dansville baseball field hs,[]
63,71,Davenport University,"-85.5160374,42.8425628,0",30258.7337905293,111118.059116787,21.4029001282878,davenport university,[]
64,72,Decatur High School,"-85.9816872,42.1120337,0",18841.0379022072,93430.8902167737,16.7816106999074,decatur high school,[]
65,73,Decatur High School - Baseball,"-85.98168920000001,42.1120346,0",18970.6706451483,93057.5330687933,16.9338345311587,decatur high school - baseball,[]
66,74,Decatur Youth Field,"-85.9858847,42.1126558,0",10576.588097131,39318.2692698192,21.1977519433433,decatur youth field,[]
67,75,Detroit Catholic Central - Field ,"-83.5440067,42.4880269,0",33484.0865152148,90187.5636935758,27.0749896671426,detroit catholic central - field ,[]
