,field,level,foul_ft,fop_ft,foul_pct,h_lat,h_long,match
141,L'Anse HS,high_school,23630.0,86914.0,21.38,-88.4437423,46.7575736,"[(""Macomb - L'Anse Creuse North HS"", 100)]"
142,Laingsburg HS,high_school,28676.0,98635.0,22.52,-84.342751,42.878632,"[('Laingsburg HS', 100)]"
143,Lake Orion HS,high_school,32958.0,90214.0,26.76,-83.2369353,42.7539465,"[('Lake Orion HS', 100)]"
146,Lincoln High School - Ypsi - Fields 2,high_school,28282.0,91822.0,23.55,-83.6146378,42.1604794,"[('Lincoln Park HS', 64)]"
147,Lincoln High School - Ypsilanti,high_school,26768.0,92794.0,22.39,-83.6146339,42.1610319,"[('Ypsilanti - Lincoln HS', 92)]"
148,Livonia Franklin HS,high_school,19947.0,88016.0,18.48,-83.3473911,42.356909,"[('Livonia - Franklin HS', 100)]"
150,Mackinaw City HS - 2?,high_school,21477.0,71126.0,23.19,-84.7427202,45.7785533,"[('Mackinaw City HS', 100)]"
151,Marine City Cardinal Mooney Field 2,high_school,16169.0,93547.0,14.74,-82.8879871,42.5368865,"[('Marine City HS', 88)]"
152,Marine City Cardinal Mooney HS,high_school,35258.0,89229.0,28.32,-82.8877279,42.5352846,"[('Marine City HS', 100)]"
153,Marion High School,high_school,28881.0,84444.0,25.49,-85.130365,44.1000449,"[('Marion HS', 80)]"
154,Marlette High School,high_school,22629.0,86986.0,20.64,-83.070928,43.3238064,"[('Marlette HS', 84)]"
155,Martin HS,high_school,25276.0,78191.0,24.43,-85.6333741,42.5353963,"[('Detroit - Martin Luther King HS', 100)]"
156,Mason County Central High School,high_school,33783.0,87956.0,27.75,-86.2891178,43.9590923,"[('Scottville - Mason County Central HS', 82)]"
157,Mayville High School,high_school,17938.0,81703.0,18.0,-83.3551339,43.3310365,"[('Mayville HS', 84)]"
158,MCCU Field - Battle Creek ,high_school,32230.0,103628.0,23.72,-85.1503842,42.3416038,"[('Battle Creek - Pennfield HS', 75)]"
159,Mendon High School,high_school,36355.0,86309.0,29.64,-85.4474524,42.0126305,"[('Mendon HS', 80)]"
162,Merrill High School,high_school,28874.0,89658.0,24.36,-84.3410391,43.4071832,"[('Merrill HS', 82)]"
