,Unnamed: 0.1,Unnamed: 0,field,level_x,foul_ft,fop_ft,foul_pct,h_lat,h_long,match,school_id,school_name,students,enrollment,division
22,22,27,Charlotte High School,high_school,35679,83501,29.94,-84.8551165,42.5604691,Charlotte HS,3516.0,Charlotte HS,751.0,751.0,B
23,23,28,Cheboygan HS,high_school,28930,94239,23.49,-84.4971284,45.6300425,Cheboygan Area HS,4150.0,Cheboygan Area HS,605.0,605.0,B
24,24,29,Chesaning Union HS,high_school,42709,93437,31.37,-84.1253816,43.1946837,Chesaning HS,1767.0,Chesaning HS,421.0,421.0,B
25,25,30,Chesaning Union HS - Field 2,high_school,34692,83266,29.41,-84.1254496,43.1935652,Chesaning HS,1767.0,Chesaning HS,421.0,421.0,B
26,26,31,Clare High School,high_school,19721,93774,17.38,-84.7809457,43.8248348,Clare HS,3788.0,Clare HS,469.0,469.0,B
27,27,32,Clarenceville HS - Livonia,high_school,19166,82438,18.86,-83.3393709,42.4363394,Livonia - Clarenceville HS,5396.0,Livonia - Clarenceville HS,713.0,713.0,B
28,28,33,Clinton High School,high_school,23742,91577,20.59,-83.9647212,42.0745982,Clinton HS,1635.0,Clinton HS,397.0,397.0,C
29,29,37,Concord High School,high_school,18588,82374,18.41,-84.6411052,42.1722524,Concord HS,6353.0,Concord HS,224.0,224.0,C
30,30,40,Cranbrook High School,high_school,33362,84811,28.23,-83.2546733,42.5730964,Bloomfield Hills - Cranbrook Kingswood HS,7203.0,Bloomfield Hills - Cranbrook Kingswood HS,798.0,798.0,B
31,31,41,Dansville HS,high_school,38155,101273,27.37,-84.3074712,42.5514233,Dansville HS,5132.0,Dansville HS,243.0,243.0,C
32,32,43,Decatur High School,high_school,18841,93431,16.78,-85.9816872,42.1120337,Decatur HS,2311.0,Decatur HS,204.0,204.0,C
33,33,45,Detroit Catholic Central HS - Field 2,high_school,33484,90188,27.07,-83.5440067,42.4880269,Novi - Detroit Catholic Central HS,4638.0,Novi - Detroit Catholic Central HS,933.0,1866.0,A
34,34,46,Detroit Catholic Central HS,high_school,18311,96537,15.94,-83.5434495,42.488053,Novi - Detroit Catholic Central HS,4638.0,Novi - Detroit Catholic Central HS,933.0,1866.0,A
35,35,47,Detroit Country Day HS,high_school,17029,91589,15.68,-83.2646187,42.513942,Beverly Hills - Detroit Country Day HS,4092.0,Beverly Hills - Detroit Country Day HS,657.0,657.0,B
36,36,49,Dewitt High School,high_school,20441,84827,19.42,-84.5810277,42.8262729,DeWitt HS,1354.0,DeWitt HS,1009.0,1009.0,A
37,37,51,East Lansing High School,high_school,28064,89645,23.84,-84.4568141,42.7419931,East Lansing HS,3920.0,East Lansing HS,1211.0,1211.0,A
38,38,52,Eastern High School,high_school,38329,86898,30.61,-84.5355748,42.7372929,Lansing - Eastern HS,2765.0,Lansing - Eastern HS,828.0,828.0,B
39,39,53,Eaton Rapid HS Field 2,high_school,34107,85396,28.54,-84.6350135,42.5110331,Eaton Rapids HS,3978.0,Eaton Rapids HS,674.0,674.0,B
