Round,Date,Time,Location,Team1,Record1,Team2,Record2,MoreInfo,District,Division
 SemiFin, 6/3/2023, 10:00 AM," University Liggett School - Baseball - Grosse Pointe Woods, MI 48236",  , , Detroit Denby ,2-4 ,/gameeventdetails/contestid/3960925/schoolid/0/view/contest,56 ,2
 SemiFin, 6/3/2023, 12:00 PM," University Liggett School - Baseball - Grosse Pointe Woods, MI 48236", Detroit East English ,8-2 , Grosse Pointe Woods University Liggett ,15-8 ,/gameeventdetails/contestid/3960924/schoolid/8950/view/contest,56 ,2
 SemiFin, 6/3/2023, 10:00 AM, Airport High School - Carleton (Varsity Baseball Field), New Boston Huron ,15-5 , Flat Rock ,10-8 ,/gameeventdetails/contestid/3960911/schoolid/3943/view/contest,51 ,2
 SemiFin, 6/3/2023, 12:30 PM, Airport High School - Carleton (Varsity Baseball Field), Monroe Jefferson ,7-18 , Carleton Airport ,20-4 ,/gameeventdetails/contestid/3960910/schoolid/4513/view/contest,51 ,2
 Round 1, 5/26/2023, 4:00 PM, Trenton Baseball Stadium, Riverview ,12-7 , Romulus Summit Academy North ,9-5 ,/gameeventdetails/contestid/3960719/schoolid/4547/view/contest,52 ,2
 SemiFin, 6/3/2023, 10:00 AM, Trenton Baseball Stadium,  , , Grosse Ile ,5-12 ,/gameeventdetails/contestid/3960721/schoolid/0/view/contest,52 ,2
 SemiFin, 6/3/2023, 12:30 PM, Trenton Baseball Stadium, Trenton ,16-9 , Romulus ,0-3-1 ,/gameeventdetails/contestid/3960720/schoolid/3909/view/contest,52 ,2
 Round 1, 5/30/2023, 4:30 PM, Whiteford High School - Baseball - Ottawa Lake, Ida ,9-9 , Blissfield ,10-12 ,/gameeventdetails/contestid/3961042/schoolid/4259/view/contest,87 ,3
 SemiFin, 6/3/2023, 9:30 AM, Whiteford High School - Baseball - Ottawa Lake,  , , Ottawa Lake Whiteford ,13-6 ,/gameeventdetails/contestid/3961044/schoolid/0/view/contest,87 ,3
 SemiFin, 6/3/2023, 11:30 AM, Whiteford High School - Baseball - Ottawa Lake, Monroe St Mary Catholic Central ,12-11 , Erie Mason ,5-13 ,/gameeventdetails/contestid/3961043/schoolid/4109/view/contest,87 ,3
 Round 1, 5/30/2023, 5:00 PM, Concordia University - Ann Arbor, Ann Arbor Greenhills ,14-10 , Dearborn Heights Robichaud ,1-5 ,/gameeventdetails/contestid/3961046/schoolid/4423/view/contest,88 ,3
 SemiFin, 6/2/2023, 12:00 PM, Concordia University - Ann Arbor,  , , Canton Prep ,8-9 ,/gameeventdetails/contestid/3961048/schoolid/0/view/contest,88 ,3
 SemiFin, 6/2/2023, 2:30 PM, Concordia University - Ann Arbor, Brighton Charyl Stockwell Prep ,11-9 , Taylor Prep ,11-5 ,/gameeventdetails/contestid/3961047/schoolid/9050/view/contest,88 ,3
 Round 1, 5/30/2023, 5:00 PM, Hanover-Horton High School - Baseball, Homer ,13-5 , Hanover-Horton ,8-8 ,/gameeventdetails/contestid/3961028/schoolid/3873/view/contest,83 ,3
 SemiFin, 6/3/2023, 10:00 AM, Hanover-Horton High School - Baseball,  , , Quincy ,13-5 ,/gameeventdetails/contestid/3961030/schoolid/0/view/contest,83 ,3
 SemiFin, 6/3/2023, 12:00 PM, Hanover-Horton High School - Baseball, Jonesville ,9-4 , Hillsdale ,5-10 ,/gameeventdetails/contestid/3961029/schoolid/4112/view/contest,83 ,3
