school_id,school_name,students,enrollment,division,level
1621,Ferndale - University HS,478,478,B,high_school
3235,Flint - Hamady HS,476,476,B,high_school
3788,Clare HS,469,469,B,high_school
1148,Richmond HS,469,469,B,high_school
5867,Newaygo HS,467,467,B,high_school
5826,Grand Rapids - West Catholic HS,466,466,B,high_school
8184,Ann Arbor - Father Gabriel Richard HS,462,462,B,high_school
4885,Onsted HS,458,458,B,high_school
3012,Standish-Sterling HS,455,455,B,high_school
4010,Montague HS,453,453,B,high_school
3383,Ovid-Elsie HS,452,452,B,high_school
5603,Mt Morris (EAJ) HS,451,451,B,high_school
1726,Stanton - Central Montcalm HS,450,450,B,high_school
2947,Manistee HS,450,450,B,high_school
5636,Houghton HS,449,449,B,high_school
5165,Durand Area HS,447,447,B,high_school
5685,Detroit - Pershing HS,447,447,B,high_school
6254,Detroit - Osborn HS,446,446,B,high_school
1296,Detroit - Southeastern HS,445,445,B,high_school
1109,Detroit School of Arts,440,440,B,high_school
2435,Lansing Catholic HS,439,439,B,high_school
4836,Ida HS,438,438,B,high_school
4786,Almont HS,437,437,B,high_school
3053,Boyne City HS,436,436,B,high_school
4348,Dearborn - Advanced Technology Academy,435,435,B,high_school
1668,Algonac HS,433,433,B,high_school
5041,Hillsdale HS,429,429,B,high_school
1028,Detroit - Jalen Rose Leadership Academy,425,425,B,high_school
6907,Kalkaska HS,425,425,B,high_school
7608,Stockbridge HS,424,424,B,high_school
9057,Detroit Collegiate Prep @ Northwestern,422,422,B,high_school
1767,Chesaning HS,421,421,B,high_school
9060,Detroit Edison PSA Early College of Excellence,420,420,B,high_school
7806,Clawson HS,418,418,B,high_school
5379,Warren - Michigan Collegiate HS,417,417,B,high_school
5710,Negaunee HS,416,416,B,high_school
5033,Reed City HS,416,416,B,high_school
6931,Constantine HS,411,411,B,high_school
6460,Otisville - LakeVille Memorial HS,410,410,B,high_school
4126,Coloma HS,409,409,B,high_school
2864,Kalamazoo - Comstock HS,408,408,B,high_school
3474,Jonesville HS,406,406,B,high_school
1684,Dearborn Heights - Robichaud HS,406,406,B,high_school
5883,Benzonia - Benzie Central HS,403,403,B,high_school
1085,Taylor Preparatory HS,403,403,B,high_school
1932,Ecorse HS,402,402,B,high_school
6130,Gladstone HS,402,402,B,high_school
7871,Michigan Center HS,401,401,B,high_school
5421,Fennville HS,400,400,B,high_school
3598,Caro HS,399,399,B,high_school
1817,Shelby HS,399,399,B,high_school
5578,Watervliet HS,399,399,B,high_school
1635,Clinton HS,397,397,C,high_school
1783,Elk Rapids HS,396,396,C,high_school
3805,Hart HS,396,396,C,high_school
3639,Dearborn Heights - Star International Academy,395,395,C,high_school
1111,Canton Preparatory HS,392,392,C,high_school
1453,Brooklyn - Columbia Central HS,391,391,C,high_school
5314,Grayling HS,390,390,C,high_school
5966,Sanford - Meridian Early College HS,390,390,C,high_school
4258,Quincy HS,390,390,C,high_school
2170,Clinton Township - Clintondale HS,389,389,C,high_school
1692,Adrian - Madison HS,388,388,C,high_school
4439,Detroit - Voyageur College Prep,388,388,C,high_school
2674,Grand Rapids - Covenant Christian HS,387,387,C,high_school
7673,Erie-Mason HS,382,382,C,high_school
5009,Lake City Area HS,382,382,C,high_school
7120,Menominee HS,382,382,C,high_school
7252,Blissfield HS,380,380,C,high_school
4464,Millington HS,380,380,C,high_school
5405,Pinconning Area HS,378,378,C,high_school
6650,Buchanan HS,376,376,C,high_school
7293,Calumet HS,376,376,C,high_school
3318,Kent City HS,372,372,C,high_school
6691,Morley Stanwood HS,372,372,C,high_school
3796,Napoleon HS,372,372,C,high_school
1338,Laingsburg HS,371,371,C,high_school
1701,Tawas City - Tawas Area HS,370,370,C,high_school
6056,Niles - Brandywine HS,369,369,C,high_school
2377,Montrose Hill-McCloy HS,365,365,C,high_school
1341,Southfield - Bradford Academy HS,364,364,C,high_school
1503,Scottville - Mason County Central HS,360,360,C,high_school
1022,Grand Rapids - Wellspring Preparatory HS,356,356,C,high_school
2195,Houghton Lake HS,353,353,C,high_school
5058,Leslie HS,351,351,C,high_school
4431,Grass Lake HS,348,348,C,high_school
1206,Madison Heights - Madison HS,348,348,C,high_school
6956,LeRoy - Pine River Area HS,343,343,C,high_school
3433,Monroe - St Mary Catholic Central HS,341,341,C,high_school
1536,Delton Kellogg HS,339,339,C,high_school
4497,Bloomingdale HS,337,337,C,high_school
6568,Hemlock HS,337,337,C,high_school
3152,Ishpeming - Westwood HS,337,337,C,high_school
2220,Harrison Community HS,335,335,C,high_school
4398,Ithaca HS,335,335,C,high_school
6221,North Muskegon HS,335,335,C,high_school
8003,Ravenna HS,333,333,C,high_school
2848,New Haven HS,330,330,C,high_school
8052,St Louis HS,330,330,C,high_school
4811,Detroit Central HS,329,329,C,high_school
7112,Perry HS,329,329,C,high_school
1107,Traverse City - St Francis HS,329,329,C,high_school
2476,Burton - Bendle HS,325,325,C,high_school
7368,Bronson HS,325,325,C,high_school
5090,Bangor HS,324,324,C,high_school
5586,Hartford HS,324,324,C,high_school
1560,Oscoda HS,320,320,C,high_school
5215,St Charles HS,320,320,C,high_school
1019,Ypsilanti - Arbor Preparatory HS,319,319,C,high_school
6543,Ann Arbor - Greenhills HS,319,319,C,high_school
6717,Manchester HS,318,318,C,high_school
2617,Hanover-Horton HS,316,316,C,high_school
1168,Hamtramck - Oakland International Academy,312,312,C,high_school
5504,Beaverton HS,311,311,C,high_school
1152,Detroit Leadership Academy,311,311,C,high_school
1362,Bad Axe HS,310,310,C,high_school
5743,Bath HS,310,310,C,high_school
9960,Detroit Cristo Rey HS,310,310,C,high_school
3482,Jackson - Lumen Christi HS,310,310,C,high_school
7525,Sandusky HS,310,310,C,high_school
1321,Homer HS,308,308,C,high_school
2427,Galesburg-Augusta HS,305,305,C,high_school
5330,Union City HS,305,305,C,high_school
4332,Lakeview HS,304,304,C,high_school
8218,Mancelona HS,304,304,C,high_school
3838,Schoolcraft HS,303,303,C,high_school
1222,Grosse Pointe Woods - University Liggett HS,303,303,C,high_school
2322,Dearborn Riverside Academy-West,300,300,C,high_school
1054,Brighton - Charyl Stockwell Prep Academy,299,299,C,high_school
9134,Detroit - Loyola HS,149,298,D,high_school
6345,Saginaw - Valley Lutheran HS,298,298,C,high_school
7624,McBain - Mc Bain HS,297,297,C,high_school
6312,Pewamo-Westphalia HS,296,296,C,high_school
9876,Detroit Community HS,295,295,C,high_school
1511,Madison Heights - Bishop Foley Catholic HS,293,293,C,high_school
7228,Springport HS,293,293,C,high_school
1058,Detroit - Dr Benjamin Carson HS for Science & Medicine,292,292,C,high_school
3664,New Lothrop HS,292,292,C,high_school
4076,Grand Rapids - NorthPointe Christian HS,291,291,C,high_school
7351,Lawton HS,290,290,C,high_school
7161,Roscommon HS,289,289,C,high_school
7574,Hesperia Community HS,286,286,C,high_school
7764,Charlevoix HS,283,283,C,high_school
4514,Memphis HS,281,281,C,high_school
6444,Elkton-Pigeon-Bay Port Laker HS,280,280,C,high_school
1115,East Jordan HS,279,279,C,high_school
5223,Saranac HS,279,279,C,high_school
2575,Grandville - Calvin Christian HS,278,278,C,high_school
1192,Detroit - Cornerstone Lincoln King Academy HS,278,278,C,high_school
7087,Manton HS,275,275,C,high_school
8093,Burton - Bentley HS,274,274,C,high_school
4002,Evart HS,274,274,C,high_school
1153,Hope of Detroit Academy HS,274,274,C,high_school
1263,Holland - Black River HS,273,273,C,high_school
1156,Vermontville - Maple Valley HS,272,272,C,high_school
4828,Reese HS,271,271,C,high_school
6403,Byron Area HS,270,270,C,high_school
7384,Hudson Area HS,269,269,C,high_school
3292,Vassar HS,269,269,C,high_school
1073,Cass City HS,268,268,C,high_school
2212,Iron Mountain HS,268,268,C,high_school
1924,Sand Creek HS,265,265,C,high_school
2880,Saugatuck HS,263,263,C,high_school
5108,Potterville HS,262,262,C,high_school
2955,Farwell Area HS,261,261,C,high_school
1676,Centreville HS,260,260,C,high_school
1196,Detroit - The School at Marygrove,258,258,C,high_school
3755,Ottawa Lake - Whiteford HS,257,257,C,high_school
5520,Harbor Springs HS,256,256,C,high_school
5017,Burton - Atherton HS,254,254,C,high_school
2600,Gwinn HS,254,254,C,high_school
3243,Bridgman HS,250,250,C,high_school
6675,Brown City HS,248,248,C,high_school
3037,Addison HS,247,247,C,high_school
2014,Maple City - Glen Lake HS,247,247,C,high_school
6246,White Cloud HS,245,245,C,high_school
2245,Manistique HS,244,244,C,high_school
5776,Cassopolis - Ross Beatty HS,244,244,C,high_school
5132,Dansville HS,243,243,C,high_school
3490,Muskegon - Western Michigan Christian HS,243,243,C,high_school
4316,Riverview - Gabriel Richard HS,241,241,C,high_school
4613,Royal Oak - Shrine Catholic HS,241,241,C,high_school
2526,Jackson - Vandercook Lake HS,241,241,C,high_school
4407,Holton HS,240,240,C,high_school
2591,Kalamazoo Christian HS,239,239,C,high_school
3846,Carson City-Crystal HS,236,236,C,high_school
4720,Kalamazoo - Hackett Catholic Prep,235,235,C,high_school
6997,East Jackson HS,234,234,C,high_school
4225,Unionville Sebewaing HS,234,234,C,high_school
1120,Arts & Technology Acad of Pontiac,232,232,C,high_school
2079,Wyoming - The Potter's House Christian HS,232,232,C,high_school
7145,Iron River - West Iron County HS,232,232,C,high_school
4695,Mt Morris - Beecher HS,231,231,C,high_school
1478,Whittemore-Prescott HS,230,230,C,high_school
7054,Marlette HS,229,229,C,high_school
6304,Lincoln - Alcona HS,228,228,C,high_school
5124,Mt Pleasant - Beal City HS,227,227,C,high_school
3458,Rochester Hills - Lutheran Northwest HS,227,227,C,high_school
7715,Reading HS,225,225,C,high_school
6353,Concord HS,224,224,C,high_school
3185,Whitmore Lake HS,224,224,C,high_school
1083,St Helen - Charlton Heston Academy,222,222,C,high_school
2009,Detroit - Universal Academy,222,222,C,high_school
5652,Bark River-Harris HS,221,221,C,high_school
2393,Mt Clemens HS,220,220,C,high_school
9721,Kimball - Landmark Academy,218,218,C,high_school
4588,Blanchard - Montabella HS,218,218,C,high_school
1161,Detroit - Academy of the Americas,216,216,C,high_school
3631,Johannesburg-Lewiston HS,216,216,C,high_school
6361,Ishpeming HS,213,213,C,high_school
2930,Capac HS,211,211,C,high_school
2360,St Ignace HS,210,210,C,high_school
5900,White Pigeon HS,210,210,C,high_school
5677,Genesee HS,208,208,C,high_school
6287,Harbor Beach HS,208,208,C,high_school
9948,Traverse City - Grand Traverse Academy,206,206,C,high_school
2311,Decatur HS,204,204,C,high_school
2204,Allen Park - Cabrini HS,203,203,C,high_school
3045,Kingston HS,203,203,C,high_school
7562,Burton - Madison Academy,203,203,C,high_school
2988,Merrill HS,203,203,C,high_school
3441,Hancock HS,199,199,C,high_school
2228,International Academy of Flint,198,198,C,high_school
6774,Painesdale - Jeffers HS,197,197,C,high_school
7153,Mesick HS,197,197,C,high_school
1131,Coleman HS,195,195,C,high_school
1065,Warren - Michigan Math & Science Academy,195,195,C,high_school
7178,Morenci Area HS,195,195,C,high_school
7995,Breckenridge HS,194,194,C,high_school
5264,L'Anse HS,193,193,C,high_school
8481,Saginaw - Nouvel Catholic Central HS,193,193,C,high_school
2105,Gobles HS,192,192,C,high_school
8698,Adrian - Lenawee Christian HS,192,192,C,high_school
8623,Lutheran HS Westland,192,192,C,high_school
1577,Rogers City HS,192,192,C,high_school
5446,Marcellus HS,191,191,C,high_school
1230,Saginaw Arts & Sciences Academy,191,191,C,high_school
1090,Westland - Universal Learning Academy,191,191,C,high_school
2906,Lawrence HS,189,189,C,high_school
1965,Eau Claire HS,188,188,D,high_school
7442,Mayville HS,187,187,D,high_school
6873,Munising HS,183,183,D,high_school
2286,New Buffalo HS,182,182,D,high_school
5751,Ironwood - Luther L Wright HS,181,181,D,high_school
2625,Norway HS,180,180,D,high_school
6163,Bellevue HS,179,179,D,high_school
