Location,Map Link
Holton High sChool - Baseball - MAP,http://maps.google.com/maps?q=Holton+High+sChool+-+Baseball+6477+syers+rd++Holton%2c+MI+
Dow Diamond (Baseball Field) - Midland - MAP,http://maps.google.com/maps?q=Dow+Diamond+825+E+Main+St++Midland%2c+MI+48640
Gabriel Richard HS - Baseball - Riverview - MAP,http://maps.google.com/maps?q=Gabriel+Richard+HS+-+Baseball+15325+Pennsylvania+Rd++Riverview%2c+MI+
USA Baseball Field - Sebewaing - MAP,http://maps.google.com/maps?q=USA+Baseball+Field+2203+Wildner+Rd++Sebewaing%2c+MI+
Mayville High School - MAP,http://maps.google.com/maps?q=Mayville+High+School+6250+S+Fulton+St++Mayville%2c+MI+0
Parkway Christian School - Baseball - Sterling Heights  - MAP,http://maps.google.com/maps?q=Parkway+Christian+School+-+Baseball+++Sterling+Heights+%2c+MI+
JIMMY JOHN'S STADIUM - Utica - MAP,http://maps.google.com/maps?q=JIMMY+JOHN%27S+STADIUM+7171+Auburn+Rd.++Utica%2c+MI+48317
Lorenson Field - Ironwood - MAP,http://maps.google.com/maps?q=Lorenson+Field+E+Ayer+St.++Ironwood%2c+MI+49938
Whittemore-Prescott High School - Baseball - MAP,http://maps.google.com/maps?q=Whittemore-Prescott+High+School+-+Baseball+6001+Mills+Road++Whittemore%2c+MI+
Glen Lake High School - Baseball - Maple City  - MAP,http://maps.google.com/maps?q=Glen+Lake+High+School+-+Baseball+3375+W.+Burdickville++Maple+City+%2c+MI+
Pioneer Park - Baseball - Pellston - MAP,http://maps.google.com/maps?q=Pioneer+Park+-+Baseball+Robinson+Road++Pellston%2c+MI+
Rudyard - MAP,http://maps.google.com/maps?q=Rudyard+11185+W+2nd+St++Rudyard%2c+MI+49780
