,field,home_plate,foul_ft,fop_ft,foul_pct
21,. Marine City Cardinal Mooney,"-82.8877279,42.5352846,0",35258.32555668489,89228.73878083477,28.322882979302644
22,Adrian College,"-84.0697145,41.901861,0",14280.35930219632,106000.2871108622,11.872532887091253
23,Aldai Stevenson High School,"-83.01445630000001,42.5871203,0",20786.331595418884,88749.27896304203,18.976779779143044
25,Alden - Antrim County - Lakeside Field,"-85.2806507,44.8649571,0",106926.37490862333,21536.368645884246,83.2353194007987
27,Algonac High School,"-82.58239759999999,42.6286202,0",30426.88542675893,83361.73317020683,26.73983198137734
28,Allen Park High School,"-83.2273711,42.2455509,0",21933.08595753368,94654.97399036611,18.812463272255332
30,Athens High School - Troy,"-83.111861,42.5828923,0",17789.878540543745,85160.39927054917,17.280068513449784
32,Bangor High School,"-86.12594559999999,42.3056833,0",39831.5696113573,103637.2279799388,27.763228158380954
33,Bath High School,"-84.43990410000001,42.8139458,0",17232.898137743716,102353.14469836115,14.410459388945378
34,Battle Creek (Bailey),"-85.1503842,42.3416038,0",32229.586476090473,103628.38468002064,23.722999984341172
35,Battle Creek lakeview,"-85.2302768,42.2937644,0",39069.38689107569,95422.21580809489,29.049684966923685
36,Bay City All Saints HS,"-83.8962351,43.5560867,0",25765.97061474115,87054.9432112981,22.837938234102765
37,Bay City All Saints Youth Field,"-83.8975504,43.55632,0",12856.773151007252,31470.611551069233,29.00413195458605
38,Bay City john Glen,"-83.9280232,43.6193164,0",25783.119159698155,102941.31009089139,20.02970167341416
39,Blissfield,"-83.8684514,41.8222438,0",20396.018014204463,92349.49510549087,18.090314594205804
40,Boeve Baseball Stadium - Holland,"-86.08836650000001,42.7870783,0",30723.02450693408,99673.62687417664,23.56120665793771
41,Borden Field  Coldwater,"-85.02038109999999,41.9516033,0",46389.837463422344,88202.26169469456,34.46698413472563
43,Boyne City - Youth Field,"-85.00279860000001,45.2184825,0",18057.447878303774,83521.72830537162,17.776722116403374
44,Boyne City County Park,"-84.9975093,45.2058653,0",21397.375100329682,92586.58269893956,18.77226893455604
45,Bronson high School,"-85.1894145,41.865696,0",25821.501025339625,90957.15231802316,22.111490658671144
46,Brownstone Woodhaven HS,"-83.26982889999999,42.121292,0",35410.33246977381,85450.42450669137,29.298453323992625
47,Calvin College,"-85.571371,42.930952,0",36043.57497010997,104041.92631622896,25.72969696302534
48,Calvin College ,"-85.57064200000001,42.9301094,0",36768.417773500216,104570.58538714732,26.01434632428305
49,Camden-Frontier High School,"-84.7066398,41.7801468,0",30123.214497454697,76954.16050660101,28.132193655581993
50,Canton High School,"-83.49151519999999,42.3441818,0",34332.1924131382,96250.28948638034,26.291575955461127
51,Carleton Airport High School,"-83.37652180000001,42.0373919,0",21261.726079146614,88074.04986926616,19.44626623327611
52,Centerville High School,"-85.5231062,41.9149684,0",30616.657994499972,92985.27179566721,24.770372150723166
54,Charlotte High School,"-84.85511649999999,42.5604691,0",35678.82349914065,83501.23625230377,29.936906873138426
55,Eaton Rapid HS Field ,"-84.6350135,42.5110331,0",34106.7985222942,85396.33339927752,28.540505988310024
56,Chesaning Union High School,"-84.12538549999999,43.1946838,0",42979.912493022566,94199.2011000167,31.331236488761977
57,Chesaning Union HS - Field ,"-84.1254496,43.1935652,0",34692.3341118101,83266.45368079984,29.41055495823225
