teamName,games_played,runs_scored_mean,runs_scored_median,runs_scored_total,runs_allowed_count,runs_allowed_mean,runs_allowed_median,runs_allowed_total,A_runs_scored,H_runs_scored,A_runs_allowed,H_runs_allowed,games,run_differential_home,run_differential_away,run_differential,runs_scored_avg,runs_allowed_avg,runs_scored_avg_home,runs_scored_avg_away,runs_allowed_avg_home,runs_allowed_avg_away,run_differential_avg,home_runs_scored_avg,home_runs_allowed_avg,home_run_differential_avg,away_runs_scored_avg,away_runs_allowed_avg,loss_playoff,win_playoff,wins_playoff,losses_playoff,games_playoff,runs_scored_playoff,runs_allowed_playoff,run_differential_playoff
L'Anse,9,4.111111111111111,4.0,37.0,9,9.222222222222221,10.0,83.0,30.0,7.0,52.0,31.0,9,-24.0,-22.0,-46.0,4.111111111111111,9.222222222222221,0.7777777777777778,3.3333333333333335,3.4444444444444446,5.777777777777778,-5.111111111111111,0.7777777777777778,3.4444444444444446,-2.6666666666666665,3.3333333333333335,5.777777777777778,1.0,0.0,0.0,1.0,1.0,0.0,7.0,-7.0
Laingsburg,35,9.2,8.0,322.0,35,2.9714285714285715,2.0,104.0,173.0,149.0,45.0,59.0,35,90.0,128.0,218.0,9.2,2.9714285714285715,4.257142857142857,4.942857142857143,1.6857142857142857,1.2857142857142858,6.228571428571429,4.257142857142857,1.6857142857142857,2.5714285714285716,4.942857142857143,1.2857142857142858,1.0,2.0,2.0,1.0,3.0,28.0,11.0,5.666666666666667
Lake City,31,4.0,2.0,124.0,31,8.03225806451613,7.0,249.0,50.0,74.0,149.0,100.0,31,-26.0,-99.0,-125.0,4.0,8.03225806451613,2.3870967741935485,1.6129032258064515,3.225806451612903,4.806451612903226,-4.032258064516129,2.3870967741935485,3.225806451612903,-0.8387096774193549,1.6129032258064515,4.806451612903226,1.0,0.0,0.0,1.0,1.0,9.0,10.0,-1.0
Lake Fenton,16,5.0,5.0,80.0,16,4.875,3.0,78.0,52.0,28.0,39.0,39.0,16,-11.0,13.0,2.0,5.0,4.875,1.75,3.25,2.4375,2.4375,0.125,1.75,2.4375,-0.6875,3.25,2.4375,1.0,2.0,2.0,1.0,3.0,9.0,17.0,-2.6666666666666665
Lake Leelanau St Mary,22,2.909090909090909,2.0,64.0,22,10.545454545454545,10.5,232.0,34.0,30.0,168.0,64.0,22,-34.0,-134.0,-168.0,2.909090909090909,10.545454545454545,1.3636363636363635,1.5454545454545454,2.909090909090909,7.636363636363637,-7.636363636363637,1.3636363636363635,2.909090909090909,-1.5454545454545454,1.5454545454545454,7.636363636363637,1.0,0.0,0.0,1.0,1.0,2.0,12.0,-10.0
Lake Linden-Hubbell,6,4.0,4.5,24.0,6,17.166666666666668,18.5,103.0,5.0,19.0,29.0,74.0,6,-55.0,-24.0,-79.0,4.0,17.166666666666668,3.1666666666666665,0.8333333333333334,12.333333333333334,4.833333333333333,-13.166666666666666,3.1666666666666665,12.333333333333334,-9.166666666666666,0.8333333333333334,4.833333333333333,1.0,0.0,0.0,1.0,1.0,7.0,19.0,-12.0
Lake Odessa Lakewood,40,6.675,6.0,267.0,40,4.975,4.0,199.0,127.0,140.0,81.0,118.0,40,22.0,46.0,68.0,6.675,4.975,3.5,3.175,2.95,2.025,1.7,3.5,2.95,0.55,3.175,2.025,1.0,1.0,1.0,1.0,2.0,13.0,4.0,4.5
Lake Orion,39,5.3076923076923075,5.0,207.0,39,3.8205128205128207,3.0,149.0,139.0,68.0,97.0,52.0,39,16.0,42.0,58.0,5.3076923076923075,3.8205128205128207,1.7435897435897436,3.5641025641025643,1.3333333333333333,2.4871794871794872,1.4871794871794872,1.7435897435897436,1.3333333333333333,0.41025641025641024,3.5641025641025643,2.4871794871794872,1.0,3.0,3.0,1.0,4.0,14.0,11.0,0.75
Lake Orion Baptist School,0,,,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
Lakeview,34,5.0,5.0,170.0,34,7.147058823529412,6.5,243.0,92.0,78.0,117.0,126.0,34,-48.0,-25.0,-73.0,5.0,7.147058823529412,2.2941176470588234,2.7058823529411766,3.7058823529411766,3.4411764705882355,-2.1470588235294117,2.2941176470588234,3.7058823529411766,-1.411764705882353,2.7058823529411766,3.4411764705882355,1.0,1.0,1.0,1.0,2.0,2.0,8.0,-3.0
