field,foul_ft,fop_ft,foul_pct,dist_calc
Detroit Country Day,17028.75939,91589.48192,15.67762393,278.9220176
Detroit Western,28788.73856,108026.1609,21.04210774,319.5453875
Dewitt High School,20440.80627,84826.50234,19.41800027,261.3688621
Dow Diamond (Midland),29101.19376,106467.6554,21.46598864,356.5334462
East Lansing High School,28064.48435,89645.33597,23.84209259,32.15998191
Eastern High School,38328.76487,86897.67435,30.60756587,309.882096
Eaton Rapids High School,37223.00879,101498.2962,26.83294307,0
Ecorse High School,29410.76772,78787.63832,27.182256,312.9418358
Edwardsburg HS,30166.42702,85216.10496,26.14470882,272.4335834
EMU,17041.10563,109552.6829,13.46124942,300.4809491
Everett High School,36876.1732,93447.61381,28.29581157,279.2767292
Fankfort H S,25912.50964,89205.26372,22.50956467,244.3966614
Fenway Park - Boston,17744.31887,102744.6907,14.72691902,272.0317546
Forrest Hills Eastern,34527.56295,98243.77763,26.00528307,296.4781097
Fowlerville HS,19823.26999,94791.45491,17.29557001,294.0193083
Gabriel Richard HS - Baseball,22711.75774,92645.04415,19.68826924,280.0401554
Garber High School Essexville,25668.21892,91404.34866,21.92504995,284.0794482
Gladstone High School,22977.76982,84311.83807,21.41658477,262.6242182
Gladstone_youth,10047.92257,36433.6804,21.61698807,164.558025
Gladwin High School,26731.12711,93476.74989,22.2374172,272.173405
Goodrich HS,33688.10354,91639.68415,26.87999538,271.6776456
GR West Catholic,23865.53544,94829.16202,20.10665678,196.8228751
GR West Catholic Youth Field,13310.97006,34313.26332,27.94999335,172.4195117
Grand Blanc,26521.94592,93196.20356,22.15365509,278.4114926
Grand Ledge,28836.44315,79360.87681,26.65171666,283.075122
Grand Ledge Bridge St (u),11531.24658,37085.62343,23.71861162,155.9793113
Grand Ledge Hayes (u),8451.511667,43892.76376,16.14600947,191.4830295
Grand Ledge JV,23246.96814,70056.74482,24.91537303,246.327396
Grand Rapids Kenowa Hills,37757.91941,93309.52246,28.80800821,283.7859971
Gross Pointe North High School,19074.69329,80421.31298,19.17131552,260.6889199
Gross Pointe South,21526.50773,83785.35246,20.440725,311.2254786
Grosse Ile High School,36064.37742,93916.64643,27.74587886,296.2641706
GVSU,35023.93715,102526.6335,25.46258949,319.6795765
Hamtramck Historical,46502.8444,123991.0235,27.27537651,315.84072
Hamtramck Historical Field ,14856.50121,81704.18061,15.38566312,290.2245033
Harbor Springs High School,21382.12284,79731.13343,21.14670581,226.5586871
Harbor Springs Youth ,6824.079779,28912.95463,19.0952604,152.7706742
Harbor Springs Youth ,9684.848296,37083.82606,20.70798121,49.53208887
Haslett High School,30038.89307,86400.49907,25.79787864,0
Holland Christian Baseball Field,32778.54852,95289.03131,25.59472785,277.7256138
Holt High School,38310.32164,95405.74017,28.65050101,300.5553254
Holt HS - Field ,39740.35399,98054.4689,28.84023736,303.1592084
Holton High School,28877.4123,95912.47411,23.14082746,303.5669576
Homer,20835.43301,71859.97834,22.47730789,273.868373
Hope College - Holland,30723.02451,99673.62687,23.56120666,293.3615183
Houghton High School,32578.15335,92793.94522,25.98517032,314.3676536
Howell,21113.74457,92971.30237,18.50702186,273.7274267
Hudson high School,31946.96803,88332.99445,26.56050715,277.4721059
Hudsonville Christian HS,33791.3056,97983.24181,25.64327198,284.9092627
Hudsonville High School,30486.64899,96953.2159,23.92238019,178.5664354
Hudsonville HS - Field ,31074.66908,93415.48669,24.96154727,313.785506
Huron High School,27079.06699,82444.92467,24.7243244,277.1506701
Ionia High School,30676.04206,88463.37391,25.74802118,22.44288795
Ionia Practice Field,29381.09457,81816.82368,26.42234228,249.4064997
Jenison High School,31315.79972,98281.33665,24.16395964,311.5104433
Jimmy Johns Stadium (Utica),35340.2121,95356.13134,27.03993943,274.5654546
Kalamazoo (Growlers),28703.9038,99711.97972,22.35230021,264.3544929
Kalamazoo College,30733.43808,109771.8076,21.8735165,293.1665787
Kalamazoo Hackett Prep High School,21936.92512,87094.98613,20.11972905,288.8054071
Kingston high School,20687.59755,74025.70183,21.84233649,245.7915946
Klenk Park - Alma Scots,35378.68693,109900.7167,24.35216972,292.6131983
Laingsburg HS,28675.73582,98635.21566,22.52417053,283.3288871
Lake Orion,32957.70367,90213.89903,26.7575504,288.3910701
Lansing Catholic,18457.87596,88368.8236,17.27833588,0
Lincoln High - Ypsi - Fields ,28281.89342,91821.74294,23.54790769,321.1575169
Lincoln High - Ypsi - Youth ,9876.709608,31202.95248,24.04282097,196.6720302
Lincoln High - Ypsi - Youth ,9925.255667,31323.83371,24.06175704,201.5040728
Lincoln High School - Ypsilanti,26767.98481,92793.87168,22.38839844,323.7606384
Lincoln HS - Ypsi Field ,28281.89342,91821.74294,23.54790769,321.1575169
Lincoln HS - Ypsi Youth ,9876.709608,31202.95248,24.04282097,196.6720302
Lincoln HS - Ypsi Youth ,9925.255667,31323.83371,24.06175704,201.5040728
Livonia Franklin HS,19946.90059,88016.32906,18.47564273,272.8544637
Marine City Cardinal Mooney Field ,16169.26463,93546.95168,14.73735167,306.0173533
Marion High School,28880.61747,84443.57858,25.48495244,0
Marlette High School,22629.02973,86985.63354,20.64416298,262.5881286
Marsh Field Muskegon,44994.89211,93865.98222,32.40285813,286.8836512
Mason County Central High School,33783.13605,87955.89541,27.75045574,277.879455
Mason High School,24873.84908,96592.16214,20.47803235,0
Mayville High School,17938.26045,81702.59524,18.0029169,263.8350274
Mendon High School,36355.3445,86309.09287,29.63804773,266.2604892
Mendon Youth ,7531.414279,23323.69312,24.4089712,71.792784
Mendon Youth ,8964.333867,32827.46741,21.44998204,166.8922894
Merrill High School,28874.13837,89657.73342,24.35980967,279.2549169
Moose Lodge Field (u),10341.61964,48686.08324,17.51994256,212.3164001
Mt Pleasant HS,28077.42628,94255.09173,22.95172759,267.7967662
Municipal Park,25469.69802,90986.57664,21.87061032,289.6781698
Muskegon Mona Shores,32818.44376,90825.49529,26.5427032,292.9969303
Muskegon Western Michigan Christian,28987.91854,90506.75135,24.25875444,264.6441485
Northville HS,28783.62472,95926.11184,23.08049517,278.9753438
Norway High School,25656.29134,82222.65951,23.78248133,269.7453976
Novi HS,23776.2784,89712.79509,20.95027977,286.6677208
Noway Youth ,17330.03911,64305.32685,21.22859242,246.8802409
Noway Youth ,9686.765435,32295.55336,23.07344071,170.7783031
Noway Youth ,8356.264891,32016.12087,20.69797148,165.2486419
Oakland University,40414.31296,98649.59865,29.06168286,300.0668277
Okemos HS,27678.98939,88218.98884,23.8822021,0
Old College Field,33043.1563,104910.8657,23.95229644,0
Olds Park,22689.71536,104238.8872,17.87596721,0
Onsted,25174.16662,88631.03675,22.12040036,262.0154208
Orchard Lake St Marys,27390.75928,87970.71047,23.74342087,284.2334147
Ovid-Elsie,24768.03934,83750.42763,22.82380136,262.7070585
Owosso HS,20192.80471,79371.66582,20.28113503,264.4072304
Parkway Christian School - Baseball - Sterling Heights,18985.52355,92907.00042,16.96764259,286.8665775
Pelson High School,17057.56619,76325.80545,18.26617083,242.1407407
Pelson HS - Youth ,9639.311631,32049.00412,23.12233406,98.77884842
Pelson HS - Youth ,11164.83847,60612.29331,15.55486851,247.2243344
Petoskey High School,30314.74366,91933.29179,24.79773482,278.5606899
Pewamo-Westphalia,27955.46156,84958.40033,24.75821931,282.7591765
Plymouth-Canton-Salem,30570.45529,92980.97771,24.74310054,264.2150521
Portage Northern High School,24002.98348,89004.59756,21.24015332,274.1414128
Portland High School,39688.11794,88555.37103,30.94747208,272.7657592
Portland St. Pats,34252.43352,129849.2647,20.87268681,281.1200548
Richmond High School,32747.5338,88224.29392,27.07038028,276.4610183
Rochester Adams,29388.40556,93346.11326,23.94469448,282.4055418
Rochester HS,29531.01691,88582.21744,25.00229299,281.1232157
Rockford,33509.41989,99484.0565,25.19628842,288.8637658
Rudyard HS,26169.11202,85298.52172,23.4768705,273.2898019
Saginaw Heritage HS,36530.40683,103302.15,26.12439311,295.3304661
Saginaw Heritage HS - Field ,20533.80242,98696.82566,17.22191919,291.7772294
Saginaw Heritage HS Field ,20533.80242,98696.82566,17.22191919,291.7772294
Saginaw Swan Valley - Youth Field,14395.76682,56176.70076,20.39855954,216.1934004
Saginaw Swan Valley High School,21585.14324,87095.0007,19.86116549,268.1487713
Salem High School,30247.51935,89191.05448,25.32474927,253.8412316
Sanborn Park - Port Huron,18780.66632,95217.74341,16.47449852,317.8119442
Sand Creek High School - Baseball,26365.93595,79294.74098,24.95340435,255.9664071
Sandusky High School,33613.7785,84661.16862,28.42003257,274.2822556
Sexton High School,25173.37985,95742.23743,20.81896484,278.3217643
St Clair HS,31500.85263,87273.27037,26.52164616,280.5774783
St Gerard (Lansing),12688.90346,51029.05453,19.91417154,29.49970941
St Gerard Field ,14288.7059,62521.13835,18.60270131,234.0133088
St Johns High School,37093.80759,96143.76931,27.84034989,279.3221685
Stevenson Lakeshore HS,22071.68153,89254.41749,19.82615193,282.6694696
SV State,39798.7242,106271.0474,27.24637942,296.3357407
Traverse City St Frances,14023.55425,94784.62864,12.88832685,283.7862199
Trenton High School,23233.94686,91703.36302,20.21445158,269.4475302
Turtle Creek Stadium (Traverse City),29642.80901,109821.9297,21.25469799,282.7284109
U of M,19421.18524,100851.2723,16.1476581,272.6133473
Ubly high School,19712.90426,86329.70401,18.58960712,324.2980089
USA - unionville - Youth ,35923.70752,12533.45003,74.13498715,0
USA - Unionville Seabawing - Youth ,8032.990375,40293.7221,16.62225706,187.201708
USA - Unionville Seabawing High School,27687.4472,84001.53422,24.78977501,264.3950086
Waverly High School,31021.2122,88726.0733,25.9055661,0
Wayne State Univ,25322.1833,98360.13592,20.47356765,284.489425
West Bloomfield HS,23398.92395,95260.59986,19.7193813,279.3600872
West Michigan Whitecaps,32999.13707,111689.7795,22.80695568,307.4523596
Westside Park (Lansing),37391.63169,96628.63207,27.89998366,290.0178214
Whaley Park - Flint,37414.10601,112630.9057,24.93525482,321.4368916
Whiteford High School - Ottawa Lake,34576.09398,140217.0687,19.78114787,354.9063807
Whitehall High School,28215.49065,91519.09847,23.565029,279.1624073
Whitmore Lake High School,34917.13505,93541.66532,27.18158269,325.7063589
Whittemore-Prescott High School,16954.53693,82035.26662,17.12755892,268.0747199
Williamston High School,31596.11321,90368.65274,25.90593518,279.2953877
WMU,29814.01369,104839.8485,22.14122433,279.9248121
