,title,link
133,"""High School Leagues & Conferences""",http://www.mhsaa.com/aboutthemhsaa/leaguesconferences.aspx
134,^,#cite_ref-2
135,"""West-Pac Conference""",https://web.archive.org/web/20150301032416/http://www.westpacconference.org/g5-bin/client.cgi?G5genie=384
136,the original,http://www.westpacconference.org/g5-bin/client.cgi?G5genie=384
137,https://en.wikipedia.org/w/index.php?title=List_of_Michigan_High_School_Association_member_conferences&oldid=1105876393,https://en.wikipedia.org/w/index.php?title=List_of_Michigan_High_School_Association_member_conferences&oldid=1105876393
138,Categories,/wiki/Help:Category
139,Michigan high school sports conferences,/wiki/Category:Michigan_high_school_sports_conferences
140,Education in Michigan,/wiki/Category:Education_in_Michigan
141,High school sports associations in the United States,/wiki/Category:High_school_sports_associations_in_the_United_States
142,Michigan sports-related lists,/wiki/Category:Michigan_sports-related_lists
143,Articles with short description,/wiki/Category:Articles_with_short_description
144,Short description is different from Wikidata,/wiki/Category:Short_description_is_different_from_Wikidata
145,Articles needing additional references from March 2015,/wiki/Category:Articles_needing_additional_references_from_March_2015
146,All articles needing additional references,/wiki/Category:All_articles_needing_additional_references
