Division,Host,Location,District,closest_park_1,closest_park_2,closest_park_3,location1,location2,location3
4,Kingston,"http://maps.google.com/maps?q=Kingston High School - Baseball, 5970 State St  Kingston, MI 48741",122,Kingston HS,,,Kingston HS,Kingston high School,Marlette High School
2,Kingsley,"http://maps.google.com/maps?q=Kingsley Athletic Complex, S. Clark St  Kingsley, MI ",35,Kingsley HS,,,Kingsley HS,Buckley HS,Traverse City Christian HS
3,Houghton Lake,"http://maps.google.com/maps?q=Houghton Lake High School, 4433 W Houghton Lake Dr  Houghton Lake, MI 48629-9786",68,Houghton High School,,,Roscommon HS,Harrison HS,Lake City HS
4,Hillman,"http://maps.google.com/maps?q=Hillman H.S. - Baseball,   Hillman, MI ",103,Hillman HS,,,Hillman HS,Atlanta HS,Posen HS
3,Hemlock,"http://maps.google.com/maps?q=Hemlock HS Baseball Field, 733 Hemlock Rd.   , MI ",77,Hemlock HS,,,Hemlock HS,Saginaw Swan Valley -Field  ,Saginaw Swan Valley High School
2,Hazel Park,"http://maps.google.com/maps?q=Hazel Park High School, 23400 Hughes Ave.  Hazel Park, MI 48030-1595",57,Hazel Park HS,,,Hazel Park HS,Warren Fitzgerald HS,Warren Mott HS
3,Hart,"http://maps.google.com/maps?q=Hart Baseball Field, 300 West Johnson Street  Hart, MI ",69,Hart HS,,,Hart HS,Shelby HS,Mason County Central High School
4,Harbor Springs,"http://maps.google.com/maps?q=Kosequat Field,   , MI ",100,Harbor Springs High School,,,Harbor Springs High School,Harbor Springs2,Harbor Springs1
4,Harbor Beach,"http://maps.google.com/maps?q=Harbor Beach HS, 402 S Fifth  Harbor Beach, MI 48441",121,Harbor Beach HS,,,Harbor Beach HS,Ubly high School,Bad Axe HS
3,Hanover-Horton,"http://maps.google.com/maps?q=Hanover-Horton High School - Baseball,   Horton, MI ",83,Hanover-Horton HS,,,Hanover-Horton HS,Concord High School,Jackson Lumen Christi HS
2,Hamilton,"http://maps.google.com/maps?q=Hamilton HS, 4911 136th Ave  Hamilton, MI 49419",43,Hamilton HS,,,Hamilton HS - Field 2,Hamilton HS,Fennville HS
2,Grosse Pointe Woods University Liggett,"http://maps.google.com/maps?q=University Liggett School - Baseball, 1045 Cook Rd  Grosse Pointe Woods, MI 48236, MI ",56,Grosse Pointe Woods University Liggett School,,,Grosse Pointe Woods University Liggett School,Gross Pointe North High School,Detroit East English HS
1,Grosse Pointe North,"http://maps.google.com/maps?q=Grosse Pointe North, 707 Vernier  Grosse Pointe, MI 48236",20,Gross Pointe North High School,,,Gross Pointe North High School,,
1,Grandville,"http://maps.google.com/maps?q=Grandville High School - Baseball, 4700 Canal SW  Grandville, MI ",5,Greenville HS,,,Grandville Calvin Christian HS,Hudsonville Christian HS,
3,Grass Lake,"http://maps.google.com/maps?q=Grass Lake High School  - Baseball, 11500 Warrior Trial   Grass Lake , MI ",85,Grass Lake HS,,,Grass Lake HS,Napoleon HS,Michigan Center HS
3,Grandville Calvin Christian,"http://maps.google.com/maps?q=Calvin Christian HS - Baseball, 3750 Ivanrest  Grandville, MI ",75,Grandville Calvin Christian HS,,,Grandville Calvin Christian HS,Wyoming Godwin Heights HS,Grand Rapids Covenant Christian HS
1,Grand Rapids Forest Hills Northern,"http://maps.google.com/maps?q=FHN Stadium - Baseball, 3801 Leonard NE  Grand Rapids, MI ",4,Grand Rapids Forest Hills Northern HS,,,,Grand Rapids Forest Hills Northern HS,
2,Grand Rapids Catholic Central,"http://maps.google.com/maps?q=Grand Rapids Catholic Central, 319 Sheldon Blvd., SE  Grand Rapids, MI 49503",42,Grand Rapids Catholic Central HS,,,Grand Rapids Union HS,East Grand Rapids HS,Grand Rapids Ottawa Hills HS
3,Grand Rapids West Catholic,"http://maps.google.com/maps?q=Grand Rapids West Catholic High School, 1801 Bristol Avenue  Grand Rapids, Mi 49504",80,GR West Catholic HS,,,GR West CatholicField,GR West Catholic HS,Grand Rapids Union HS
2,Goodrich,"http://maps.google.com/maps?q=Goodrich High School - Baseball, 8029 S. Gale  Goodrich, MI ",60,Goodrich HS,,,Goodrich HS,Grand Blanc HS,Burton Atherton HS
3,Gladstone,"http://maps.google.com/maps?q=Gladstone Sports Park, North Bluff Drive  Gladstone, MI ",66,Gladstone_,,,Gladstone High School,Gladstone_,Escanaba HS
4,Genesee,"http://maps.google.com/maps?q=Genesee, 7347 N Genesee Rd  Genesee, MI 48437",124,Genesee HS,,,Genesee HS,Flint Kearsley HS - Field 2,Flint Kearsley HS
2,Gaylord,"http://maps.google.com/maps?q=Gaylord Varsity Baseball Field, 90 Livingston Blvd  Gaylord, MI 49735",34,Gaylord HS,,,Gaylord HS,Johannesburg-Lewiston HS,Boyne City HS
3,Galesburg-Augusta,,74,Galesburg-Augusta HS,,,Unknown,Unknown,Unknown
4,Riverview Gabriel Richard,"http://maps.google.com/maps?q=Gabriel Richard HS - Softball, 15325 Pennsylvania Rd  Riverview, MI ",127,Gabriel Richard HS,,,Gabriel Richard HS,Riverview HS,Trenton High School
2,Fowlerville,"http://maps.google.com/maps?q=Gehringer Field - Baseball, 7677 Sharp Road  Fowlerville, MI ",61,Fowlerville HS,,,Fowlerville HS,Webberville HS,Howell High School
4,Fowler,"http://maps.google.com/maps?q=Fowler High School, 700 S Main  Fowler, MI 48835",111,Fowler HS,,,Fowler HS,Pewamo-Westphalia HS,St Johns High School
1,Flushing,"http://maps.google.com/maps?q=Flushing High School - Baseball, 5039 Deland Rd  Flushing, MI ",32,Flushing HS,,,Flushing JV/,Flushing HS,Flint Carman-Ainsworth HS
4,Frankfort,"http://maps.google.com/maps?q=Lockhart Field, 534 11th Street  Frankfort, MI ",105,Fankfort HS,Frankfort-Elberta Area HS,,Frankfort-Elberta Area HS,Fankfort HS,Benzie Central HS
2,Escanaba,"http://maps.google.com/maps?q=Al Ness Field, 18th ave.   Escanaba , MI ",33,Escanaba HS,,,Escanaba HS,Gladstone High School,Gladstone_
3,Ecorse,"http://maps.google.com/maps?q=Ecorse High School, 27225 W Outer Drive  Ecorse, MI 48229",90,Ecorse High School,,,Ecorse High School,Lincoln Park HS,Melvindale HS
3,Durand,"http://maps.google.com/maps?q=Durand High School - Baseball, 9575 E. Monroe Rd.  Durand, MI ",78,Durand HS,,,Durand HS,Swartz Creek HS,Corunna HS
1,DeWitt,"http://maps.google.com/maps?q=DeWitt High School, 2957 West Herbison Road  DeWitt, MI 48820",9,Dewitt High School,,,Dewitt High School,,
