teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Midland,6,2.3333333333333335,2.5,14.0,6,2.6666666666666665,1.5,16.0,1.0,5.0,0.8333333333333334,-2.0,-0.33333333333333304,36,7.583333333333333,7.5,273.0,36,3.611111111111111,3.0,130.0,11.0,4.0,25.0,0.6944444444444444,143.0,3.972222222222222,20.0,8.8,8.5,176.0,20.0,3.05,2.5,61.0,3.0,2.0,17.0,0.85,115.0,5.750000000000001,16.0,6.0625,4.5,97.0,16.0,4.3125,4.5,69.0,8.0,2.0,8.0,0.5,28.0,1.75
Midland Bullock Creek,2,2.5,2.5,5.0,2,2.5,2.5,5.0,1.0,1.0,0.5,0.0,0.0,6,5.5,5.5,33.0,6,5.0,4.5,30.0,2.0,15.0,4.0,0.6666666666666666,3.0,0.5,2.0,9.0,9.0,18.0,2.0,5.5,5.5,11.0,0.0,9.0,2.0,1.0,7.0,3.5,4.0,3.75,3.0,15.0,4.0,4.75,4.0,19.0,2.0,6.0,2.0,0.5,-4.0,-1.0
Midland Dow,1,6.0,6.0,6.0,1,7.0,7.0,7.0,1.0,0.0,0.0,-1.0,-1.0,14,8.071428571428571,7.5,113.0,14,6.0,5.5,84.0,7.0,16.0,7.0,0.5,29.0,2.071428571428571,11.0,8.636363636363637,8.0,95.0,11.0,5.454545454545454,5.0,60.0,5.0,11.0,6.0,0.5454545454545454,35.0,3.1818181818181825,3.0,6.0,5.0,18.0,3.0,8.0,7.0,24.0,2.0,5.0,1.0,0.3333333333333333,-6.0,-2.0
Milan,1,1.0,1.0,1.0,1,5.0,5.0,5.0,1.0,0.0,0.0,-4.0,-4.0,19,6.105263157894737,5.0,116.0,19,3.6315789473684212,4.0,69.0,7.0,13.0,12.0,0.631578947368421,47.0,2.473684210526316,9.0,5.777777777777778,5.0,52.0,9.0,4.0,4.0,36.0,3.0,5.0,6.0,0.6666666666666666,16.0,1.7777777777777777,10.0,6.4,6.0,64.0,10.0,3.3,3.5,33.0,4.0,8.0,6.0,0.6,31.0,3.1000000000000005
Milford,2,3.5,3.5,7.0,2,4.0,4.0,8.0,1.0,1.0,0.5,-1.0,-0.5,9,5.111111111111111,5.0,46.0,9,6.222222222222222,6.0,56.0,5.0,27.0,4.0,0.4444444444444444,-10.0,-1.1111111111111116,3.0,3.6666666666666665,2.0,11.0,3.0,5.0,3.0,15.0,1.0,13.0,2.0,0.6666666666666666,-4.0,-1.3333333333333335,6.0,5.833333333333333,5.0,35.0,6.0,6.833333333333333,6.5,41.0,4.0,14.0,2.0,0.3333333333333333,-6.0,-1.0
Millington,1,7.0,7.0,7.0,1,10.0,10.0,10.0,1.0,0.0,0.0,-3.0,-3.0,24,6.291666666666667,5.0,151.0,24,7.375,6.0,177.0,14.0,3.0,10.0,0.4166666666666667,-26.0,-1.083333333333333,14.0,7.071428571428571,5.0,99.0,14.0,5.428571428571429,4.0,76.0,6.0,2.0,8.0,0.5714285714285714,23.0,1.6428571428571423,10.0,5.2,4.5,52.0,10.0,10.1,10.5,101.0,8.0,1.0,2.0,0.2,-49.0,-4.8999999999999995
Mio,6,7.666666666666667,10.0,46.0,6,6.666666666666667,6.0,40.0,2.0,4.0,0.6666666666666666,6.0,1.0,40,5.2,5.0,208.0,40,3.45,3.0,138.0,12.0,18.0,28.0,0.7,70.0,1.75,12.0,5.166666666666667,5.0,62.0,12.0,4.333333333333333,5.0,52.0,6.0,6.0,6.0,0.5,10.0,0.8333333333333339,28.0,5.214285714285714,4.0,146.0,28.0,3.0714285714285716,3.0,86.0,6.0,12.0,22.0,0.7857142857142857,60.0,2.142857142857143
Monroe,2,3.5,3.5,7.0,2,3.5,3.5,7.0,1.0,1.0,0.5,0.0,0.0,3,3.0,3.0,9.0,3,12.333333333333334,12.0,37.0,3.0,35.0,0.0,0.0,-28.0,-9.333333333333334,2.0,3.0,3.0,6.0,2.0,12.0,12.0,24.0,2.0,18.0,0.0,0.0,-18.0,-9.0,1.0,3.0,3.0,3.0,1.0,13.0,13.0,13.0,1.0,17.0,0.0,0.0,-10.0,-10.0
Monroe Jefferson,1,2.0,2.0,2.0,1,3.0,3.0,3.0,1.0,0.0,0.0,-1.0,-1.0,8,2.625,2.0,21.0,8,7.125,6.0,57.0,6.0,34.0,2.0,0.25,-36.0,-4.5,5.0,3.2,2.0,16.0,5.0,3.6,3.0,18.0,3.0,19.0,2.0,0.4,-2.0,-0.3999999999999999,3.0,1.6666666666666667,0.0,5.0,3.0,13.0,14.0,39.0,3.0,15.0,0.0,0.0,-34.0,-11.333333333333334
Monroe St Mary Catholic Central,1,1.0,1.0,1.0,1,4.0,4.0,4.0,1.0,0.0,0.0,-3.0,-3.0,2,7.5,7.5,15.0,2,0.5,0.5,1.0,0.0,23.0,2.0,1.0,14.0,7.0,1.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,4.0,4.0,1.0,11.0,11.0,11.0,1.0,1.0,1.0,1.0,0.0,11.0,1.0,1.0,10.0,10.0
Montague,5,7.4,7.0,37.0,5,2.8,1.0,14.0,1.0,4.0,0.8,23.0,4.6000000000000005,32,8.3125,8.0,266.0,32,4.96875,5.0,159.0,12.0,11.0,20.0,0.625,107.0,3.34375,22.0,8.681818181818182,8.5,191.0,22.0,5.909090909090909,5.5,130.0,9.0,6.0,13.0,0.5909090909090909,61.0,2.7727272727272725,10.0,7.5,6.5,75.0,10.0,2.9,2.0,29.0,3.0,5.0,7.0,0.7,46.0,4.6
Montrose,2,5.5,5.5,11.0,2,8.5,8.5,17.0,1.0,1.0,0.5,-6.0,-3.0,7,4.857142857142857,3.0,34.0,7,8.0,8.0,56.0,6.0,10.0,1.0,0.14285714285714285,-22.0,-3.1428571428571432,2.0,1.5,1.5,3.0,2.0,9.0,9.0,18.0,2.0,7.0,0.0,0.0,-15.0,-7.5,5.0,6.2,4.0,31.0,5.0,7.6,6.0,38.0,4.0,3.0,1.0,0.2,-7.0,-1.3999999999999995
Morenci,1,5.0,5.0,5.0,1,8.0,8.0,8.0,1.0,0.0,0.0,-3.0,-3.0,5,2.8,1.0,14.0,5,13.2,11.0,66.0,5.0,20.0,0.0,0.0,-52.0,-10.399999999999999,5.0,2.8,1.0,14.0,5.0,13.2,11.0,66.0,5.0,11.0,0.0,0.0,-52.0,-10.399999999999999,0.0,,,0.0,0.0,,,0.0,0.0,9.0,0.0,,0.0,
