school,record,wins,losses,ties,match,id
Detroit Martin Luther King,1-2,1,2,,Detroit - Martin Luther King HS,6147
Grosse Ile,10-4,10,4,,Grosse Ile HS,1528
Riverview,3-4,3,4,,Riverview Community HS,7847
Harper Woods,11-10,11,10,,Harper Woods HS,6072
Detroit East English,9-4-1,9,4,1,Detroit - East English Village Preparatory Acad,1032
Harper Woods Chandler Park,1-8,1,8,,Harper Woods - Chandler Park Academy,1218
Detroit Henry Ford,0-3,0,3,,Detroit - Henry Ford HS,4992
Livonia Clarenceville,5-12,5,12,,Livonia - Clarenceville HS,5396
Detroit Communication Media Arts,9-4-1,9,4,1,Detroit - Communication Media Arts HS,9145
Redford Union,2-7,2,7,,Redford Union HS,2047
Detroit University Prep,4-4,4,4,,Detroit - University Prep Academy,4488
Detroit Mumford,0-5,0,5,,Detroit - Mumford HS,1494
Hazel Park,13-10,13,10,,Hazel Park HS,2468
Warren Fitzgerald,4-5,4,5,,Warren - Fitzgerald HS,1370
Romulus Summit Academy North,13-7,13,7,,Romulus - Summit Academy North,1181
Monroe Jefferson,7-4,7,4,,Monroe HS,3730
Flat Rock,2-7,2,7,,Flat Rock HS,4943
New Boston Huron,18-4,18,4,,New Boston - Huron HS,1916
Carleton Airport,3-5,3,5,,Carleton - Airport HS,4654
Dearborn Divine Child,20-8,20,8,,Dearborn - Divine Child HS,4200
Dearborn Henry Ford Academy,8-4,8,4,,Dearborn - Henry Ford Academy,9887
Dearborn Heights Annapolis,7-5,7,5,,Dearborn Heights - Annapolis HS,6205
Garden City,19-7,19,7,,Garden City HS,7657
South Haven,2-13,2,13,,South Haven HS,6782
Hamilton,8-6,8,6,,Hamilton HS,1412
Holland Christian,1-6,1,6,,Holland Christian HS,6634
Zeeland East,9-3-1,9,3,1,Zeeland East HS,3813
Hudsonville Unity Christian,4-2,4,2,,Hudsonville - Unity Christian HS,3904
Wyoming Godwin Heights,0-10,0,10,,Wyoming - Godwin Heights HS,8110
Grand Rapids Catholic Central,22-11,22,11,,Grand Rapids - Catholic Central HS,6238
Wyoming Kelloggsville,2-5,2,5,,Wyoming - Kelloggsville HS,2831
Battle Creek Harper Creek,10-12-2,10,12,2,Battle Creek - Harper Creek HS,7483
Olivet,12-3,12,3,,Olivet HS,6436
Richland Gull Lake,0-8,0,8,,Richland - Gull Lake HS,5297
Marshall,3-2-1,3,2,1,Marshall HS,7855
Battle Creek Pennfield,1-8,1,8,,Battle Creek - Pennfield HS,2716
Lake Odessa Lakewood,14-17-1,14,17,1,Lake Odessa - Lakewood HS,5801
Charlotte,19-13,19,13,,Charlotte HS,3516
Lansing Sexton,0-8,0,8,,Lansing - JW Sexton HS,7830
Eaton Rapids,22-6,22,6,,Eaton Rapids HS,3978
Lansing Eastern,0-8,0,8,,Lansing - Eastern HS,2765
Berrien Springs,14-9,14,9,,Berrien Springs HS,1346
Niles,5-17-1,5,17,1,Niles HS,1486
Dowagiac,4-3-1,4,3,1,Dowagiac Union HS,4365
Stevensville Lakeshore,9-4,9,4,,Stevensville - Lakeshore HS,5875
Edwardsburg,22-6,22,6,,Edwardsburg HS,4175
Vicksburg,9-2,9,2,,Vicksburg HS,1610
Plainwell,4-2,4,2,,Plainwell HS,7211
Three Rivers,1-7,1,7,,Three Rivers HS,4134
Parchment,23-7,23,7,,Parchment HS,6535
Paw Paw,4-4,4,4,,Paw Paw HS,1255
Otsego,5-4,5,4,,Otsego HS,4984
Allegan,0-9,0,9,,Allegan HS,2261
Wayland,5-9,5,9,,Wayland Union HS,8036
Hopkins,2-12,2,12,,Hopkins HS,4844
Grand Rapids South Christian,5-10,5,10,,Grand Rapids Christian HS,7062
Grand Rapids West Michigan Aviation Academy,6-6,6,6,,Grand Rapids - West Michigan Aviation Academy,1061
East Grand Rapids,5-7,5,7,,East Grand Rapids HS,7946
Hastings,2-2,2,2,,Hastings HS,2410
Grand Rapids Christian,17-7,17,7,,Grand Rapids Christian HS,7062
Middleville Thornapple Kellogg,7-22,7,22,,Middleville - Thornapple Kellogg HS,5388
Sault Ste Marie,7-7,7,7,,Sault Ste Marie - Sault Area HS,8028
Kingsford,1-3,1,3,,Kingsford HS,3425
Escanaba,25-9,25,9,,Escanaba HS,2550
Marquette,1-5,1,5,,Marquette HS,2690
Cheboygan,9-4,9,4,,Cheboygan Area HS,4150
Kingsley,4-3-1,4,3,1,Kingsley Area HS,1305
Gaylord,2-5,2,5,,Gaylord HS,3284
Ogemaw Heights,19-14,19,14,,West Branch - Ogemaw Heights HS,2971
Cadillac,2-6,2,6,,Cadillac HS,2914
Petoskey,8-2,8,2,,Petoskey HS,3136
Coopersville,14-16,14,16,,Coopersville HS,2781
Sparta,3-4,3,4,,Sparta HS,5974
Grand Rapids West Catholic,10-3,10,3,,Grand Rapids - West Catholic HS,5826
Comstock Park,11-11,11,11,,Comstock Park HS,2006
Allendale,7-4,7,4,,Allendale HS,5248
Portland,12-5,12,5,,Portland HS,7104
Ionia,5-6-3,5,6,3,Ionia HS,4068
St Johns,11-4,11,4,,St Johns HS,3623
Belding,1-8,1,8,,Belding Area HS,4902
Ada Forest Hills Eastern,32-1,32,1,,Ada - Forest Hills Eastern HS,4506
Muskegon Orchard View,3-10,3,10,,Muskegon - Orchard View HS,5181
Whitehall,6-8,6,8,,Whitehall HS,4340
Spring Lake,2-3,2,3,,Spring Lake HS,4687
Fruitport,7-3,7,3,,Fruitport HS,6683
Muskegon Oakridge,4-7,4,7,,Muskegon - Oakridge HS,4415
Fremont,4-7-1,4,7,1,Fremont HS,2518
Alma,7-7,7,7,,Alma HS,2303
Grant,1-6,1,6,,Grant HS,7756
Newaygo,8-10,8,10,,Newaygo HS,5867
Howard City Tri County,5-9,5,9,,Howard City - Tri County Area HS,6337
Big Rapids,16-15,16,15,,Big Rapids HS,1602
Clare,5-4,5,4,,Clare HS,3788
Gladwin,2-2,2,2,,Gladwin HS,2253
Ludington,12-5,12,5,,Ludington HS,2798
Remus Chippewa Hills,0-7,0,7,,Remus - Chippewa Hills HS,3887
Freeland,24-5,24,5,,Freeland HS,7590
Midland Bullock Creek,13-1,13,1,,Midland - Bullock Creek HS,8143
Essexville Garber,29-7,29,7,,Essexville - Garber HS,6106
Shepherd,3-5,3,5,,Shepherd HS,1057
Bay City John Glenn,25-9-1,25,9,1,Bay City - John Glenn HS,1247
Madison Heights Lamphere,9-4,9,4,,Madison Heights - Lamphere HS,4191
Pontiac Notre Dame Prep,3-6,3,6,,Pontiac - Notre Dame Preparatory School,9213
Bloomfield Hills Cranbrook Kingswood,8-10,8,10,,Bloomfield Hills - Cranbrook Kingswood HS,7203
Detroit Country Day,9-5,9,5,,Beverly Hills - Detroit Country Day HS,4092
Center Line,4-6,4,6,,Center Line HS,6411
