field,level,foul_ft,fop_ft,foul_pct,h_lon,h_lat,match,school_id
Brooklyn Columbia Central HS,high_school,28721.0,79617.0,26.51,-84.28050182046512,42.08744943886004,Brooklyn - Columbia Central HS,1453.0
Brownstone Woodhaven HS,high_school,35410.0,85450.0,29.3,-83.26982889999999,42.121292,Brownstown Township - Woodhaven HS,4662.0
Buchanan HS,high_school,22660.0,88476.0,20.39,-86.37097850000001,41.8239409,Buchanan HS,6650.0
Bullock Creek HS - Midland,high_school,29073.0,99260.0,22.65,-84.29441850000001,43.5717901,Midland HS,5990.0
Cadillac HS,high_school,30056.0,99601.0,23.18,-85.41243659808052,44.25171036778424,Cadillac HS,2914.0
Calumet HS,high_school,31476.0,84566.0,27.12,-88.4150098185453,47.27486620144298,Calumet HS,7293.0
Camden-Frontier HS,high_school,30123.0,76954.0,28.13,-84.7066398,41.7801468,Camden-Frontier HS,5768.0
Canton HS,high_school,34876.0,95041.0,26.84,-83.49149558809128,42.34417276686442,Canton - Salem HS,3747.0
Carleton Airport HS,high_school,21262.0,88074.0,19.45,-83.37652180000001,42.0373919,Carleton - Airport HS,4654.0
Central Lake HS,high_school,17407.0,75523.0,18.73,-85.26909015052674,45.0671292656414,Walled Lake Central HS,5082.0
Centreville HS,high_school,30617.0,92985.0,24.77,-85.5231062,41.9149684,Centreville HS,1676.0
Charlotte HS,high_school,35679.0,83501.0,29.94,-84.85511649999999,42.5604691,Charlotte HS,3516.0
Charlotte HS,high_school,36168.0,81966.0,30.62,-84.85512254479295,42.56047812125827,Charlotte HS,3516.0
Cheboygan HS,high_school,28930.0,94239.0,23.49,-84.49712839999999,45.6300425,Cheboygan Area HS,4150.0
Chesaning Union HS,high_school,42709.0,93437.0,31.37,-84.1253816,43.1946837,Chesaning HS,1767.0
Chesaning Union HS - Field 2,high_school,34692.0,83266.0,29.41,-84.1254496,43.1935652,Chesaning HS,1767.0
Clare HS,high_school,19721.0,93774.0,17.38,-84.7809457,43.8248348,Clare HS,3788.0
Clinton HS,high_school,23742.0,91577.0,20.59,-83.9647212,42.0745982,Clinton Township - Chippewa Valley HS,1874.0
Concord HS,high_school,18588.0,82374.0,18.41,-84.6411052,42.1722524,Concord HS,6353.0
Cranbrook HS,high_school,33362.0,84811.0,28.23,-83.25467329999999,42.5730964,Bloomfield Hills - Cranbrook Kingswood HS,7203.0
Croswell-Lexington HS,high_school,21506.0,86257.0,19.96,-82.59978014628501,43.26746068076477,Croswell-Lexington HS,1841.0
Dansville HS,high_school,38155.0,101273.0,27.37,-84.30747119999999,42.5514233,Dansville HS,5132.0
Decatur HS,high_school,18841.0,93431.0,16.78,-85.9816872,42.1120337,Decatur HS,2311.0
Deckerville HS,high_school,33690.0,80382.0,29.53,-82.7305137,43.530507,Deckerville Community HS,3417.0
Detroit Catholic Central HS,high_school,18311.0,96537.0,15.94,-83.54344949999999,42.488053,Novi - Detroit Catholic Central HS,4638.0
Detroit Catholic Central HS - Field 2,high_school,33484.0,90188.0,27.07,-83.5440067,42.4880269,Detroit Central HS,4811.0
Detroit Country Day HS,high_school,17029.0,91589.0,15.68,-83.2646187,42.513942,Beverly Hills - Detroit Country Day HS,4092.0
Dewitt HS,high_school,20441.0,84827.0,19.42,-84.58102770000001,42.8262729,DeWitt HS,1354.0
Durand HS,high_school,23148.0,87193.0,20.98,-83.9828502156856,42.91682555729714,Durand Area HS,5165.0
East Lansing HS,high_school,27525.0,90686.0,23.28,-84.4566176,42.7411198,East Lansing HS,3920.0
Eaton Rapid HS Field 2,high_school,34107.0,85396.0,28.54,-84.6350135,42.5110331,Eaton Rapids HS,3978.0
Eaton Rapids HS,high_school,37223.0,101498.0,26.83,-84.63514499999999,42.5118192,Eaton Rapids HS,3978.0
Ecorse HS,high_school,29411.0,78788.0,27.18,-83.149694,42.2528271,Ecorse HS,1932.0
Edwardsburg HS,high_school,30166.0,85216.0,26.14,-86.091742,41.7896252,Edwardsburg HS,4175.0
Essexville Garber HS,high_school,25204.0,91284.0,21.64,-83.8341762,43.6056341,Essexville - Garber HS,6106.0
Fankfort HS,high_school,25913.0,89205.0,22.51,-86.22585100000001,44.634408,Frankfort HS,7558.0
Fife Lake Forest Area HS,high_school,27263.0,79750.0,25.48,-85.30838559999999,44.6036765,Fife Lake - Forest Area HS,5512.0
Flint Powers Catholic HS,high_school,28677.0,97181.0,22.79,-83.70554999987414,43.00256210626836,Flint - Powers Catholic HS,2484.0
Forrest Hills Eastern HS,high_school,34528.0,98244.0,26.01,-85.5286469,43.0058274,Ada - Forest Hills Eastern HS,4506.0
Fowlerville HS,high_school,19823.0,94791.0,17.3,-84.0655802,42.6688057,Fowlerville HS,7343.0
Gabriel Richard HS,high_school,22712.0,92645.0,19.69,-83.2089242,42.1817944,Ann Arbor - Father Gabriel Richard HS,8184.0
Garber HS Essexville,high_school,25668.0,91404.0,21.92,-83.8341769,43.6056339,Essexville - Garber HS,6106.0
Gaylord HS,high_school,40051.0,102110.0,28.17,-84.66759300789242,45.04792894167389,Gaylord HS,3284.0
Genesee HS,high_school,27821.0,81351.0,25.48,-83.620487946976,43.11649557377643,Genesee HS,5677.0
Gladstone HS,high_school,22978.0,84312.0,21.42,-87.03889359999999,45.85971000000001,Gladstone HS,6130.0
Gladwin HS,high_school,26731.0,93477.0,22.24,-84.4919148,43.9902464,Gladwin HS,2253.0
Gladwin HS,high_school,27688.0,92130.0,23.11,-84.49190674871771,43.99023645826442,Gladwin HS,2253.0
Goodrich HS,high_school,33688.0,91640.0,26.88,-83.52947949999999,42.9168576,Goodrich HS,8192.0
GR West Catholic HS,high_school,23866.0,94829.0,20.11,-85.712159,42.9943182,Grand Rapids - West Catholic HS,5826.0
Grand Blanc HS,high_school,26522.0,93196.0,22.15,-83.6283145,42.9187188,Grand Blanc HS,2237.0
Grand Ledge HS,high_school,28836.0,79361.0,26.65,-84.75398939999999,42.7472938,Grand Ledge HS,6213.0
Grand Rapids Catholic Central HS,high_school,24269.0,96609.0,20.08,-85.60317574198432,42.99578173128182,Grand Rapids - Catholic Central HS,6238.0
Grand Rapids South Christian HS,high_school,29155.0,100942.0,22.41,-85.62765071627372,42.81677161100501,Grand Rapids Christian HS,7062.0
Grand Rapids South Christian HS - Field 2,high_school,28258.0,101515.0,21.77,-85.62944010404333,42.81675519868553,Grand Rapids Christian HS,7062.0
Grass Lake HS,high_school,28377.0,102503.0,21.68,-84.20108062174253,42.24430486649585,Grass Lake HS,4431.0
Gross Pointe North HS,high_school,19075.0,80421.0,19.17,-82.8911176,42.4379668,Grosse Pointe North HS,7822.0
Gross Pointe South HS,high_school,21527.0,83785.0,20.44,-82.9025228,42.3918844,Grosse Pointe North HS,7822.0
Grosse Ile HS,high_school,36064.0,93917.0,27.75,-83.1458188,42.1340427,Grosse Ile HS,1528.0
Hamtramck HS,high_school,14857.0,81704.0,15.39,-83.0476997,42.3930022,Hamtramck HS,5925.0
Hancock HS,high_school,34261.0,89051.0,27.78,-88.608008,47.13566610000001,Hancock HS,3441.0
Harbor Springs HS,high_school,21382.0,79731.0,21.15,-84.9734496,45.434179,Harbor Springs HS,5520.0
Harper Woods HS,high_school,9428.0,27097.0,25.81,-82.93719692624518,42.44415185506708,Harper Woods HS,6072.0
Harper Woods HS-practice,high_school,8375.0,26945.0,23.71,-82.93644861967825,42.44318825568908,Harper Woods HS,6072.0
Haslett HS,high_school,31262.0,86208.0,26.61,-84.405957,42.7419779,Haslett HS,2278.0
Hemlock HS,high_school,24830.0,87160.0,22.17,-84.2333581,43.4238904,Hemlock HS,6568.0
