Unnamed: 0,field,level_x,foul_ft,fop_ft,foul_pct,h_lat,h_long,match,school_id,school_name,students,enrollment,division,level_y,level,h_lon
107.0,Ionia High School,high_school,30676.0,88463.0,25.75,-85.0645777,42.9523427,Ionia HS,4068.0,Ionia HS,826.0,826.0,B,high_school,,
108.0,Ionia Practice Field,high_school,29381.0,81817.0,26.42,-85.0646534,42.9533573,Ionia HS,4068.0,Ionia HS,826.0,826.0,B,high_school,,
109.0,Jackson Lumen Christi HS,high_school,20498.0,92032.0,18.22,-84.4602665,42.2219816,Jackson - Lumen Christi HS,3482.0,Jackson - Lumen Christi HS,310.0,310.0,C,high_school,,
110.0,Jenison High School,high_school,31316.0,98281.0,24.16,-85.837665,42.917629,Jenison HS,3607.0,Jenison HS,1508.0,1508.0,A,high_school,,
113.0,Kalamazoo Christian high school,high_school,23934.0,92206.0,20.61,-85.6134503,42.273406,Kalamazoo Christian HS,2591.0,Kalamazoo Christian HS,239.0,239.0,C,high_school,,
115.0,Kalamazoo Hackett Prep High School,high_school,21937.0,87095.0,20.12,-85.5965558,42.2474483,Kalamazoo - Hackett Catholic Prep,4720.0,Kalamazoo - Hackett Catholic Prep,235.0,235.0,C,high_school,,
116.0,Kingston high School,high_school,20688.0,74026.0,21.84,-83.1919884,43.4105296,Kingston HS,3045.0,Kingston HS,203.0,203.0,C,high_school,,
118.0,Laingsburg HS,high_school,28676.0,98635.0,22.52,-84.342751,42.878632,Laingsburg HS,1338.0,Laingsburg HS,371.0,371.0,C,high_school,,
119.0,Lake Orion HS,high_school,32958.0,90214.0,26.76,-83.2369353,42.7539465,Lake Orion HS,3953.0,Lake Orion HS,2309.0,2309.0,A,high_school,,
120.0,Lansing Catholic HS,high_school,18458.0,88369.0,17.28,-84.5276463,42.7374459,Lansing Catholic HS,2435.0,Lansing Catholic HS,439.0,439.0,B,high_school,,
121.0,Lincoln High School - Ypsi - Fields 2,high_school,28282.0,91822.0,23.55,-83.6146378,42.1604794,Ypsilanti - Lincoln HS,6477.0,Ypsilanti - Lincoln HS,1247.0,1247.0,A,high_school,,
124.0,Lincoln High School - Ypsilanti,high_school,26768.0,92794.0,22.39,-83.6146339,42.1610319,Ypsilanti - Lincoln HS,6477.0,Ypsilanti - Lincoln HS,1247.0,1247.0,A,high_school,,
125.0,Livonia Franklin HS,high_school,19947.0,88016.0,18.48,-83.3473911,42.356909,Livonia - Franklin HS,3508.0,Livonia - Franklin HS,1379.0,1379.0,A,high_school,,
126.0,Marine City Cardinal Mooney Field 2,high_school,16169.0,93547.0,14.74,-82.8879871,42.5368865,Marine City - Cardinal Mooney Catholic HS,3961.0,Marine City - Cardinal Mooney Catholic HS,156.0,156.0,D,high_school,,
127.0,Marine City Cardinal Mooney HS,high_school,35258.0,89229.0,28.32,-82.8877279,42.5352846,Marine City - Cardinal Mooney Catholic HS,3961.0,Marine City - Cardinal Mooney Catholic HS,156.0,156.0,D,high_school,,
128.0,Marion High School,high_school,28881.0,84444.0,25.49,-85.130365,44.1000449,Marion HS,4877.0,Marion HS,148.0,148.0,D,high_school,,
129.0,Marlette High School,high_school,22629.0,86986.0,20.64,-83.070928,43.3238064,Marlette HS,7054.0,Marlette HS,229.0,229.0,C,high_school,,
131.0,Mason County Central High School,high_school,33783.0,87956.0,27.75,-86.2891178,43.9590923,Scottville - Mason County Central HS,1503.0,Scottville - Mason County Central HS,360.0,360.0,C,high_school,,
132.0,Mason High School,high_school,24874.0,96592.0,20.48,-84.4345611,42.570571,Mason HS,2138.0,Mason HS,955.0,955.0,A,high_school,,
133.0,Mayville High School,high_school,17938.0,81703.0,18.0,-83.3551339,43.3310365,Mayville HS,7442.0,Mayville HS,187.0,187.0,D,high_school,,
135.0,Mendon High School,high_school,36355.0,86309.0,29.64,-85.4474524,42.0126305,Mendon HS,7260.0,Mendon HS,164.0,164.0,D,high_school,,
138.0,Merrill High School,high_school,28874.0,89658.0,24.36,-84.3410391,43.4071832,Merrill HS,2988.0,Merrill HS,203.0,203.0,C,high_school,,
139.0,Moose Lodge Field (14u),high_school,10342.0,48686.0,17.52,-84.5978297,42.6602298,,,,,,,,,
140.0,Mt Pleasant HS,high_school,28077.0,94255.0,22.95,-84.7591327,43.5913032,Mt Pleasant HS,5834.0,Mt Pleasant HS,1072.0,1072.0,A,high_school,,
142.0,Muskegon Mona Shores HS,high_school,32818.0,90825.0,26.54,-86.271558,43.1845307,Muskegon - Mona Shores HS,7962.0,Muskegon - Mona Shores HS,1240.0,1240.0,A,high_school,,
143.0,Muskegon Western Michigan Christian,high_school,28988.0,90507.0,24.26,-86.236793,43.1609012,Muskegon - Western Michigan Christian HS,3490.0,Muskegon - Western Michigan Christian HS,243.0,243.0,C,high_school,,
144.0,New Lothrop HS,high_school,37414.0,89468.0,29.49,-83.9746703,43.122242,New Lothrop HS,3664.0,New Lothrop HS,292.0,292.0,C,high_school,,
145.0,Northville HS,high_school,28784.0,95926.0,23.08,-83.493445,42.4123981,Northville HS,5628.0,Northville HS,2509.0,2509.0,A,high_school,,
146.0,Norway High School,high_school,25656.0,82223.0,23.78,-87.9126582,45.7729954,Norway HS,2625.0,Norway HS,180.0,180.0,D,high_school,,
147.0,Novi HS,high_school,23776.0,89713.0,20.95,-83.4924439,42.4615268,Novi HS,1833.0,Novi HS,2033.0,2033.0,A,high_school,,
152.0,Okemos HS,high_school,27679.0,88219.0,23.88,-84.4559105,42.6876301,Okemos HS,6007.0,Okemos HS,1427.0,1427.0,A,high_school,,
156.0,Orchard Lake St Marys High School,high_school,27391.0,87971.0,23.74,-83.35411,42.5916394,Orchard Lake - St Mary Preparatory HS,2385.0,Orchard Lake - St Mary Preparatory HS,523.0,1046.0,B,high_school,,
157.0,Ovid-Elsie High School,high_school,24768.0,83750.0,22.82,-84.3932693,43.0477476,Ovid-Elsie HS,3383.0,Ovid-Elsie HS,452.0,452.0,B,high_school,,
158.0,Owosso HS,high_school,20193.0,79372.0,20.28,-84.1622172,43.0168905,Owosso HS,6171.0,Owosso HS,794.0,794.0,B,high_school,,
159.0,Parkway Christian High School - Sterling Heights,high_school,18986.0,92907.0,16.97,-82.9817171,42.562036,Sterling Heights - Parkway Christian School,9955.0,Sterling Heights - Parkway Christian School,130.0,130.0,D,high_school,,
160.0,Pelson High School,high_school,17058.0,76326.0,18.27,-84.7891347,45.5500721,Pellston HS,5660.0,Pellston HS,126.0,126.0,D,high_school,,
163.0,Petoskey High School,high_school,30315.0,91933.0,24.8,-84.9386874,45.3672303,Petoskey HS,3136.0,Petoskey HS,943.0,943.0,A,high_school,,
164.0,Pewamo-Westphalia HS,high_school,27955.0,84958.0,24.76,-84.8358807,42.9403371,Pewamo-Westphalia HS,6312.0,Pewamo-Westphalia HS,296.0,296.0,C,high_school,,
165.0,Plymouth HS,high_school,30570.0,92981.0,24.74,-83.4986405,42.3483182,Canton - Plymouth HS,2839.0,Canton - Plymouth HS,2140.0,2140.0,A,high_school,,
