,field,level,size_factor,foul_ft,fop_ft,foul_pct,h_lon,h_lat,home_plate,min_distance,max_distance,avg_distance,median_distance,match,school_id,id
44,Ann Arbor Greenhills HS,high_school,300,39894.0,80453.0,33.15,-84.01479353123523,41.86694552754826,"41.86694552754826,-84.01479353123523",299.0,338.0,318.0,317.0,Ann Arbor - Greenhills HS,6543.0,6543
45,Ann Arbor Skyline HS,high_school,300,32550.0,94671.0,25.59,-83.77545696328717,42.30415973972723,"42.30415973972723,-83.77545696328717",314.0,368.0,344.0,348.0,Ann Arbor - Skyline HS,2032.0,2032
46,Ashley HS - Field 1 (NW),high_school,300,31318.0,99395.0,23.96,-77.9122311,34.1027707,"34.1027707,-77.9122311",331.0,382.0,356.0,358.0,Ashley HS,7500.0,7500
47,Ashley HS - Field 2 (SE),high_school,300,32692.0,109756.0,22.95,-77.90776630000001,34.1023266,"34.1023266,-77.90776630000001",351.0,400.0,376.0,377.0,Ashley HS,7500.0,7500
48,Atlanta HS,high_school,300,44589.0,75737.0,37.06,-84.14772600000001,44.9954406,"44.9954406,-84.14772600000001",310.0,312.0,311.0,311.0,Atlanta HS,4927.0,4927
49,Au Gres-Sims HS,high_school,300,30671.0,92423.0,24.92,-83.70068379999999,44.0440521,"44.0440521,-83.70068379999999",321.0,359.0,342.0,343.0,Au Gres - AuGres-Sims HS,4308.0,4308
50,Auburn Hills Oakland Christian HS,high_school,300,16942.0,88485.0,16.07,-83.23417449999999,42.6892067,"42.6892067,-83.23417449999999",304.0,369.0,333.0,328.0,Auburn Hills - Oakland Christian HS,3532.0,3532
51,Bad Axe HS,high_school,300,38845.0,86274.0,31.05,-83.0174535,43.8055552,"43.8055552,-83.0174535",307.0,360.0,336.0,337.0,Bad Axe HS,1362.0,1362
52,Bangor HS,high_school,300,39832.0,103637.0,27.76,-86.12594559999999,42.3056833,"42.3056833,-86.12594559999999",314.0,385.0,359.0,366.0,Bangor HS,5090.0,5090
53,Bath HS,high_school,300,17556.0,102733.0,14.59,-84.43991080000001,42.8148489,"42.8148489,-84.43991080000001",316.0,381.0,360.0,366.0,Bath HS,5743.0,5743
54,Battle Creek lakeview HS,high_school,300,39069.0,95422.0,29.05,-85.2302768,42.2937644,"42.2937644,-85.2302768",311.0,366.0,347.0,351.0,Battle Creek - Lakeview HS,2583.0,2583
55,Battle Creek Pennfield HS,high_school,300,32732.0,82765.0,28.34,-85.1343191,42.3721507,"42.3721507,-85.1343191",301.0,339.0,323.0,328.0,Battle Creek - Pennfield HS,2716.0,2716
56,Bay City All Saints HS,high_school,300,25766.0,87055.0,22.84,-83.8962351,43.5560867,"43.5560867,-83.8962351",308.0,358.0,332.0,337.0,Bay City - All Saints Central HS,3301.0,3301
