field,level,foul_ft,fop_ft,foul_pct,h_lat,h_long
Decatur High School,high_school,18841.0,93431.0,16.78,-85.9816872,42.1120337
Decatur Youth Field,youth,10577.0,39318.0,21.2,-85.9858847,42.1126558
Deckerville HS,high_school,33690.0,80382.0,29.53,-82.7305137,43.530507
Detroit Catholic Central HS,high_school,18311.0,96537.0,15.94,-83.54344949999999,42.488053
Detroit Catholic Central HS - Field 2,high_school,33484.0,90188.0,27.07,-83.5440067,42.4880269
Detroit Country Day HS,high_school,17029.0,91589.0,15.68,-83.2646187,42.513942
Dewitt High School,high_school,20441.0,84827.0,19.42,-84.58102770000001,42.8262729
Dow Diamond (Midland) ,high_school,29101.0,106468.0,21.47,-84.2371778,43.609054
Eastern High School,high_school,38329.0,86898.0,30.61,-84.53557480000001,42.7372929
Eaton Park - muni,muni,42496.0,93834.0,31.17,-86.46699889999999,42.0553171
Eaton Rapid HS Field 2,high_school,34107.0,85396.0,28.54,-84.6350135,42.5110331
Eaton Rapids High School,high_school,37223.0,101498.0,26.83,-84.63514499999999,42.5118192
Ecorse High School,high_school,29411.0,78788.0,27.18,-83.149694,42.2528271
Edwardsburg HS,high_school,30166.0,85216.0,26.14,-86.091742,41.7896252
EMU ,high_school,17041.0,109553.0,13.46,-83.64872339999999,42.2573876
Essexville Garber HS,high_school,25204.0,91284.0,21.64,-83.8341762,43.6056341
Everett High School,high_school,36876.0,93448.0,28.3,-84.5561434,42.6905115
Fankfort H S,high_school,25913.0,89205.0,22.51,-86.22585100000001,44.634408
Fenway Park - Boston ,high_school,17744.0,102745.0,14.73,-71.0977733,42.3462476
Fife Lake Forest Area HS,high_school,27263.0,79750.0,25.48,-85.30838559999999,44.6036765
Forrest Hills Eastern High School,high_school,34528.0,98244.0,26.01,-85.5286469,43.0058274
Fowlerville HS,high_school,19823.0,94791.0,17.3,-84.0655802,42.6688057
Gabriel Richard HS,high_school,22712.0,92645.0,19.69,-83.2089242,42.1817944
Gainey Athletic Complex - Field 1 ,high_school,36044.0,104042.0,25.73,-85.571371,42.930952
Gainey Athletic Complex - Field 2 ,high_school,36768.0,104571.0,26.01,-85.57064200000001,42.9301094
Garber High School Essexville,high_school,25668.0,91404.0,21.92,-83.8341769,43.6056339
Genesee HS,high_school,27356.0,82620.0,24.87,-83.6204879,43.1165028
Gladstone High School,high_school,22978.0,84312.0,21.42,-87.03889359999999,45.85971000000001
Gladstone_youth,youth,10048.0,36434.0,21.62,-87.0393735,45.8605932
Gladwin High School,high_school,26731.0,93477.0,22.24,-84.4919148,43.9902464
Glen Lake Community School,muni,23438.0,92408.0,20.23,-85.91890239999999,44.8515684
Goodrich HS,high_school,33688.0,91640.0,26.88,-83.52947949999999,42.9168576
GR West Catholic HS,high_school,23866.0,94829.0,20.11,-85.712159,42.9943182
GR West Catholic Youth Field,youth,13311.0,34313.0,27.95,-85.7121231,42.9958129
Grand Blanc HS,high_school,26522.0,93196.0,22.15,-83.6283145,42.9187188
Grand Ledge Bridge St (10u),high_school,11531.0,37086.0,23.72,-84.74489749999999,42.7543876
Grand Ledge Hayes (12u),high_school,8452.0,43893.0,16.15,-84.7006386,42.7518189
Grand Ledge High School,high_school,28836.0,79361.0,26.65,-84.75398939999999,42.7472938
Grand Ledge JV,high_school,23247.0,70057.0,24.92,-84.7588678,42.7462458
Gross Pointe North High School,high_school,19075.0,80421.0,19.17,-82.8911176,42.4379668
Gross Pointe South High School,high_school,21527.0,83785.0,20.44,-82.9025228,42.3918844
Grosse Ile High School,high_school,36064.0,93917.0,27.75,-83.1458188,42.1340427
GVSU ,high_school,35024.0,102527.0,25.46,-85.8933881,42.9654715
Hamtramck High School,high_school,14857.0,81704.0,15.39,-83.0476997,42.3930022
Hancock -1 youth,youth,15155.0,70482.0,17.7,-88.60862349999999,47.1367165
Hancock -2 - youth,youth,8089.0,29306.0,21.63,-88.6094724,47.1371266
Hancock HS,high_school,34261.0,89051.0,27.78,-88.608008,47.13566610000001
Harbor Springs High School,high_school,21382.0,79731.0,21.15,-84.9734496,45.434179
Harbor Springs Youth 1,youth,6824.0,28913.0,19.1,-84.97434610000001,45.434841
Harbor Springs Youth 2,youth,9685.0,37084.0,20.71,-84.9733378,45.43516
Hemlock HS,high_school,24830.0,87160.0,22.17,-84.2333581,43.4238904
Hillman HS,high_school,28247.0,89762.0,23.94,-83.9033908,45.0441796
Historic Hamtramck Stadium - muni,muni,46503.0,123991.0,27.28,-83.0505764,42.390044
Historic Marsh Field Muskegon - Muni,muni,44995.0,93866.0,32.4,-86.2433912,43.2189761
Holland Christian High School,high_school,32779.0,95289.0,25.59,-86.1328152,42.7619603
Holt High School,high_school,38310.0,95406.0,28.65,-84.57995029999999,42.6367415
Holt HS - Practice field,high_school,39740.0,98054.0,28.84,-84.5796448,42.6372277
Holton High School,high_school,28877.0,95912.0,23.14,-86.0881718,43.4149801
Homer HS,high_school,20835.0,71860.0,22.48,-84.8138072,42.1386292
Homer Stryker Field - Kalamazoo (Growlers) ,high_school,28704.0,99712.0,22.35,-85.5621405,42.2904771
Hope College,college,30723.0,99674.0,23.56,-86.08836650000001,42.7870783
Houghton High School,high_school,32578.0,92794.0,25.99,-88.56393780000001,47.10877110000001
Howell High School,high_school,21114.0,92971.0,18.51,-83.9426426,42.6179456
Hudson high School,high_school,31947.0,88333.0,26.56,-84.3444884,41.8638399
Hudsonville Christian HS,high_school,33791.0,97983.0,25.64,-85.84562560000001,42.8840691
Hudsonville High School,high_school,30487.0,96953.0,23.92,-85.87544920000001,42.9134789
Hudsonville HS - Field 2,high_school,31075.0,93415.0,24.96,-85.8768694,42.9142415
Huron High School,high_school,27079.0,82445.0,24.72,-83.3501649,42.1258421
Indian River Inland Lakes HS,high_school,14836.0,85638.0,14.77,-84.6358958,45.3838713
Ionia High School,high_school,30676.0,88463.0,25.75,-85.0645777,42.9523427
Ionia Practice Field,high_school,29381.0,81817.0,26.42,-85.0646534,42.9533573
Jackson Lumen Christi HS,high_school,20498.0,92032.0,18.22,-84.4602665,42.2219816
Jenison High School,high_school,31316.0,98281.0,24.16,-85.837665,42.917629
Jimmy Johns Stadium (Utica) ,high_school,35340.0,95356.0,27.04,-83.0400041,42.6261647
Kalamazoo Christian high school,high_school,23934.0,92206.0,20.61,-85.6134503,42.273406
Kalamazoo College,college,30733.0,109772.0,21.87,-85.6092979,42.2877622
Kalamazoo Hackett Prep High School,high_school,21937.0,87095.0,20.12,-85.5965558,42.2474483
Kenowa Hills High School,high_school,37758.0,93310.0,28.81,-85.7475037,43.0343372
Kingston high School,high_school,20688.0,74026.0,21.84,-83.1919884,43.4105296
Klenk Park - Alma College,college,35379.0,109901.0,24.35,-84.6785813,43.3879303
L'Anse HS,high_school,23630.0,86914.0,21.38,-88.4437423,46.7575736
Laingsburg HS,high_school,28676.0,98635.0,22.52,-84.34275100000001,42.878632
Lake Orion HS,high_school,32958.0,90214.0,26.76,-83.2369353,42.7539465
Lincoln High - Ypsi - Youth 1,youth,9877.0,31203.0,24.04,-83.6149003,42.1607613
Lincoln High - Ypsi - Youth 2,youth,9925.0,31324.0,24.06,-83.6143836,42.1607571
Lincoln High School - Ypsi - Fields 2,high_school,28282.0,91822.0,23.55,-83.6146378,42.1604794
Lincoln High School - Ypsilanti,high_school,26768.0,92794.0,22.39,-83.6146339,42.1610319
Livonia Franklin HS,high_school,19947.0,88016.0,18.48,-83.3473911,42.356909
Mackinaw City - youth,youth,12425.0,35807.0,25.76,-84.7427316,45.7805696
Mackinaw City HS - 2?,high_school,21477.0,71126.0,23.19,-84.74272019999999,45.7785533
Marine City Cardinal Mooney Field 2,high_school,16169.0,93547.0,14.74,-82.8879871,42.5368865
Marine City Cardinal Mooney HS,high_school,35258.0,89229.0,28.32,-82.8877279,42.5352846
Marion High School,high_school,28881.0,84444.0,25.49,-85.130365,44.1000449
Marlette High School,high_school,22629.0,86986.0,20.64,-83.07092799999999,43.3238064
Martin HS,high_school,25276.0,78191.0,24.43,-85.6333741,42.5353963
Mason County Central High School,high_school,33783.0,87956.0,27.75,-86.2891178,43.9590923
Mayville High School,high_school,17938.0,81703.0,18.0,-83.3551339,43.3310365
MCCU Field - Battle Creek ,high_school,32230.0,103628.0,23.72,-85.1503842,42.3416038
Mendon High School,high_school,36355.0,86309.0,29.64,-85.4474524,42.0126305
Mendon Youth 1,youth,7531.0,23324.0,24.41,-85.4456151,42.0114783
Mendon Youth 2,youth,8964.0,32827.0,21.45,-85.4460878,42.0112333
Merrill High School,high_school,28874.0,89658.0,24.36,-84.3410391,43.4071832
Moose Lodge Field (14u),high_school,10342.0,48686.0,17.52,-84.59782970000001,42.6602298
Mt Pleasant HS,high_school,28077.0,94255.0,22.95,-84.75913269999999,43.5913032
Muskegon Mona Shores HS,high_school,32818.0,90825.0,26.54,-86.271558,43.1845307
Muskegon Western Michigan Christian,high_school,28988.0,90507.0,24.26,-86.23679300000001,43.1609012
New Haven Merritt Academy HS,high_school,13658.0,78696.0,14.79,-82.7985517,42.7415202
New Lothrop HS,high_school,37414.0,89468.0,29.49,-83.9746703,43.122242
Northville HS,high_school,28784.0,95926.0,23.08,-83.49344499999999,42.4123981
Norway High School,high_school,25656.0,82223.0,23.78,-87.9126582,45.7729954
Novi Christian Academy HS,high_school,19236.0,78293.0,19.72,-83.4485037,42.5142468
Novi HS,high_school,23776.0,89713.0,20.95,-83.4924439,42.4615268
Noway Youth 1,youth,17330.0,64305.0,21.23,-87.9014622,45.7904849
Noway Youth 2,youth,9687.0,32296.0,23.07,-87.9104722,45.7729944
Noway Youth 3,youth,8356.0,32016.0,20.7,-87.9101182,45.7729103
Oakland University ,high_school,40414.0,98650.0,29.06,-83.2113566,42.6733173
Onsted Community High School,muni,25174.0,88631.0,22.12,-84.19140640000001,41.99781
Orchard Lake St Marys High School,high_school,27391.0,87971.0,23.74,-83.35411000000001,42.5916394
Ovid-Elsie High School,high_school,24768.0,83750.0,22.82,-84.3932693,43.0477476
Owosso HS,high_school,20193.0,79372.0,20.28,-84.1622172,43.0168905
Parkway Christian High School - Sterling Heights,high_school,18986.0,92907.0,16.97,-82.9817171,42.562036
Pelson High School,high_school,17058.0,76326.0,18.27,-84.78913470000001,45.55007209999999
Pelson HS,high_school,27420.0,78058.0,26.0,-83.7003876,45.2547685
Pelson Youth 1,youth,9639.0,32049.0,23.12,-84.78832079999999,45.5499753
Pelson Youth 2,youth,11165.0,60612.0,15.56,-84.789241,45.5497813
Petoskey High School,high_school,30315.0,91933.0,24.8,-84.93868740000001,45.36723030000001
Pewamo-Westphalia HS,high_school,27955.0,84958.0,24.76,-84.8358807,42.9403371
Plymouth HS,high_school,30570.0,92981.0,24.74,-83.49864049999999,42.3483182
Portage Northern High School,high_school,24003.0,89005.0,21.24,-85.59873090000001,42.2356888
Portland High School,high_school,39688.0,88555.0,30.95,-84.91802490000001,42.882565
Portland St. Pats HS,high_school,34252.0,129849.0,20.87,-84.91077540000001,42.8702585
Richmond High School,high_school,32748.0,88224.0,27.07,-82.7574992,42.8073051
Rochester Adams HS,high_school,29388.0,93346.0,23.94,-83.19984239999999,42.6972168
Rochester Hills Lutheran Northwest HS,high_school,19787.0,71053.0,21.78,-83.1544493,42.6409811
Rochester HS,high_school,29531.0,88582.0,25.0,-83.15624510000001,42.6774369
Rockford HS,high_school,33509.0,99484.0,25.2,-85.56869709999999,43.0900641
Rogers City HS,high_school,18535.0,71875.0,20.5,-83.8041977,45.41751360000001
Rudyard HS,high_school,26169.0,85299.0,23.48,-84.58780230000001,46.2351548
Saginaw Heritage HS,high_school,36530.0,103302.0,26.12,-84.0129481,43.4554596
Saginaw Heritage HS - Field 2,high_school,20534.0,98697.0,17.22,-84.0135834,43.4547419
Saginaw Swan Valley - Youth Field,youth,14396.0,56177.0,20.4,-84.08623729999999,43.4096575
Saginaw Swan Valley High School,high_school,21585.0,87095.0,19.86,-84.0822261,43.4116302
Sagniaw Valley State ,high_school,39799.0,106271.0,27.25,-83.95339989999999,43.5122297
Salem High School,high_school,30248.0,89191.0,25.33,-83.4972427,42.3458381
Sanborn Park - Port Huron - muni,muni,18781.0,95218.0,16.47,-82.44334000000001,43.0117653
Sand Creek High School - Baseball,high_school,26366.0,79295.0,24.95,-84.1047473,41.8229202
Sandusky High School,high_school,33614.0,84661.0,28.42,-82.82497170000001,43.4102931
Sexton High School,high_school,25173.0,95742.0,20.82,-84.57957949999999,42.7327867
Shrine HS Royal Oak,high_school,14713.0,97502.0,13.11,-83.1842663,42.5195961
Southfield Christian HS,high_school,13609.0,69417.0,16.39,-83.2582113,42.499334
St Clair HS,high_school,31501.0,87273.0,26.52,-82.5113899,42.824698
St Gerard (Lansing) youth,youth,12689.0,51029.0,19.91,-84.6106279,42.7466265
St Gerard Field 2 youth,youth,14289.0,62521.0,18.6,-84.6117048,42.7462672
St Johns High School,high_school,37094.0,96144.0,27.84,-84.5679294,42.9878827
Standish-Sterling HS,high_school,27613.0,95495.0,22.43,-83.9548964,44.0156178
Stevenson Lakeshore HS,high_school,22072.0,89254.0,19.83,-86.4944752,42.0092821
Traverse City St Frances HS,high_school,14024.0,94785.0,12.89,-85.55975530000001,44.7118419
Trenton High School,high_school,23234.0,91703.0,20.21,-83.20306840000001,42.1421346
Troy - Athens High School,high_school,17790.0,85160.0,17.28,-83.111861,42.5828923
Turtle Creek Stadium (Traverse City) ,high_school,29643.0,109822.0,21.25,-85.66068730000001,44.6817024
U of M ,high_school,19421.0,100851.0,16.15,-83.7420742,42.2678568
Ubly high School,high_school,19713.0,86330.0,18.59,-82.9346814,43.7078311
University Liggett School,high_school,22388.0,83119.0,21.22,-82.90074989999999,42.4260393
USA - unionville - Youth 1,youth,35924.0,12533.0,74.14,-83.4709366,43.650357
USA - Unionville Seabawing - Youth 2,youth,8033.0,40294.0,16.62,-83.47093599999999,43.650734
USA - Unionville Seabawing High School,high_school,27687.0,84002.0,24.79,-83.46441950000001,43.6938966
Vestaburg HS,high_school,31689.0,91931.0,25.63,-84.9133162,43.3964138
Watervliet HS,high_school,29977.0,90757.0,24.83,-86.24979620000001,42.1861372
Wayne State Univ ,high_school,25322.0,98360.0,20.47,-83.0772235,42.3564168
West Bloomfield HS,high_school,23399.0,95261.0,19.72,-83.3594581,42.5673665
West Michigan Whitecaps ,high_school,32999.0,111690.0,22.81,-85.659582,43.0402454
Westside Park (Lansing) - muni,muni,37392.0,96629.0,27.9,-84.58129580000001,42.7423296
Whaley Park - Flint - muni,muni,37414.0,112631.0,24.94,-83.6667195,43.0507408
Whiteford High School - Ottawa Lake,high_school,34576.0,140217.0,19.78,-83.70111919999999,41.7665817
Whitehall High School,high_school,28215.0,91519.0,23.56,-86.33278559999999,43.4045055
Whitmore Lake High School,high_school,34917.0,93542.0,27.18,-83.7708313,42.3876304
Whittemore-Prescott High School,high_school,16955.0,82035.0,17.13,-83.8844484,44.2293306
Williamston High School,high_school,31596.0,90369.0,25.91,-84.28086999999999,42.6987035
WMU ,high_school,29814.0,104840.0,22.14,-85.6030368,42.2844309
